,SCH_NAME,SCHOOL_YR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,GRADE_CODE,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,PRIMARY_DISABILITY_TYPE,DEC1_CNT
502,Fairfield Middle,2010-2011,SCH,43.0,Henrico County ,510.0,06,3.0,F,Y,N,N,ID,10
503,Fairhill Elementary,2010-2011,SCH,29.0,Fairfax County ,1630.0,01,2.0,F,Y,N,N,DD,11
504,Fairlawn Elementary,2010-2011,SCH,118.0,Norfolk City ,750.0,01,3.0,M,Y,N,Y,SLI,11
505,Fairview Elementary,2010-2011,SCH,29.0,Fairfax County ,290.0,02,5.0,M,Y,N,N,SLI,10
506,Falling Branch Elementary,2010-2011,SCH,60.0,Montgomery County ,600.0,04,5.0,F,Y,N,Y,SLI,10
507,Falling Creek Elementary,2010-2011,SCH,21.0,Chesterfield County ,590.0,01,3.0,M,Y,N,Y,OHI,10
508,Falling Creek Middle,2010-2011,SCH,21.0,Chesterfield County ,670.0,06,3.0,F,Y,N,Y,SLD,14
509,Falling Spring Elementary,2010-2011,SCH,3.0,Alleghany County ,20.0,,5.0,M,Y,N,N,SLI,12
510,Fallon Park Elementary,2010-2011,SCH,124.0,Roanoke City ,50.0,01,5.0,M,Y,N,Y,SLI,14
511,Falls Church High,2010-2011,SCH,29.0,Fairfax County ,1100.0,09,4.0,F,Y,Y,N,SLD,13
512,Falmouth Elementary,2010-2011,SCH,89.0,Stafford County ,280.0,02,4.0,F,Y,N,N,SLI,11
513,Fancy Gap Elementary ,2010-2011,SCH,18.0,Carroll County ,1180.0,,5.0,F,Y,N,N,SLI,11
514,Fannie W. Fitzgerald Elementary,2010-2011,SCH,75.0,Prince William County ,370.0,02,3.0,F,Y,N,Y,SLI,10
515,Farmington Elementary,2010-2011,SCH,24.0,Culpeper County ,470.0,04,3.0,M,Y,N,Y,SLI,10
516,Farmwell Station Middle,2010-2011,SCH,53.0,Loudoun County ,210.0,06,3.0,M,Y,N,Y,SLD,11
517,Fauquier High,2010-2011,SCH,30.0,Fauquier County ,701.0,09,3.0,M,Y,N,N,SLD,11
518,Featherstone Elementary,2010-2011,SCH,75.0,Prince William County ,450.0,02,4.0,M,Y,Y,Y,SLD,10
519,Ferrum Elementary,2010-2011,SCH,33.0,Franklin County ,1360.0,01,5.0,F,Y,N,N,SLI,10
520,Ferry Farm Elementary,2010-2011,SCH,89.0,Stafford County ,230.0,05,5.0,F,Y,N,N,SLI,11
521,Fieldale-Collinsville Middle ,2010-2011,SCH,44.0,Henry County ,620.0,06,5.0,M,Y,N,Y,SLD,12
522,First Colonial High,2010-2011,SCH,128.0,Virginia Beach City ,610.0,09,3.0,F,Y,N,Y,SLD,12
523,Fishburn Park Elementary,2010-2011,SCH,124.0,Roanoke City ,380.0,03,5.0,M,Y,N,Y,DD,10
524,Flat Rock Elementary,2010-2011,SCH,72.0,Powhatan County ,21.0,01,5.0,M,Y,N,N,SLD,10
525,Flatwoods Elementary,2010-2011,SCH,52.0,Lee County ,630.0,01,5.0,M,Y,N,N,SLI,10
526,Flint Hill Elementary,2010-2011,SCH,29.0,Fairfax County ,730.0,02,5.0,M,Y,N,N,SLI,10
527,Florence Bowser Elementary,2010-2011,SCH,127.0,Suffolk City ,90.0,01,3.0,M,Y,N,N,DD,12
528,Floris Elementary,2010-2011,SCH,29.0,Fairfax County ,740.0,01,5.0,M,Y,N,N,DD,10
529,Floyd County High,2010-2011,SCH,31.0,Floyd County ,660.0,08,5.0,M,Y,N,N,SLD,14
530,Floyd Elementary,2010-2011,SCH,31.0,Floyd County ,360.0,01,5.0,M,Y,N,N,SLI,12
531,Floyd Kellam High,2010-2011,SCH,128.0,Virginia Beach City ,440.0,09,5.0,F,Y,N,N,SLD,10
532,Floyd T. Binns Middle,2010-2011,SCH,24.0,Culpeper County ,581.0,06,5.0,M,Y,N,Y,SLD,10
533,Fluvanna County High,2010-2011,SCH,32.0,Fluvanna County ,260.0,09,3.0,M,Y,N,Y,SLD,10
534,Fluvanna Middle,2010-2011,SCH,32.0,Fluvanna County ,20.0,06,5.0,F,Y,N,N,SLD,14
535,Forest Edge Elementary,2010-2011,SCH,29.0,Fairfax County ,70.0,01,5.0,M,Y,N,N,SLD,12
536,Forest Elementary,2010-2011,SCH,10.0,Bedford County ,500.0,,5.0,M,Y,N,N,SLI,10
537,Forest Glen Middle,2010-2011,SCH,127.0,Suffolk City ,390.0,06,3.0,M,Y,N,Y,OHI,10
538,Forest Grove Elementary,2010-2011,SCH,53.0,Loudoun County ,970.0,03,4.0,M,Y,N,Y,SLI,10
539,Forest Hills Elementary,2010-2011,SCH,108.0,Danville City ,20.0,,3.0,M,Y,N,N,SLI,11
540,Forest Middle,2010-2011,SCH,10.0,Bedford County ,1211.0,06,5.0,M,Y,N,N,SLD,15
541,Forest Park High,2010-2011,SCH,75.0,Prince William County ,870.0,09,3.0,M,Y,N,Y,SLD,10
542,Forestdale Elementary,2010-2011,SCH,29.0,Fairfax County ,1450.0,04,2.0,M,Y,Y,N,SLD,12
543,Forestville Elementary,2010-2011,SCH,29.0,Fairfax County ,370.0,03,5.0,M,Y,N,N,SLD,11
544,Fort Belvoir Elementary,2010-2011,SCH,29.0,Fairfax County ,2224.0,01,5.0,M,Y,N,N,SLI,12
545,Fort Blackmore Primary,2010-2011,SCH,84.0,Scott County ,102.0,,5.0,M,Y,N,Y,SLI,11
546,Fort Chiswell High,2010-2011,SCH,97.0,Wythe County ,760.0,09,5.0,F,Y,N,N,SLD,11
547,Fort Chiswell Middle,2010-2011,SCH,97.0,Wythe County ,1073.0,06,5.0,M,Y,N,Y,SLD,10
548,Fort Defiance High,2010-2011,SCH,8.0,Augusta County ,670.0,09,5.0,M,Y,N,N,SLD,11
549,Fort Hunt Elementary,2010-2011,SCH,29.0,Fairfax County ,1920.0,,3.0,F,Y,N,Y,DD,11
550,Fort Lewis Elementary,2010-2011,SCH,80.0,Roanoke County ,40.0,,5.0,F,Y,N,N,OHI,13
551,Fox Mill Elementary,2010-2011,SCH,29.0,Fairfax County ,390.0,03,5.0,M,Y,N,N,DD,11
552,Frances Hazel Reid Elementary,2010-2011,SCH,53.0,Loudoun County ,91.0,01,5.0,M,Y,N,N,SLD,10
553,Francis Asbury Elementary,2010-2011,SCH,112.0,Hampton City ,30.0,03,3.0,M,Y,N,Y,SLD,10
554,Francis C. Hammond Middle,2010-2011,SCH,101.0,Alexandria City ,170.0,06,3.0,M,Y,N,Y,SLD,11
555,Francis Hammond 2 Middle,2010-2011,SCH,101.0,Alexandria City ,250.0,06,3.0,M,Y,N,Y,OHI,10
556,Francis Hammond 3 Middle,2010-2011,SCH,101.0,Alexandria City ,260.0,06,3.0,M,Y,N,Y,SLD,11
557,Francis Scott Key Elementary,2010-2011,SCH,7.0,Arlington County ,111.0,01,4.0,F,Y,Y,Y,SLD,11
558,Francis W. Jones Magnet Middle,2010-2011,SCH,112.0,Hampton City ,70.0,06,5.0,M,Y,N,N,SLD,11
559,Franconia Elementary,2010-2011,SCH,29.0,Fairfax County ,320.0,03,3.0,M,Y,N,N,SLI,10
560,Frank W. Cox High,2010-2011,SCH,128.0,Virginia Beach City ,30.0,09,3.0,F,Y,N,N,OHI,11
561,Franklin County High,2010-2011,SCH,33.0,Franklin County ,1311.0,09,3.0,M,Y,N,Y,SLD,10
562,Franklin High,2010-2011,SCH,135.0,Franklin City ,20.0,09,3.0,M,Y,N,Y,SLD,10
563,Franklin Middle,2010-2011,SCH,29.0,Fairfax County ,440.0,07,2.0,F,Y,N,N,SLD,10
564,Franklin Military Academy,2010-2011,SCH,123.0,Richmond City ,621.0,06,3.0,M,Y,N,Y,SLD,10
565,Fred D. Thompson Middle,2010-2011,SCH,123.0,Richmond City ,1630.0,06,3.0,F,Y,N,Y,SLD,19
566,Fred M. Lynn Middle,2010-2011,SCH,75.0,Prince William County ,520.0,06,3.0,M,Y,N,Y,SLD,10
567,Frederick County Middle,2010-2011,SCH,34.0,Frederick County ,460.0,06,5.0,F,Y,N,N,SLD,10
568,Frederick Douglass Elementary,2010-2011,SCH,132.0,Winchester City ,80.0,01,5.0,M,Y,N,Y,SLI,10
569,Freedom High ,2010-2011,SCH,53.0,Loudoun County ,120.0,09,5.0,M,Y,N,N,SLD,11
570,Freedom Hill Elementary,2010-2011,SCH,29.0,Fairfax County ,490.0,02,2.0,M,Y,N,N,DD,12
571,Freedom Middle,2010-2011,SCH,88.0,Spotsylvania County ,509.0,06,5.0,M,Y,N,Y,SLD,10
572,Fries School,2010-2011,SCH,38.0,Grayson County ,911.0,02,5.0,F,Y,N,Y,SLI,10
573,Frost Middle,2010-2011,SCH,29.0,Fairfax County ,1410.0,07,5.0,F,Y,N,N,SLD,13
574,Fulks Run Elementary,2010-2011,SCH,82.0,Rockingham County ,940.0,,5.0,F,Y,N,Y,SLI,10
575,G.A. Treakle Elementary,2010-2011,SCH,136.0,Chesapeake City ,720.0,01,3.0,M,Y,N,N,SLD,10
576,G.H. Reid Elementary,2010-2011,SCH,123.0,Richmond City ,1470.0,01,3.0,M,Y,N,Y,OHI,11
577,G.L.H. Johnson Elementary,2010-2011,SCH,108.0,Danville City ,190.0,02,3.0,M,Y,N,Y,SLI,10
578,G.W. Carver Elementary,2010-2011,SCH,139.0,Salem City ,90.0,01,5.0,M,Y,N,Y,SLI,11
579,Gainesboro Elementary,2010-2011,SCH,34.0,Frederick County ,380.0,02,5.0,M,Y,N,Y,AUT,12
580,Gainesville Middle,2010-2011,SCH,75.0,Prince William County ,960.0,06,4.0,F,Y,N,N,SLD,10
581,Galax Elementary,2010-2011,SCH,111.0,Galax City ,10.0,01,5.0,M,Y,N,Y,SLI,11
582,Galax High,2010-2011,SCH,111.0,Galax City ,31.0,08,4.0,F,Y,N,Y,SLD,11
583,Galax Middle,2010-2011,SCH,111.0,Galax City ,32.0,06,5.0,M,Y,N,Y,SLD,12
584,Galbreath-Marshall Building,2010-2011,SCH,24.0,Culpeper County ,582.0,PS,5.0,F,Y,N,N,SLI,10
585,Galileo Magnet High,2010-2011,SCH,108.0,Danville City ,1374.0,,5.0,M,Y,N,N,,11
586,Gar-Field High,2010-2011,SCH,75.0,Prince William County ,690.0,09,3.0,F,Y,N,N,SLD,10
587,Garden City Elementary,2010-2011,SCH,124.0,Roanoke City ,300.0,01,5.0,M,Y,N,Y,AUT,10
588,Garfield Elementary,2010-2011,SCH,29.0,Fairfax County ,630.0,05,2.0,F,Y,N,N,SLD,11
589,Garland R. Quarles Elementary,2010-2011,SCH,132.0,Winchester City ,50.0,02,5.0,M,Y,N,Y,SLD,10
590,Garrisonville Elementary,2010-2011,SCH,89.0,Stafford County ,41.0,05,4.0,M,Y,N,N,SLI,10
591,Gate City High,2010-2011,SCH,84.0,Scott County ,770.0,10,5.0,F,Y,N,Y,OHI,11
592,Gate City Middle,2010-2011,SCH,84.0,Scott County ,771.0,07,5.0,F,Y,N,Y,OHI,10
593,Gayton Elementary,2010-2011,SCH,43.0,Henrico County ,150.0,05,5.0,M,Y,N,N,SLI,10
594,General Stanford Elementary,2010-2011,SCH,117.0,Newport News City ,1407.0,01,5.0,M,Y,N,Y,SLD,13
595,George Carr Round Elementary,2010-2011,SCH,143.0,Manassas City ,60.0,01,4.0,M,Y,N,N,SLD,12
596,George F. Baker Elementary,2010-2011,SCH,43.0,Henrico County ,470.0,03,3.0,M,Y,N,Y,SLD,11
597,George G. Tyler Elementary,2010-2011,SCH,75.0,Prince William County ,630.0,02,5.0,M,Y,N,N,DD,10
598,George H. Moody Middle,2010-2011,SCH,43.0,Henrico County ,390.0,06,3.0,M,Y,N,N,SLD,10
599,George J. McIntosh Elementary ,2010-2011,SCH,117.0,Newport News City ,70.0,01,3.0,M,Y,N,Y,SLD,10
600,George Mason Elementary,2010-2011,SCH,101.0,Alexandria City ,100.0,01,4.0,M,Y,N,Y,SLI,12
601,George Mason High,2010-2011,SCH,109.0,Falls Church City ,251.0,08,5.0,M,Y,N,N,OHI,11
602,George P. Mullen Elementary,2010-2011,SCH,75.0,Prince William County ,770.0,02,4.0,M,Y,N,N,SLD,10
603,George P. Phenix Elementary,2010-2011,SCH,112.0,Hampton City ,650.0,01,3.0,M,Y,N,N,SLI,10
604,George W. Carver Elementary,2010-2011,SCH,123.0,Richmond City ,311.0,01,3.0,M,Y,N,Y,SLD,10
605,George W. Carver Intermediate,2010-2011,SCH,136.0,Chesapeake City ,50.0,03,3.0,M,Y,N,Y,SLD,13
606,George W. Watkins Elementary,2010-2011,SCH,63.0,New Kent County ,180.0,03,5.0,M,Y,N,N,SLI,10
607,George Washington 2 Middle,2010-2011,SCH,101.0,Alexandria City ,240.0,06,3.0,M,Y,N,Y,SLD,10
608,George Washington High,2010-2011,SCH,108.0,Danville City ,210.0,09,3.0,F,Y,N,Y,SLD,12
609,George Washington Middle,2010-2011,SCH,101.0,Alexandria City ,10.0,06,3.0,M,Y,N,Y,SLD,12
610,George Wythe High,2010-2011,SCH,97.0,Wythe County ,721.0,10,5.0,F,Y,N,N,SLD,11
611,Georgetown Primary,2010-2011,SCH,136.0,Chesapeake City ,820.0,01,3.0,M,Y,N,Y,SLI,11
612,Ghent Elementary,2010-2011,SCH,118.0,Norfolk City ,90.0,02,3.0,M,Y,N,Y,SLD,10
613,Gilbert Linkous Elementary,2010-2011,SCH,60.0,Montgomery County ,750.0,,5.0,M,Y,N,N,,11
614,Giles High,2010-2011,SCH,35.0,Giles County ,461.0,08,5.0,M,Y,N,Y,SLD,11
615,Ginter Park Elementary,2010-2011,SCH,123.0,Richmond City ,230.0,01,3.0,M,Y,N,Y,SLD,10
616,Givens Elementary,2010-2011,SCH,83.0,Russell County ,800.0,,5.0,M,Y,N,Y,SLI,10
617,Glade Hill Elementary,2010-2011,SCH,33.0,Franklin County ,690.0,,5.0,M,Y,N,Y,SLI,12
618,Glade Spring Middle,2010-2011,SCH,94.0,Washington County ,1090.0,06,5.0,M,Y,N,Y,SLD,11
619,Gladesboro Elementary School,2010-2011,SCH,18.0,Carroll County ,1150.0,,5.0,M,Y,N,N,SLI,10
620,Gladeville Elementary School,2010-2011,SCH,18.0,Carroll County ,1210.0,,5.0,M,Y,N,N,SLI,17
621,Glasgow Middle,2010-2011,SCH,29.0,Fairfax County ,1170.0,06,4.0,F,Y,Y,Y,SLD,11
622,Glebe Elementary,2010-2011,SCH,7.0,Arlington County ,100.0,03,3.0,M,Y,N,N,SLI,10
623,Glen Allen Elementary,2010-2011,SCH,43.0,Henrico County ,20.0,02,5.0,F,Y,N,N,SLI,11
624,Glen Allen High,2010-2011,SCH,43.0,Henrico County ,96.0,09,5.0,F,Y,N,N,SLD,12
625,Glen Cove Elementary,2010-2011,SCH,80.0,Roanoke County ,650.0,04,5.0,M,Y,N,N,OHI,13
626,Glen Forest Elementary,2010-2011,SCH,29.0,Fairfax County ,970.0,01,4.0,M,Y,Y,Y,SLD,10
627,Glen Lea Elementary,2010-2011,SCH,43.0,Henrico County ,380.0,03,3.0,M,Y,N,Y,SLD,12
628,Glenkirk Elementary,2010-2011,SCH,75.0,Prince William County ,340.0,01,5.0,M,Y,N,N,SLI,11
629,Glenvar Elementary,2010-2011,SCH,80.0,Roanoke County ,490.0,03,5.0,M,Y,N,N,OHI,10
630,Glenvar High,2010-2011,SCH,80.0,Roanoke County ,610.0,09,5.0,M,Y,N,N,OHI,17
631,Glenvar Middle,2010-2011,SCH,80.0,Roanoke County ,751.0,06,5.0,M,Y,N,N,SLD,14
632,Glenwood Elementary,2010-2011,SCH,108.0,Danville City ,1270.0,01,3.0,M,Y,N,Y,SLI,13
633,Gloucester High,2010-2011,SCH,36.0,Gloucester County ,260.0,09,5.0,F,Y,N,N,SLD,11
634,Gold Hill Elementary,2010-2011,SCH,15.0,Buckingham County ,730.0,,5.0,M,Y,N,Y,,10
635,Goochland Elementary,2010-2011,SCH,37.0,Goochland County ,360.0,04,5.0,M,Y,N,N,DD,10
636,Goochland High,2010-2011,SCH,37.0,Goochland County ,220.0,09,5.0,M,Y,N,N,SLD,13
637,Goochland Middle,2010-2011,SCH,37.0,Goochland County ,340.0,06,5.0,M,Y,N,N,SLD,12
638,Goodview Elementary,2010-2011,SCH,10.0,Bedford County ,1214.0,02,5.0,F,Y,N,Y,SLI,10
639,Gordon Barbour Elementary,2010-2011,SCH,68.0,Orange County ,360.0,,5.0,F,Y,N,Y,SLD,10
640,Grace E. Metz Middle ,2010-2011,SCH,143.0,Manassas City ,70.0,07,3.0,M,Y,N,Y,SLD,10
641,Grace Miller Elementary,2010-2011,SCH,30.0,Fauquier County ,450.0,02,5.0,M,Y,N,N,SLI,13
642,Grafton Bethel Elementary,2010-2011,SCH,98.0,York County ,140.0,02,5.0,M,Y,N,N,SLD,12
643,Grafton High,2010-2011,SCH,98.0,York County ,332.0,09,5.0,M,Y,N,N,OHI,10
644,Grafton Middle,2010-2011,SCH,98.0,York County ,333.0,06,5.0,M,Y,N,N,OHI,11
645,Grafton Village Elementary,2010-2011,SCH,89.0,Stafford County ,270.0,01,5.0,M,Y,N,N,SLI,10
646,Graham High,2010-2011,SCH,92.0,Tazewell County ,940.0,09,5.0,M,Y,N,Y,ID,15
647,Graham Intermediate,2010-2011,SCH,92.0,Tazewell County ,960.0,03,5.0,M,Y,N,Y,ID,10
648,Graham Middle,2010-2011,SCH,92.0,Tazewell County ,10.0,06,5.0,M,Y,N,Y,SLD,10
649,Graham Park Middle,2010-2011,SCH,75.0,Prince William County ,510.0,06,3.0,F,Y,N,Y,SLD,12
650,Graham Road Elementary,2010-2011,SCH,29.0,Fairfax County ,530.0,01,2.0,F,Y,N,Y,DD,12
651,Granby Elementary,2010-2011,SCH,118.0,Norfolk City ,420.0,01,3.0,M,Y,N,Y,SLD,10
652,Granby High,2010-2011,SCH,118.0,Norfolk City ,390.0,09,3.0,F,Y,N,Y,SLD,20
653,Grandin Court Elementary,2010-2011,SCH,124.0,Roanoke City ,310.0,02,5.0,M,Y,N,N,SLI,10
654,Grange Hall Elementary,2010-2011,SCH,21.0,Chesterfield County ,180.0,01,5.0,M,Y,N,N,SLI,10
655,Grassfield Elementary,2010-2011,SCH,136.0,Chesapeake City ,950.0,01,5.0,M,Y,N,N,SLI,11
656,Grassfield High,2010-2011,SCH,136.0,Chesapeake City ,960.0,09,3.0,F,Y,N,Y,SLD,10
657,Grayson County High,2010-2011,SCH,38.0,Grayson County ,421.0,08,5.0,M,Y,N,Y,SLD,13
658,Grayson Highlands School,2010-2011,SCH,38.0,Grayson County ,430.0,,5.0,F,Y,N,Y,SLI,10
659,Great Bridge High,2010-2011,SCH,136.0,Chesapeake City ,120.0,09,3.0,M,Y,N,Y,SLD,14
660,Great Bridge Intermediate,2010-2011,SCH,136.0,Chesapeake City ,850.0,03,5.0,M,Y,N,N,SLI,10
661,Great Bridge Middle,2010-2011,SCH,136.0,Chesapeake City ,590.0,06,5.0,F,Y,N,N,OHI,10
662,Great Bridge Primary,2010-2011,SCH,136.0,Chesapeake City ,680.0,01,5.0,M,Y,N,N,SLI,10
663,Great Falls Elementary,2010-2011,SCH,29.0,Fairfax County ,570.0,04,5.0,M,Y,N,N,SLI,10
664,Great Neck Middle,2010-2011,SCH,128.0,Virginia Beach City ,430.0,06,5.0,F,Y,N,N,SLD,11
665,Green Run Elementary,2010-2011,SCH,128.0,Virginia Beach City ,770.0,02,3.0,M,Y,N,Y,DD,10
666,Green Run High,2010-2011,SCH,128.0,Virginia Beach City ,10.0,09,3.0,F,Y,N,Y,SLD,13
667,Green Valley Elementary,2010-2011,SCH,80.0,Roanoke County ,600.0,03,5.0,F,Y,N,N,SLI,11
668,Greenbriar East Elementary,2010-2011,SCH,29.0,Fairfax County ,1840.0,03,2.0,M,Y,N,N,SLD,13
669,Greenbriar West Elementary,2010-2011,SCH,29.0,Fairfax County ,1500.0,02,2.0,M,Y,N,N,DD,11
670,Greenbrier Elementary,2010-2011,SCH,104.0,Charlottesville City ,90.0,01,3.0,F,Y,N,Y,SLI,12
671,Greenbrier Intermediate,2010-2011,SCH,136.0,Chesapeake City ,870.0,03,3.0,M,Y,N,Y,OHI,10
672,Greenbrier Middle,2010-2011,SCH,136.0,Chesapeake City ,972.0,06,3.0,M,Y,N,N,OHI,11
673,Greenbrier Primary,2010-2011,SCH,136.0,Chesapeake City ,140.0,01,3.0,M,Y,N,N,SLI,10
674,Greendale Elementary,2010-2011,SCH,94.0,Washington County ,260.0,02,5.0,M,Y,N,Y,SLI,10
675,Greene County Primary,2010-2011,SCH,39.0,Greene County ,10.0,01,5.0,M,Y,N,N,SLI,10
676,Greenfield Elementary,2010-2011,SCH,12.0,Botetourt County ,460.0,02,5.0,F,Y,N,N,OHI,12
677,Greensville County High,2010-2011,SCH,40.0,Greensville County ,200.0,09,3.0,M,Y,N,Y,SLD,11
678,Greensville Elementary,2010-2011,SCH,40.0,Greensville County ,50.0,01,3.0,M,Y,N,Y,SLI,11
679,Greenville Elementary,2010-2011,SCH,30.0,Fauquier County ,511.0,03,5.0,M,Y,N,N,SLI,10
680,Greenwood Elementary ,2010-2011,SCH,43.0,Henrico County ,260.0,01,3.0,M,Y,N,N,DD,11
681,Greenwood Mill Elementary,2010-2011,SCH,34.0,Frederick County ,590.0,01,5.0,M,Y,N,N,SLI,10
682,Gretna Elementary,2010-2011,SCH,71.0,Pittsylvania County ,280.0,01,5.0,M,Y,N,Y,DD,11
683,Gretna High,2010-2011,SCH,71.0,Pittsylvania County ,1700.0,09,3.0,M,Y,N,Y,SLD,12
684,Gretna Middle,2010-2011,SCH,71.0,Pittsylvania County ,290.0,06,5.0,M,Y,N,Y,OHI,11
685,Grove Park Preschool,2010-2011,SCH,108.0,Danville City ,200.0,PS,3.0,F,Y,N,Y,DD,10
686,Groveton Elementary,2010-2011,SCH,29.0,Fairfax County ,330.0,02,3.0,M,Y,Y,Y,SLD,10
687,Grundy High,2010-2011,SCH,14.0,Buchanan County ,990.0,09,5.0,M,Y,N,Y,SLD,10
688,Guilford Elementary,2010-2011,SCH,53.0,Loudoun County ,720.0,02,2.0,M,Y,N,Y,DD,10
689,Gunston Elementary,2010-2011,SCH,29.0,Fairfax County ,690.0,04,5.0,M,Y,N,N,SLD,10
690,Gunston Middle,2010-2011,SCH,7.0,Arlington County ,611.0,06,4.0,F,Y,Y,Y,SLD,10
691,Guy K. Stump Elementary,2010-2011,SCH,8.0,Augusta County ,843.0,,5.0,F,Y,N,N,SLI,10
692,H.H. Poole Middle,2010-2011,SCH,89.0,Stafford County ,422.0,06,5.0,M,Y,N,N,SLD,10
693,H.M. Pearson Elementary,2010-2011,SCH,30.0,Fauquier County ,750.0,01,5.0,M,Y,N,N,SLD,12
694,Halifax County High,2010-2011,SCH,41.0,Halifax County ,10.0,09,3.0,F,Y,N,Y,SLD,13
695,Halifax County Middle,2010-2011,SCH,41.0,Halifax County ,1480.0,06,3.0,F,Y,N,Y,SLD,18
696,Halley Elementary,2010-2011,SCH,29.0,Fairfax County ,2210.0,01,5.0,F,Y,N,N,SLD,10
697,Hamilton Crockford High,2010-2011,SCH,900.0,Department of Correctional Education,45.0,12,3.0,M,Y,N,Y,EMN,17
698,Hamilton Elementary,2010-2011,SCH,53.0,Loudoun County ,230.0,01,5.0,M,Y,N,N,AUT,10
699,Hamilton Holmes Middle,2010-2011,SCH,50.0,King William County ,160.0,06,3.0,M,Y,N,N,SLD,10
700,Hampton High,2010-2011,SCH,112.0,Hampton City ,280.0,09,3.0,F,Y,N,N,SLD,12
701,Hampton Oaks Elementary,2010-2011,SCH,89.0,Stafford County ,320.0,03,3.0,M,Y,N,Y,SLI,10
702,Hanover High,2010-2011,SCH,42.0,Hanover County ,554.0,09,5.0,M,Y,N,N,SLD,15
703,Hardin Reynolds Elementary,2010-2011,SCH,70.0,Patrick County ,350.0,04,5.0,M,Y,N,Y,SLD,11
704,Harding Avenue Elementary,2010-2011,SCH,60.0,Montgomery County ,10.0,,5.0,M,Y,N,N,,10
705,Hardy Elementary,2010-2011,SCH,46.0,Isle of Wight County ,320.0,02,5.0,M,Y,N,Y,SLI,14
706,Harmony Middle,2010-2011,SCH,53.0,Loudoun County ,921.0,06,5.0,F,Y,N,N,SLD,13
707,Harold Macon Ratcliffe Elementary,2010-2011,SCH,43.0,Henrico County ,420.0,01,3.0,M,Y,N,Y,ID,11
708,Harper Park Middle,2010-2011,SCH,53.0,Loudoun County ,520.0,06,4.0,M,Y,N,Y,SLD,10
709,Harrington Waddell Elementary,2010-2011,SCH,137.0,Lexington City ,1390.0,02,5.0,M,Y,N,N,,10
710,Harrison Road Elementary,2010-2011,SCH,88.0,Spotsylvania County ,507.0,01,5.0,M,Y,N,Y,SLI,10
711,Harrisonburg High,2010-2011,SCH,113.0,Harrisonburg City ,12.0,09,4.0,M,Y,Y,Y,SLD,10
712,Harrowgate Elementary,2010-2011,SCH,21.0,Chesterfield County ,460.0,01,5.0,M,Y,N,N,SLI,13
713,Harry E. James Elementary,2010-2011,SCH,114.0,Hopewell City ,140.0,01,3.0,F,Y,N,Y,SLI,10
714,Harry F. Byrd Middle,2010-2011,SCH,43.0,Henrico County ,690.0,06,3.0,M,Y,N,N,SLD,14
715,Hartwood Elementary,2010-2011,SCH,89.0,Stafford County ,250.0,05,3.0,M,Y,N,Y,SLI,10
716,Harvie Elementary,2010-2011,SCH,43.0,Henrico County ,94.0,01,3.0,M,Y,N,N,SLI,10
717,Haycock Elementary,2010-2011,SCH,29.0,Fairfax County ,750.0,03,5.0,M,Y,N,N,DD,10
718,Hayfield Elementary,2010-2011,SCH,29.0,Fairfax County ,1740.0,03,5.0,M,Y,N,N,DD,10
719,Hayfield Secondary,2010-2011,SCH,29.0,Fairfax County ,1800.0,07,3.0,M,Y,N,N,SLD,14
720,Haysi High,2010-2011,SCH,26.0,Dickenson County ,120.0,09,5.0,M,Y,N,Y,SLD,12
721,Henderson Middle,2010-2011,SCH,123.0,Richmond City ,470.0,06,3.0,F,Y,N,Y,SLD,18
722,Henrico High,2010-2011,SCH,43.0,Henrico County ,610.0,09,3.0,F,Y,N,Y,SLD,14
723,Henry Clay Elementary,2010-2011,SCH,42.0,Hanover County ,150.0,01,5.0,M,Y,N,Y,SLI,11
724,Henry D. Ward Elementary,2010-2011,SCH,43.0,Henrico County ,330.0,03,3.0,M,Y,N,Y,ID,12
725,Henry Elementary,2010-2011,SCH,7.0,Arlington County ,160.0,01,3.0,M,Y,Y,N,SLI,10
726,Herbert J. Saunders Middle,2010-2011,SCH,75.0,Prince William County ,380.0,06,3.0,M,Y,N,Y,SLD,11
727,Heritage Elementary,2010-2011,SCH,115.0,Lynchburg City ,1102.0,01,3.0,M,Y,N,Y,DD,10
728,Heritage High,2010-2011,SCH,53.0,Loudoun County ,900.0,09,5.0,M,Y,N,N,SLD,10
729,Herman L. Horn Elementary,2010-2011,SCH,80.0,Roanoke County ,540.0,04,5.0,F,Y,N,N,SLI,13
730,Hermitage Elementary,2010-2011,SCH,128.0,Virginia Beach City ,540.0,04,5.0,M,Y,N,N,DD,14
731,Hermitage High,2010-2011,SCH,43.0,Henrico County ,670.0,09,3.0,F,Y,N,N,SLD,16
732,Herndon Elementary,2010-2011,SCH,29.0,Fairfax County ,1250.0,01,5.0,M,Y,N,N,SLD,10
733,Herndon High,2010-2011,SCH,29.0,Fairfax County ,32.0,09,3.0,M,Y,N,Y,SLD,10
734,Herndon Middle,2010-2011,SCH,29.0,Fairfax County ,33.0,07,3.0,M,Y,N,N,SLD,10
735,Hickory Elementary,2010-2011,SCH,136.0,Chesapeake City ,340.0,01,5.0,M,Y,N,N,SLI,11
