,SCH_NAME,SCHOOL_YR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,GRADE_CODE,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,PRIMARY_DISABILITY_TYPE,DEC1_CNT
133,Beulah Elementary,2010-2011,SCH,21.0,Chesterfield County ,130.0,02,3.0,M,Y,N,Y,SLD,11
134,Beverley Manor Elementary,2010-2011,SCH,8.0,Augusta County ,210.0,,5.0,F,Y,N,Y,SLI,10
135,Beverley Manor Middle,2010-2011,SCH,8.0,Augusta County ,212.0,06,5.0,M,Y,N,N,SLD,11
136,Big Island Elementary,2010-2011,SCH,10.0,Bedford County ,30.0,,5.0,M,Y,N,Y,,10
137,Binford Middle,2010-2011,SCH,123.0,Richmond City ,50.0,06,3.0,F,Y,N,Y,OHI,10
138,Birdneck Elementary,2010-2011,SCH,128.0,Virginia Beach City ,60.0,01,5.0,M,Y,N,Y,SLD,10
139,Blacksburg High,2010-2011,SCH,60.0,Montgomery County ,760.0,09,5.0,M,Y,N,N,SLD,14
140,Blacksburg Middle,2010-2011,SCH,60.0,Montgomery County ,710.0,06,5.0,F,Y,N,N,SLD,10
141,Blackstone Primary,2010-2011,SCH,67.0,Nottoway County ,340.0,04,3.0,M,Y,N,Y,SLD,10
142,Blackwell Elementary,2010-2011,SCH,123.0,Richmond City ,170.0,01,3.0,M,Y,N,Y,SLD,11
143,Blair Middle,2010-2011,SCH,118.0,Norfolk City ,20.0,06,3.0,F,Y,N,Y,SLD,13
144,Bland Elementary,2010-2011,SCH,11.0,Bland County ,232.0,,5.0,M,Y,N,N,,14
145,Bland High,2010-2011,SCH,11.0,Bland County ,231.0,,5.0,M,Y,N,N,SLD,13
146,Blue Ridge Elementary,2010-2011,SCH,70.0,Patrick County ,440.0,,5.0,M,Y,N,Y,SLI,19
147,Blue Ridge Middle,2010-2011,SCH,53.0,Loudoun County ,790.0,06,5.0,M,Y,N,N,SLD,18
148,Bluestone  High,2010-2011,SCH,58.0,Mecklenburg County ,980.0,09,3.0,F,Y,N,Y,SLD,11
149,Bluestone Middle,2010-2011,SCH,58.0,Mecklenburg County ,960.0,06,3.0,M,Y,N,Y,SLD,11
150,Body Camp Elementary,2010-2011,SCH,10.0,Bedford County ,1160.0,,5.0,M,Y,N,Y,SLI,10
151,Boiling Spring Elementary,2010-2011,SCH,3.0,Alleghany County ,280.0,,5.0,M,Y,N,Y,,14
152,Bon Air Elementary,2010-2011,SCH,21.0,Chesterfield County ,20.0,04,5.0,M,Y,N,N,SLI,10
153,Bonnie Brae Elementary,2010-2011,SCH,29.0,Fairfax County ,2000.0,03,5.0,M,Y,N,N,SLD,10
154,Bonsack Elementary,2010-2011,SCH,80.0,Roanoke County ,752.0,01,5.0,F,Y,N,N,SLI,10
155,Booker Elementary,2010-2011,SCH,112.0,Hampton City ,470.0,02,5.0,M,Y,N,N,SLD,12
156,Booker T. Washington Elementary,2010-2011,SCH,127.0,Suffolk City ,50.0,03,3.0,M,Y,N,Y,SLD,10
157,Boones Mill Elementary,2010-2011,SCH,33.0,Franklin County ,1370.0,04,5.0,F,Y,N,N,SLD,13
158,Boonsboro Elementary,2010-2011,SCH,10.0,Bedford County ,160.0,,5.0,M,Y,N,N,,10
159,Botetourt Elementary,2010-2011,SCH,36.0,Gloucester County ,100.0,02,5.0,M,Y,N,Y,SLI,11
160,Bowling Green Elementary,2010-2011,SCH,17.0,Caroline County ,620.0,03,5.0,M,Y,N,Y,SLD,14
161,Bowling Green Primary,2010-2011,SCH,17.0,Caroline County ,610.0,01,3.0,M,Y,N,Y,SLI,10
162,Boyce Elementary,2010-2011,SCH,22.0,Clarke County ,250.0,04,5.0,M,Y,N,N,SLI,10
