ï»¿Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2017,Minnesota,STEELE,,,,,,KG,547,,,1,,,4,,,,,516,14,535,7,,,521,14,14,,,527,12,523,11,,,,,,,,,
2017,Minnesota,STEVENS,,,,,,KG,124,,,0,,,3,,,,,116,4,119,4,,,120,3,3,,,120,3,119,3,,,,,,,,,
2017,Minnesota,SWIFT,,,,,,KG,167,,,0,,,2,,,,,152,4,163,3,,,154,5,5,,,158,3,155,4,,,,,,,,,
2017,Minnesota,TODD,,,,,,KG,194,,,0,,,3,,,,,181,7,188,5,,,185,6,6,,,187,6,187,6,,,,,,,,,
2017,Minnesota,TRAVERSE,,,,,,KG,22,,,0,,,0,,,,,22,0,22,0,,,22,0,0,,,22,0,22,0,,,,,,,,,
2017,Minnesota,WABASHA,,,,,,KG,238,,,1,,,3,,,,,224,10,234,4,,,230,6,6,,,232,5,231,5,,,,,,,,,
2017,Minnesota,WADENA,,,,,,KG,232,,,0,,,23,,,,,186,30,207,23,,,202,30,30,,,202,29,200,30,,,,,,,,,
2017,Minnesota,WASECA,,,,,,KG,199,,,0,,,0,,,,,193,1,197,0,,,193,1,1,,,194,1,192,2,,,,,,,,,
2017,Minnesota,WASHINGTON,,,,,,KG,3232,,,1,,,40,,,,,3061,121,3108,93,,,3075,113,113,,,3075,106,3073,109,,,,,,,,,
2017,Minnesota,WATONWAN,,,,,,KG,160,,,0,,,0,,,,,158,0,158,0,,,159,0,0,,,156,0,156,0,,,,,,,,,
2017,Minnesota,WILKIN,,,,,,KG,69,,,0,,,0,,,,,57,0,66,0,,,57,0,0,,,58,0,58,0,,,,,,,,,
2017,Minnesota,WINONA,,,,,,KG,423,,,0,,,5,,,,,398,8,411,7,,,399,7,7,,,398,7,399,7,,,,,,,,,
2017,Minnesota,WRIGHT,,,,,,KG,2095,,,0,,,78,,,,,1899,140,1947,116,,,1934,124,124,,,1940,121,1938,121,,,,,,,,,
2017,Minnesota,YELLOW MEDICINE,,,,,,KG,126,,,0,,,1,,,,,121,3,125,1,,,121,3,3,,,123,2,119,3,,,,,,,,,
2017,Minnesota,AITKIN,,,,,,MS,121,,,0,,,1,,,115,1,110,6,117,3,,,116,4,5,,,117,3,117,3,,,84,1,,,,,
2017,Minnesota,ANOKA,,,,,,MS,4373,,,1,,,29,,,4142,86,4238,85,4308,55,,,4276,81,82,,,4304,62,4267,85,,,4128,91,,,,,
2017,Minnesota,BECKER,,,,,,MS,402,,,0,,,3,,,371,9,391,7,397,4,,,395,6,6,,,398,3,398,3,,,370,9,,,,,
2017,Minnesota,BELTRAMI,,,,,,MS,673,,,0,,,9,,,557,52,641,16,654,17,,,652,16,16,,,636,16,618,51,,,545,57,,,,,
2017,Minnesota,BENTON,,,,,,MS,511,,,0,,,5,,,477,7,493,13,504,7,,,502,9,9,,,501,10,504,7,,,470,8,,,,,
2017,Minnesota,BIG STONE,,,,,,MS,60,,,0,,,0,,,57,0,60,0,60,0,,,60,0,0,,,60,0,60,0,,,57,0,,,,,
2017,Minnesota,BLUE EARTH,,,,,,MS,900,,,0,,,5,,,882,13,866,14,892,7,,,886,12,12,,,889,9,890,7,,,878,16,,,,,
2017,Minnesota,BROWN,,,,,,MS,321,,,0,,,2,,,311,7,292,5,317,4,,,315,4,4,,,318,3,313,4,,,309,8,,,,,
2017,Minnesota,CARLTON,,,,,,MS,484,,,1,,,2,,,457,5,468,7,478,4,,,475,5,5,,,476,6,474,6,,,454,5,,,,,
2017,Minnesota,CARVER,,,,,,MS,1508,,,1,,,22,,,1413,46,1435,55,1468,36,,,1460,44,46,,,1467,37,1465,41,,,1412,45,,,,,
2017,Minnesota,CASS,,,,,,MS,250,,,0,,,6,,,206,10,220,13,242,6,,,239,9,9,,,236,10,240,8,,,206,9,,,,,
2017,Minnesota,CHIPPEWA,,,,,,MS,108,,,0,,,2,,,102,4,102,4,103,4,,,102,5,6,,,103,4,103,4,,,101,5,,,,,
2017,Minnesota,CHISAGO,,,,,,MS,547,,,0,,,13,,,526,21,516,25,529,18,,,528,19,19,,,528,19,528,18,,,523,24,,,,,
2017,Minnesota,CLAY,,,,,,MS,778,,,0,,,6,,,712,10,754,11,766,11,,,765,9,10,,,767,10,768,8,,,701,11,,,,,
2017,Minnesota,CLEARWATER,,,,,,MS,130,,,0,,,2,,,100,2,120,2,124,2,,,123,2,2,,,123,2,124,2,,,98,2,,,,,
2017,Minnesota,COOK,,,,,,MS,93,,,0,,,0,,,81,1,81,5,89,1,,,91,1,1,,,89,1,88,2,,,79,1,,,,,
