ï»¿Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2012,Pennsylvania,Indiana,,,,,,KG,775,,,4,,,,0,18,0,,676,,753,,,,698,,,,,760,,729,,,,0,,,,,,
2012,Pennsylvania,Indiana,,,,,,MS,841,,,6,,,,0,43,699,,766,,800,,,,800,,,,,801,,800,,,,709,,,,,,
2012,Pennsylvania,Jefferson,,,,,,KG,394,,,2,,,,0,4,0,,349,,378,,,,351,,,,,369,,364,,,,0,,,,,,
2012,Pennsylvania,Jefferson,,,,,,MS,408,,,0,,,,0,35,275,,362,,369,,,,371,,,,,371,,371,,,,273,,,,,,
2012,Pennsylvania,Juniata,,,,,,KG,211,,,3,,,,0,7,0,,169,,203,,,,175,,,,,200,,177,,,,0,,,,,,
2012,Pennsylvania,Juniata,,,,,,MS,273,,,3,,,,0,21,179,,227,,253,,,,252,,,,,255,,253,,,,183,,,,,,
2012,Pennsylvania,Lackawanna,,,,,,KG,2533,,,32,,,,0,21,0,,2191,,2437,,,,2203,,,,,2465,,2301,,,,0,,,,,,
2012,Pennsylvania,Lackawanna,,,,,,MS,2425,,,24,,,,0,23,1892,,2230,,2356,,,,2352,,,,,2359,,2350,,,,1902,,,,,,
2012,Pennsylvania,Lancaster,,,,,,KG,5667,,,34,,,,0,146,0,,4690,,5321,,,,4726,,,,,5424,,4981,,,,0,,,,,,
2012,Pennsylvania,Lancaster,,,,,,MS,6725,,,97,,,,0,533,5116,,5429,,6134,,,,6168,,,,,6215,,6195,,,,4884,,,,,,
2012,Pennsylvania,Lawrence,,,,,,KG,944,,,1,,,,0,17,0,,791,,913,,,,805,,,,,918,,902,,,,0,,,,,,
2012,Pennsylvania,Lawrence,,,,,,MS,1099,,,11,,,,0,55,866,,964,,1024,,,,1022,,,,,1026,,1026,,,,865,,,,,,
2012,Pennsylvania,Lebanon,,,,,,KG,1666,,,10,,,,0,31,0,,1532,,1591,,,,1551,,,,,1568,,1573,,,,0,,,,,,
2012,Pennsylvania,Lebanon,,,,,,MS,1766,,,24,,,,0,52,1594,,1583,,1691,,,,1681,,,,,1707,,1698,,,,1592,,,,,,
2012,Pennsylvania,Lehigh,,,,,,KG,4305,,,36,,,,0,65,0,,3779,,4063,,,,3922,,,,,4118,,3841,,,,0,,,,,,
2012,Pennsylvania,Lehigh,,,,,,MS,4544,,,19,,,,0,45,3498,,4062,,4474,,,,4481,,,,,4492,,4402,,,,3459,,,,,,
2012,Pennsylvania,Luzerne,,,,,,KG,3584,,,18,,,,0,40,0,,3175,,3429,,,,3214,,,,,3453,,3304,,,,0,,,,,,
2012,Pennsylvania,Luzerne,,,,,,MS,3519,,,31,,,,0,43,2755,,3252,,3479,,,,3480,,,,,3489,,3426,,,,2744,,,,,,
