ï»¿Year,State,County,School District ,City ,Number Reporting,School,Public/Private,Age,Total_enrolled,Total_Complete,Total_Exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No Record
2017,Texas,Gray,,,,,,,4033,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Grayson,,,,,,,23276,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Gregg,,,,,,,24206,,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Grimes,,,,,,,4572,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Guadalupe,,,,,,,26505,,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hale,,,,,,,7294,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hall,,,,,,,704,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hamilton,,,,,,,1442,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hansford,,,,,,,1439,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hardeman,,,,,,,750,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hardin,,,,,,,10885,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Harris,,,,,,,911170,,,,,,7563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Harrison,,,,,,,13203,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hartley,,,,,,,420,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Haskell,,,,,,,826,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hays,,,,,,,37518,,,,,,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hemphill,,,,,,,930,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Henderson,,,,,,,10114,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hidalgo,,,,,,,240049,,,,,,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hill,,,,,,,6671,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hockley,,,,,,,4907,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hood,,,,,,,8320,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
