ï»¿Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2015,Indiana,Hendricks,,,,,,MS,2934,2336,,,,,,,,2836,,2341,,2836,,N/A,,2570,,,,,2496,,2340,,,,2816,,,,,,
2015,Indiana,Henry,,,,,,KG,574,428,,,,,,,,512,,539,,467,,535,,546,,,,,534,,502,,,,0,,,,,,
2015,Indiana,Henry,,,,,,MS,678,545,,,,,,,,610,,596,,670,,N/A,,628,,,,,592,,558,,,,604,,,,,,
2015,Indiana,Howard,,,,,,KG,1124,551,,,,,,,,770,,874,,579,,828,,878,,,,,856,,766,,,,0,,,,,,
2015,Indiana,Howard,,,,,,MS,1246,909,,,,,,,,1160,,957,,1159,,N/A,,1037,,,,,1015,,940,,,,1041,,,,,,
2015,Indiana,Huntington,,,,,,KG,484,303,,,,,,,,383,,422,,318,,389,,424,,,,,432,,357,,,,0,,,,,,
2015,Indiana,Huntington,,,,,,MS,548,384,,,,,,,,500,,433,,499,,N/A,,478,,,,,465,,389,,,,465,,,,,,
2015,Indiana,Jackson,,,,,,KG,677,394,,,,,,,,533,,592,,425,,506,,601,,,,,584,,520,,,,0,,,,,,
2015,Indiana,Jackson,,,,,,MS,727,570,,,,,,,,719,,622,,718,,N/A,,661,,,,,635,,597,,,,654,,,,,,
2015,Indiana,Jasper,,,,,,KG,459,310,,,,,,,,391,,409,,370,,321,,411,,,,,402,,380,,,,0,,,,,,
2015,Indiana,Jasper,,,,,,MS,532,378,,,,,,,,507,,383,,506,,N/A,,455,,,,,448,,412,,,,452,,,,,,
2015,Indiana,Jay,,,,,,KG,296,208,,,,,,,,239,,254,,233,,246,,254,,,,,246,,223,,,,0,,,,,,
2015,Indiana,Jay,,,,,,MS,337,260,,,,,,,,335,,263,,334,,N/A,,303,,,,,294,,268,,,,314,,,,,,
2015,Indiana,Jefferson,,,,,,KG,445,288,,,,,,,,358,,370,,343,,301,,372,,,,,380,,337,,,,0,,,,,,
2015,Indiana,Jefferson,,,,,,MS,457,337,,,,,,,,453,,383,,452,,N/A,,407,,,,,392,,348,,,,409,,,,,,
2015,Indiana,Jennings,,,,,,KG,375,257,,,,,,,,317,,345,,270,,339,,347,,,,,337,,313,,,,0,,,,,,
2015,Indiana,Jennings,,,,,,MS,468,357,,,,,,,,426,,372,,458,,N/A,,399,,,,,384,,359,,,,421,,,,,,
2015,Indiana,Johnson,,,,,,KG,2210,1034,,,,,,,,1664,,1812,,1117,,1725,,1831,,,,,1788,,1664,,,,0,,,,,,
2015,Indiana,Johnson,,,,,,MS,2282,1855,,,,,,,,2218,,1908,,2217,,N/A,,2081,,,,,2014,,1872,,,,2210,,,,,,
2015,Indiana,Knox,,,,,,KG,520,359,,,,,,,,438,,467,,377,,427,,470,,,,,467,,436,,,,0,,,,,,
2015,Indiana,Knox,,,,,,MS,503,378,,,,,,,,482,,380,,484,,N/A,,445,,,,,437,,414,,,,462,,,,,,
2015,Indiana,Kosciusko,,,,,,KG,932,590,,,,,,,,691,,726,,672,,767,,759,,,,,714,,620,,,,0,,,,,,
2015,Indiana,Kosciusko,,,,,,MS,900,651,,,,,,,,852,,654,,851,,N/A,,795,,,,,750,,693,,,,785,,,,,,
2015,Indiana,La Porte,,,,,,KG,1439,802,,,,,,,,1101,,1237,,842,,1109,,1249,,,,,1221,,1093,,,,0,,,,,,
2015,Indiana,La Porte,,,,,,MS,1698,1248,,,,,,,,1679,,1407,,1678,,N/A,,1512,,,,,1453,,1306,,,,1650,,,,,,
2015,Indiana,Lagrange,,,,,,KG,692,352,,,,,,,,438,,450,,450,,450,,461,,,,,469,,370,,,,0,,,,,,
2015,Indiana,Lagrange,,,,,,MS,728,445,,,,,,,,617,,457,,616,,N/A,,537,,,,,490,,447,,,,609,,,,,,
2015,Indiana,Lake,,,,,,KG,6885,3698,,,,,,,,4639,,5179,,3920,,4334,,5248,,,,,4976,,4411,,,,0,,,,,,
2015,Indiana,Lake,,,,,,MS,8644,5152,,,,,,,,7112,,5630,,7111,,N/A,,6395,,,,,6061,,5283,,,,6448,,,,,,
2015,Indiana,Lawrence,,,,,,KG,536,369,,,,,,,,459,,485,,402,,455,,493,,,,,484,,458,,,,0,,,,,,
2015,Indiana,Lawrence,,,,,,MS,585,476,,,,,,,,533,,502,,570,,N/A,,541,,,,,526,,493,,,,522,,,,,,
2015,Indiana,Madison,,,,,,KG,1761,1135,,,,,,,,1347,,1438,,1214,,1424,,1456,,,,,1413,,1304,,,,0,,,,,,
2015,Indiana,Madison,,,,,,MS,1823,1406,,,,,,,,1789,,1479,,1788,,N/A,,1618,,,,,1554,,1422,,,,1701,,,,,,
2015,Indiana,Marion,,,,,,KG,16221,6950,,,,,,,,10105,,11640,,7575,,10712,,11731,,,,,11195,,9920,,,,0,,,,,,
2015,Indiana,Marion,,,,,,MS,17080,9639,,,,,,,,13290,,10778,,13289,,N/A,,11811,,,,,11130,,9827,,,,9915,,,,,,
2015,Indiana,Marshall,,,,,,KG,682,413,,,,,,,,495,,526,,446,,433,,540,,,,,545,,449,,,,0,,,,,,
2015,Indiana,Marshall,,,,,,MS,713,534,,,,,,,,702,,575,,701,,N/A,,646,,,,,621,,546,,,,679,,,,,,
2015,Indiana,Martin,,,,,,KG,155,111,,,,,,,,135,,118,,135,,128,,139,,,,,135,,129,,,,0,,,,,,
2015,Indiana,Martin,,,,,,MS,172,118,,,,,,,,161,,123,,162,,N/A,,151,,,,,151,,142,,,,131,,,,,,
2015,Indiana,Miami,,,,,,KG,415,269,,,,,,,,330,,360,,290,,347,,365,,,,,352,,311,,,,0,,,,,,
2015,Indiana,Miami,,,,,,MS,473,378,,,,,,,,469,,388,,470,,N/A,,434,,,,,429,,395,,,,392,,,,,,
2015,Indiana,Monroe,,,,,,KG,1307,931,,,,,,,,1073,,1099,,968,,1210,,1133,,,,,1123,,1067,,,,0,,,,,,
2015,Indiana,Monroe,,,,,,MS,1443,1122,,,,,,,,1407,,1129,,1406,,N/A,,1251,,,,,1221,,1131,,,,1309,,,,,,
2015,Indiana,Montgomery,,,,,,KG,442,298,,,,,,,,351,,380,,310,,384,,385,,,,,375,,332,,,,0,,,,,,
2015,Indiana,Montgomery,,,,,,MS,585,430,,,,,,,,542,,455,,548,,N/A,,490,,,,,476,,442,,,,511,,,,,,
2015,Indiana,Morgan,,,,,,KG,1016,626,,,,,,,,821,,897,,676,,811,,909,,,,,881,,816,,,,0,,,,,,
2015,Indiana,Morgan,,,,,,MS,1234,903,,,,,,,,1180,,1008,,1179,,N/A,,1074,,,,,1018,,927,,,,927,,,,,,
2015,Indiana,Newton,,,,,,KG,132,94,,,,,,,,111,,113,,119,,118,,116,,,,,109,,100,,,,0,,,,,,
2015,Indiana,Newton,,,,,,MS,162,103,,,,,,,,125,,108,,139,,N/A,,126,,,,,114,,102,,,,133,,,,,,
