Year,RCDTS,Enrollment,PME,PBE
2009-2010,170640050262007,251,0,2
2009-2010,320380090261002,291,0,0
2009-2010,190220440021009,1060,2,7
2009-2010,190220160021004,695,0,1
2009-2010,490810370021002,1056,0,0
2009-2010,14016071X160000,72,0,0
2009-2010,14016679Z270000,51,0,3
2009-2010,340490600262009,681,0,0
2009-2010,510840050260001,1359,1,2
2009-2010,510840050262005,639,0,2
2009-2010,510840050261002,994,3,1
2009-2010,14016029X010000,104,0,0
2009-2010,31045096X010000,31,0,0
2009-2010,150162990252950,150,0,4
2009-2010,150162990250809,207,0,0
2009-2010,14016173X060000,45,0,0
2009-2010,56099060P003101,20,0,1
2009-2010,150162990252220,743,0,4
2009-2010,150162990252221,277,0,0
2009-2010,140160670021002,264,0,1
2009-2010,310453000262012,686,0,0
2009-2010,150162990252222,304,0,0
2009-2010,560990860051002,823,0,0
2009-2010,56099049P003101,19,0,0
2009-2010,41057078X060000,437,1,4
2009-2010,53090017X060000,160,1,2
2009-2010,19022078X060000,96,0,0
2009-2010,31045007X060000,53,0,4
2009-2010,431021400262005,87,0,1
2009-2010,56099033C042003,475,0,4
2009-2010,150162990252812,518,0,0
2009-2010,190220680022002,345,0,1
2009-2010,310451290222006,504,1,1
2009-2010,140160990022005,843,0,0
2009-2010,500821890222055,435,0,0
2009-2010,190222040261002,1041,1,5
2009-2010,140161435022010,573,0,0
2009-2010,14016031Y100000,490,0,0
2009-2010,410570070262011,370,0,0
2009-2010,32046040Z250000,19,0,0
2009-2010,150162990252223,726,0,1
2009-2010,50082077Z010000,158,0,0
2009-2010,190220620021001,441,0,3
2009-2010,190220620022002,471,2,6
2009-2010,32046015Z260000,162,0,2
2009-2010,14016175X060000,79,0,0
2009-2010,310451010222009,481,0,1
2009-2010,14016811X160000,18,0,0
2009-2010,400421000262006,206,0,2
2009-2010,150162990252224,514,0,0
2009-2010,150162990253715,171,0,0
2009-2010,460090150263002,140,0,0
2009-2010,250410060042001,71,0,0
2009-2010,560992020222005,769,3,6
2009-2010,350500950042001,342,0,3
2009-2010,240473080262014,441,1,2
2009-2010,240471150262007,508,3,3
2009-2010,410570090263001,287,0,0
2009-2010,410570090260001,2144,0,0
2009-2010,41057031P003101,68,0,0
2009-2010,340491240160001,1762,2,3
2009-2010,140160880022001,617,0,0
2009-2010,500821100042003,408,0,0
2009-2010,320460060262002,397,0,5
2009-2010,320460060260001,175,0,0
2009-2010,140160880022009,112,0,0
2009-2010,14016228P003103,36,0,0
2009-2010,410570050262005,73,0,0
2009-2010,140160910022005,112,0,0
2009-2010,340490360022001,201,2,0
2009-2010,150162990252226,1276,3,0
2009-2010,140160150042013,539,1,2
2009-2010,170534250042001,42,0,0
2009-2010,340491270160001,1327,3,7
2009-2010,340490460043001,134,2,0
2009-2010,340490460041001,808,5,4
2009-2010,340491270160002,1475,0,7
2009-2010,200970010260003,159,0,0
2009-2010,140160360022002,287,0,2
2009-2010,150162990252227,551,0,0
2009-2010,150162990252048,268,0,0
2009-2010,340491120023001,204,0,1
2009-2010,56099207U262005,211,1,5
2009-2010,340491870262003,313,0,0
2009-2010,140160280022002,365,0,3
2009-2010,140161700022009,300,1,0
2009-2010,140161300023002,114,0,0
2009-2010,140160250022004,351,1,2
2009-2010,190220200022003,513,0,4
2009-2010,150162990252229,646,0,0
2009-2010,400310100262003,340,0,1
2009-2010,010010040262004,132,0,0
2009-2010,400310100260001,162,0,0
2009-2010,310451290222007,698,0,0
2009-2010,380652000262001,116,0,1
2009-2010,030030020262003,605,0,0
2009-2010,030030020261002,315,0,0
2009-2010,140161500022001,406,0,0
2009-2010,340490600262010,331,0,1
2009-2010,440632000262004,369,1,3
2009-2010,140161300022020,86,0,0
2009-2010,041012050252029,321,0,0
2009-2010,110870210262001,211,0,0
2009-2010,150162990252230,376,0,0
2009-2010,150162990252231,433,0,0
2009-2010,431020110262003,97,0,2
2009-2010,010750040260002,131,0,0
2009-2010,010750040261002,111,0,0
2009-2010,010750040262001,174,0,0
2009-2010,410570090261004,678,0,0
2009-2010,150162990252232,485,0,0
2009-2010,150162990252622,317,0,0
2009-2010,340492200262004,540,1,3
2009-2010,120400010262005,143,1,0
2009-2010,140160270022001,212,0,1
2009-2010,170640050262018,719,2,7
2009-2010,140160590041010,904,2,1
2009-2010,530907090262001,313,2,1
2009-2010,14016414X170000,48,0,3
2009-2010,14016063Y100000,620,0,0
2009-2010,150162990252233,255,0,0
2009-2010,041012050250003,1989,2,1
2009-2010,150162990252811,840,0,1
2009-2010,34049033X110000,41,2,1
2009-2010,340490560022003,435,0,4
2009-2010,160194280262011,388,0,2
2009-2010,190222040262015,662,0,3
2009-2010,140160970021003,838,0,9
2009-2010,310451010222007,487,0,3
2009-2010,140161170021001,946,1,1
2009-2010,140162180160004,1722,0,1
2009-2010,340490600262015,442,0,3
2009-2010,190220410021009,1167,1,7
2009-2010,56099033C042005,787,1,3
2009-2010,150162990252235,711,0,0
2009-2010,560991220022002,477,0,8
2009-2010,310453030261010,1109,1,8
2009-2010,150162990252239,869,0,1
2009-2010,14016032Y100000,170,0,0
2009-2010,150162990252092,559,3,0
2009-2010,340491030022003,350,0,0
2009-2010,310451290222008,548,0,0
2009-2010,280065020170001,400,0,0
2009-2010,410570070262008,122,3,1
2009-2010,250330100260002,590,1,2
2009-2010,250330100263001,72,0,1
2009-2010,150162990252240,238,1,1
2009-2010,490810400222014,159,0,0
2009-2010,260343280242004,647,0,7
2009-2010,140161250021001,243,0,0
2009-2010,150162990252241,788,0,0
2009-2010,150162990252242,510,0,0
2009-2010,310453000262013,397,0,4
2009-2010,310453000260003,1004,0,7
2009-2010,310453000261008,683,0,3
2009-2010,150162990252916,718,0,0
2009-2010,490810290022001,255,1,4
2009-2010,150162990250779,996,0,0
2009-2010,14016864Y050000,109,2,1
2009-2010,440630470041005,1041,0,4
2009-2010,310450460222019,419,0,2
2009-2010,140160540042013,436,0,0
2009-2010,150162990252726,1387,1,0
2009-2010,200350010262001,352,3,0
2009-2010,200350010260003,162,0,1
2009-2010,200350010261001,107,0,0
2009-2010,350500020262002,164,0,3
2009-2010,270942380262001,232,1,1
2009-2010,150162990250016,1269,1,0
2009-2010,041011220220002,1820,0,0
2009-2010,041011220221005,1170,0,0
2009-2010,140161220022003,513,0,2
2009-2010,140160390022003,432,0,2
2009-2010,150162990250017,711,0,0
2009-2010,310450460222016,478,0,2
2009-2010,140161480022009,304,1,1
2009-2010,410570120262004,227,0,0
2009-2010,200830030260001,602,1,1
2009-2010,200830030261002,478,0,0
2009-2010,440630360022001,487,0,7
2009-2010,480721500252036,310,0,0
2009-2010,310453040262004,461,5,6
2009-2010,390550090262001,225,0,0
2009-2010,310453000260004,2322,3,8
2009-2010,140161110022011,385,0,0
2009-2010,150162990252244,365,0,2
2009-2010,310453020261001,1100,0,5
2009-2010,410570150032004,235,0,0
2009-2010,380540210260001,160,2,0
2009-2010,150162990252246,469,0,0
2009-2010,440630500260001,689,0,2
2009-2010,440630500261002,693,0,1
2009-2010,510841860252044,372,0,0
2009-2010,14016694X260000,126,0,5
2009-2010,31045041X270000,551,0,34
2009-2010,041012050252034,278,0,0
2009-2010,150162990252247,1259,1,1
2009-2010,380601260260001,327,0,0
2009-2010,380601260261001,317,0,0
2009-2010,140160650041007,624,1,4
2009-2010,310450460222055,517,1,2
2009-2010,340490730042007,594,1,6
2009-2010,130581110022004,416,1,0
2009-2010,340490730042002,498,0,0
2009-2010,340490730042004,658,3,3
2009-2010,340490730042001,612,1,2
2009-2010,340490730041001,583,0,0
2009-2010,340490730042006,912,1,1
2009-2010,14016228P003102,12,0,0
2009-2010,150162990252249,565,1,0
2009-2010,190222000262002,317,0,6
2009-2010,190222050262006,595,4,4
2009-2010,150162990252636,646,0,0
2009-2010,150162990252252,973,0,1
2009-2010,510841860252020,188,0,0
2009-2010,140161260022001,346,1,1
2009-2010,540921180243107,34,0,0
2009-2010,540921180243106,17,0,0
2009-2010,150162990252254,1359,0,0
2009-2010,150162990252255,348,0,0
2009-2010,310453040262001,452,1,5
2009-2010,140161610022002,295,1,0
2009-2010,330482170262003,345,0,3
2009-2010,150162990252256,903,0,0
2009-2010,150162990252257,332,0,0
2009-2010,440631580221002,778,1,4
2009-2010,140161400022004,395,0,0
2009-2010,140160540041020,562,3,6
2009-2010,14016380X170000,110,2,0
2009-2010,14016428X160000,21,0,2
2009-2010,150162990252258,468,1,0
2009-2010,150162990252259,316,0,0
2009-2010,140160340042002,543,0,2
2009-2010,150162990252260,678,0,0
2009-2010,190220580022014,290,0,5
2009-2010,500821180022006,167,0,0
2009-2010,310451310221004,981,0,0
2009-2010,140160210042009,443,1,0
2009-2010,140160310022002,549,0,3
2009-2010,430590050262001,456,0,3
2009-2010,430590050260001,210,0,0
2009-2010,150162990252261,299,0,0
2009-2010,150162990252262,400,0,0
2009-2010,140160540042027,503,2,2
2009-2010,310451290221006,751,0,2
2009-2010,56099099Z200000,72,1,2
2009-2010,310450460222042,479,3,2
2009-2010,090100080262001,370,0,0
2009-2010,560992020221004,682,0,2
2009-2010,090100080261001,165,0,0
2009-2010,190220930042010,438,0,1
2009-2010,140161000021002,571,0,0
2009-2010,140161040021001,494,0,2
2009-2010,140161710021001,513,0,0
2009-2010,160194300262007,366,0,0
2009-2010,150162990252597,896,0,0
2009-2010,11087003A262001,152,0,0
2009-2010,190220580021014,593,0,1
2009-2010,211000040262010,747,0,7
2009-2010,211000040260001,690,0,3
2009-2010,211000040261001,539,1,2
2009-2010,320460020262002,397,1,1
2009-2010,320460020260001,675,0,1
2009-2010,150162990252263,589,2,0
2009-2010,140160840021002,438,2,0
2009-2010,170640040262002,539,1,6
2009-2010,170640040260001,405,0,0
2009-2010,140161000022008,445,0,0
2009-2010,160194260262001,292,1,4
2009-2010,160194260260003,313,0,3
2009-2010,150162990252265,1187,0,0
2009-2010,140161670022004,311,0,0
2009-2010,56099157C041001,768,2,4
2009-2010,140160270022002,295,1,0
2009-2010,150162990252266,407,0,0
2009-2010,500821160022001,444,0,1
2009-2010,140161350022001,471,1,2
2009-2010,140160390022007,803,5,6
2009-2010,31045080X200000,138,0,9
2009-2010,190220580022004,273,1,1
2009-2010,310450460222020,545,0,3
2009-2010,470712230262002,411,1,7
2009-2010,410570050262008,769,0,4
2009-2010,140160680022005,366,0,0
2009-2010,410570050260001,1015,1,2
2009-2010,340490700021005,958,1,6
2009-2010,410570050261002,450,1,2
2009-2010,340491130170002,2024,1,1
2009-2010,34049083X160000,78,0,1
2009-2010,34049034P003101,85,0,0
2009-2010,410570050262003,583,1,6
2009-2010,140161700023001,191,0,2
2009-2010,140161060022001,580,1,6
2009-2010,140161440022004,356,0,0
2009-2010,190222030262004,598,0,1
2009-2010,140161060021003,333,0,3
2009-2010,310451290222009,540,0,0
2009-2010,190220580022005,446,1,2
2009-2010,310450460222021,659,0,6
2009-2010,490810370022003,326,0,1
2009-2010,340490340042006,886,2,6
2009-2010,140162280160003,1317,0,0
2009-2010,14016218X050000,443,0,2
2009-2010,100680030260001,605,0,0
2009-2010,100680030261002,400,0,0
2009-2010,39055023Z270000,58,0,0
2009-2010,140160930022001,503,1,0
2009-2010,14016856X160000,77,0,0
2009-2010,440630150042002,529,0,3
2009-2010,310450460222007,684,0,0
2009-2010,160194290262002,340,2,2
2009-2010,160194290260003,252,0,3
2009-2010,160194290262001,168,0,0
2009-2010,480721500252037,466,0,1
2009-2010,14016023Z110000,236,1,3
2009-2010,190220860170001,2753,2,4
2009-2010,190221810041002,745,1,3
2009-2010,190220860170002,1806,2,5
2009-2010,150162990252267,376,0,1
2009-2010,150162990250019,681,1,0
2009-2010,150162990252268,478,0,3
2009-2010,140161050022002,210,0,0
2009-2010,140160340042003,567,0,1
2009-2010,140162110170006,2065,0,6
2009-2010,150162990252269,630,0,1
2009-2010,480723280032001,142,0,2
2009-2010,140160960022005,119,0,2
2009-2010,140161520022004,352,0,0
2009-2010,150162990252270,398,0,0
2009-2010,190220600022001,359,1,1
2009-2010,140160590041012,466,0,0
2009-2010,31045008X100000,607,0,0
2009-2010,14016396X100000,146,0,0
2009-2010,50082030X100000,174,0,0
2009-2010,31045055X100000,313,1,2
2009-2010,35050028X100000,143,0,0
2009-2010,41057003X060000,163,1,2
2009-2010,09010001X100000,340,0,0
2009-2010,34049006X100000,302,1,0
2009-2010,35050025X100000,154,2,3
2009-2010,56099005X100000,337,0,4
2009-2010,14016494X100000,327,2,3
2009-2010,19022022X100000,157,0,0
2009-2010,41057015X100000,207,0,0
2009-2010,50082011X100000,73,0,0
2009-2010,14016705X060000,220,0,1
2009-2010,48072003X100000,216,0,0
2009-2010,04101003X100000,507,1,0
2009-2010,39055001X100000,236,0,0
2009-2010,54092006X100000,205,0,7
2009-2010,540921180243103,20,0,1
2009-2010,19022058X100000,192,0,0
2009-2010,19022003X100000,215,2,3
2009-2010,50082027X100000,222,0,3
2009-2010,17064002X100000,587,0,0
2009-2010,14016038Y100000,323,0,0
2009-2010,140161030022004,332,0,2
2009-2010,56099033C041001,806,1,1
2009-2010,240473080262009,636,0,0
2009-2010,140161230022007,416,0,0
2009-2010,14016589Z270000,245,0,0
2009-2010,140162330160001,2982,1,6
2009-2010,540920110262001,196,1,0
2009-2010,041012070160001,2181,2,6
2009-2010,540920110260005,422,0,0
2009-2010,540920110261001,185,0,0
2009-2010,140161570022001,571,1,3
2009-2010,310451010222010,476,1,4
2009-2010,390550610252034,396,0,0
2009-2010,150162990250799,801,0,0
2009-2010,310451290223017,98,1,1
2009-2010,150162990252961,204,1,0
2009-2010,14016208X160000,46,0,1
2009-2010,140160970022009,501,1,0
2009-2010,140161300023001,249,0,0
2009-2010,310450460222043,554,1,1
2009-2010,340492200262002,325,1,7
2009-2010,340491870262007,263,0,0
2009-2010,310453010262003,358,0,2
2009-2010,150162990252273,539,0,1
2009-2010,340490030042004,356,1,2
2009-2010,130950290032001,64,0,0
2009-2010,150162990252275,332,0,0
2009-2010,150162990250020,1789,1,0
2009-2010,140160360022003,330,0,0
2009-2010,190222000261020,862,1,8
2009-2010,56099365U261006,755,0,2
2009-2010,170640050262009,274,0,3
2009-2010,310450460222022,676,0,0
2009-2010,500821870262005,358,0,0
2009-2010,560990860051003,971,1,1
2009-2010,14016660X140000,15,0,1
2009-2010,150162990252276,347,0,0
2009-2010,150162990252620,522,1,1
2009-2010,14016350X030000,94,0,0
2009-2010,240473080262016,477,2,3
2009-2010,140160150042006,719,2,7
2009-2010,440631580220002,2073,1,6
2009-2010,160194280261010,583,3,0
2009-2010,150162990252280,1042,0,0
2009-2010,440630470042002,635,0,5
2009-2010,120170010260001,128,0,0
2009-2010,150162990250021,1817,2,2
2009-2010,14016697S190000,55,0,0
2009-2010,340490600262011,298,0,0
2009-2010,140160670022003,301,2,0
2009-2010,14016815X230000,71,0,0
2009-2010,14016022Y050000,295,0,0
2009-2010,140161050022003,310,0,0
2009-2010,150162990253782,157,0,0
2009-2010,53090033Z020000,98,0,0
2009-2010,480723210260007,759,0,0
2009-2010,510841860252021,397,1,2
2009-2010,56099029X060000,200,0,2
2009-2010,14016039Y030000,632,0,7
2009-2010,480723270262004,485,0,5
2009-2010,480723270260008,298,0,0
2009-2010,480723270262006,214,0,0
2009-2010,380601890262001,875,1,0
2009-2010,500821100042002,356,0,0
2009-2010,400421000261002,627,0,0
2009-2010,260343070160001,474,0,1
2009-2010,490813000262005,132,1,2
2009-2010,56099036Y060000,183,1,3
2009-2010,310450460222023,475,0,1
2009-2010,140161620022009,491,2,0
2009-2010,390550090262002,190,0,0
2009-2010,14016062X100000,168,0,0
2009-2010,24032002X100000,218,0,1
2009-2010,45067001X100000,293,0,0
2009-2010,19022053X100000,548,0,0
2009-2010,19022016Y100000,348,0,1
2009-2010,14016417X100000,463,0,0
2009-2010,27094001X100000,140,0,0
2009-2010,13095001X060000,91,0,0
2009-2010,14016128X060000,72,0,1
2009-2010,51084026X060000,17,0,0
2009-2010,04004001X060000,313,0,0
2009-2010,08089002X060000,197,0,6
2009-2010,14016133X060000,85,0,0
2009-2010,14016154X060000,371,1,9
2009-2010,19022004X060000,239,0,1
2009-2010,31045010X060000,291,2,0
2009-2010,31045097X060000,281,0,8
2009-2010,49081002X060000,25,0,0
2009-2010,250410080042001,101,0,0
2009-2010,14016552X100000,230,0,0
2009-2010,56099365U262009,711,0,2
2009-2010,140161280021003,253,0,1
2009-2010,310450460223049,255,0,1
2009-2010,160194250260001,257,0,0
2009-2010,160194250261001,207,0,0
2009-2010,140160260022003,442,1,1
2009-2010,140161280023001,63,0,1
2009-2010,340491160262002,601,0,0
2009-2010,190220330022002,444,1,3
2009-2010,440630470042009,638,1,2
2009-2010,190220580022006,338,0,1
2009-2010,340491120022003,394,1,2
2009-2010,560991610022004,360,0,2
2009-2010,190220040021009,1342,2,4
2009-2010,560992020221002,808,0,2
2009-2010,140161620022003,425,0,2
2009-2010,14016509X100000,513,0,0
2009-2010,150162990250837,351,0,0
2009-2010,220290660251002,784,0,0
2009-2010,150162990252358,692,1,0
2009-2010,14016818X160000,81,0,1
2009-2010,490810410253002,23,0,0
2009-2010,56099365U262002,643,1,2
2009-2010,140160620042001,477,0,0
2009-2010,320380100262003,131,0,0
2009-2010,320380100262004,135,0,0
2009-2010,320380100262002,200,0,0
2009-2010,320380100260001,258,0,0
2009-2010,320380100261001,204,1,0
2009-2010,130581350022005,161,0,0
2009-2010,140160890022004,418,0,0
2009-2010,140160970022006,416,0,8
2009-2010,150162990252281,501,0,0
2009-2010,280372290262005,265,0,0
2009-2010,170640870252006,376,0,0
2009-2010,480721500252038,391,0,0
2009-2010,130950110042001,82,0,0
2009-2010,340490950262007,586,2,1
2009-2010,19022127Z230000,672,0,5
2009-2010,130580070042001,267,1,2
2009-2010,340490960042006,419,1,1
2009-2010,140160250022005,493,0,3
2009-2010,140162110170001,2499,0,0
2009-2010,140161110022005,302,1,0
2009-2010,310451010222005,459,1,10
2009-2010,140161230022003,441,0,4
2009-2010,100680120262003,191,0,0
2009-2010,500820900042003,344,1,8
2009-2010,140160800022001,501,0,3
2009-2010,250410800022002,311,0,0
2009-2010,530900500022001,396,1,10
2009-2010,140160800022002,481,2,0
2009-2010,140161230022006,379,1,2
2009-2010,140162010170001,3625,1,0
2009-2010,140162010170003,1417,0,0
2009-2010,140162010170002,3652,4,4
2009-2010,190222010262001,475,0,6
2009-2010,090101370021003,482,2,1
2009-2010,140160210042011,319,1,4
2009-2010,140160870022007,525,0,0
2009-2010,140161030022006,291,0,0
2009-2010,340490600261001,638,0,1
2009-2010,140161420021001,611,0,4
2009-2010,140160210041007,686,0,2
2009-2010,350501220023001,105,0,0
2009-2010,150162990252283,544,1,1
2009-2010,041012050252038,284,0,0
2009-2010,190222050262007,403,6,0
2009-2010,500821890222019,326,0,1
2009-2010,150162990252046,318,2,0
2009-2010,190220450021006,692,0,7
2009-2010,460691170220014,1075,0,4
2009-2010,150162990252284,433,1,2
2009-2010,540920120262002,206,1,0
2009-2010,540920120260001,125,2,0
2009-2010,540920120261001,107,0,0
2009-2010,500821890222056,384,0,0
2009-2010,440630120262001,349,1,5
2009-2010,140161530021003,505,0,0
2009-2010,160194320262001,379,3,5
2009-2010,56099365U262011,639,0,1
2009-2010,150162990252285,823,0,0
2009-2010,140160150042001,664,0,3
2009-2010,140160890022001,456,0,0
2009-2010,510841860252010,312,0,0
2009-2010,490810400222026,327,0,3
2009-2010,140160540041001,721,3,2
2009-2010,56099365U261005,713,1,2
2009-2010,140160680022004,335,0,0
2009-2010,120400010261003,226,0,0
2009-2010,200960170042001,162,0,0
2009-2010,190220930042009,720,0,2
2009-2010,041013230262005,225,1,1
2009-2010,150162990253075,350,0,0
2009-2010,200970050262005,196,1,0
2009-2010,490810400223025,261,0,1
2009-2010,020610010262001,167,0,2
2009-2010,110150010262004,618,0,5
2009-2010,140160980022003,649,3,0
2009-2010,140161700022011,326,0,0
2009-2010,160194280262005,353,0,1
2009-2010,190222050262008,345,4,0
2009-2010,211000010262003,262,0,0
2009-2010,211000020262004,303,0,0
2009-2010,280061150022005,268,0,3
2009-2010,350501410022004,349,2,0
2009-2010,380540270022005,107,0,0
2009-2010,410570100262013,99,0,0
2009-2010,440630500262003,557,0,2
2009-2010,470521700222003,344,0,3
2009-2010,500821180022007,347,0,1
2009-2010,530901080022004,334,0,1
2009-2010,530907090262002,312,0,3
2009-2010,550980050262007,426,1,6
2009-2010,140160870022003,377,0,0
2009-2010,041012050250004,1872,0,0
2009-2010,190222030261010,924,0,4
2009-2010,090100040261005,688,2,0
2009-2010,100110080262004,200,0,0
2009-2010,190220450021007,420,0,0
2009-2010,310451290221003,791,0,0
2009-2010,510841860252042,571,0,0
2009-2010,431020110262002,322,0,0
2009-2010,030262030262004,364,2,0
2009-2010,140160640043001,27,1,1
2009-2010,190222000263001,226,1,9
2009-2010,320460010262004,347,3,0
2009-2010,150162990252287,494,0,0
2009-2010,150162990252288,438,1,0
2009-2010,140161350021005,692,1,2
2009-2010,500821870263003,178,0,0
2009-2010,400421000260001,987,0,1
2009-2010,400421000262007,317,0,0
2009-2010,400421000262008,417,2,0
2009-2010,48072005P003101,32,0,0
2009-2010,14016238Y100000,159,0,0
2009-2010,310451290221005,668,1,0
2009-2010,14016665S050000,2,0,0
2009-2010,14016942X010000,46,0,0
2009-2010,14016990X010000,47,0,0
2009-2010,14016231X050000,511,0,8
2009-2010,140161400022005,454,0,2
2009-2010,410570100262014,603,0,1
2009-2010,490810400221003,476,7,2
2009-2010,190220480021003,224,1,0
2009-2010,140160810022001,683,0,2
2009-2010,280060990042002,530,1,0
2009-2010,560992020221008,1107,0,4
2009-2010,140160150043001,353,1,1
2009-2010,310451310222009,871,1,1
2009-2010,540920110262002,238,0,2
2009-2010,140162140170004,1929,0,0
2009-2010,56099365U261007,580,0,1
2009-2010,140160590042014,377,1,0
2009-2010,320461110252015,635,0,1
2009-2010,320380040261002,317,0,0
2009-2010,190220680022006,370,0,0
2009-2010,140161010022005,423,0,4
2009-2010,140160735022002,520,0,7
2009-2010,140164010262004,650,1,1
2009-2010,140160540042022,651,0,0
2009-2010,041012050252047,493,0,0
2009-2010,56099365U262006,683,0,2
2009-2010,340490600262005,267,0,1
2009-2010,390550610252032,482,0,1
2009-2010,440630120260002,902,0,3
2009-2010,02077004P003101,59,0,0
2009-2010,150162990252290,303,0,0
2009-2010,200962000262003,89,0,0
2009-2010,211000010260001,370,0,1
2009-2010,56099035Y100000,770,0,2
2009-2010,560992040170001,2792,0,3
2009-2010,56099048X160000,151,0,9
2009-2010,56099006X110000,32,0,0
2009-2010,560992040170003,2812,1,2
2009-2010,56099365U262010,617,1,0
2009-2010,460691170221013,545,1,1
2009-2010,150162990250533,829,1,0
2009-2010,240322010042005,429,1,4
2009-2010,080891450222017,410,3,0
2009-2010,020910430042001,411,0,0
2009-2010,150162990252775,589,0,0
2009-2010,020610380260001,112,0,1
2009-2010,14016081Z020000,80,0,2
2009-2010,49081015X100000,468,1,3
2009-2010,150162990252889,709,0,0
2009-2010,130581350022006,220,0,0
2009-2010,500821040021001,156,0,1
2009-2010,140160650043020,354,0,3
2009-2010,340490410042002,577,1,1
2009-2010,14016042Z100000,144,0,0
2009-2010,140160210042007,477,0,1
2009-2010,150162990250767,1574,0,0
2009-2010,09010013Z260000,589,2,4
2009-2010,540920020262001,707,2,0
2009-2010,041012050252041,395,0,0
2009-2010,150162990250763,1415,0,0
2009-2010,140160590042016,400,0,1
2009-2010,150162990252292,323,0,0
2009-2010,310451310221003,1016,0,0
2009-2010,310453020262009,458,17,2
2009-2010,310453020262007,637,0,8
2009-2010,310453020262008,634,0,12
2009-2010,310453020262010,597,1,5
2009-2010,310453020260001,1292,0,3
2009-2010,14016303P003101,33,0,0
2009-2010,320461110250014,1287,0,0
2009-2010,320461110251008,697,0,0
2009-2010,32046016Z260000,182,0,6
2009-2010,32046043X160000,76,1,0
2009-2010,150162990252806,680,0,0
2009-2010,110230030262002,153,0,1
2009-2010,110230030260001,110,1,0
2009-2010,140160980022002,755,2,0
2009-2010,500821890222054,449,0,0
2009-2010,04101005Z010000,322,2,5
2009-2010,130580020032001,119,0,0
2009-2010,480721500252040,346,0,1
2009-2010,140161435021003,505,0,0
2009-2010,150162990252739,235,0,4
2009-2010,150162990252892,297,0,1
2009-2010,150162990252293,279,0,2
2009-2010,150162990250022,3151,1,0
2009-2010,560990910021001,365,0,0
2009-2010,150162990250023,1450,1,0
2009-2010,140161700022012,255,0,1
2009-2010,150162990250024,1644,1,0
2009-2010,190222030261013,1080,1,1
2009-2010,041012050251010,763,3,0
2009-2010,310453000262020,555,4,4
2009-2010,56099365U262015,680,2,7
2009-2010,340490030042006,499,0,0
2009-2010,150162990250025,1795,0,1
2009-2010,090100040262013,405,0,3
2009-2010,310450460221009,1057,1,4
2009-2010,140161420022004,385,1,3
2009-2010,150162990252294,226,0,0
2009-2010,280372290260001,555,0,4
2009-2010,150162990252295,366,0,0
2009-2010,14016943X160000,145,3,2
2009-2010,21028017P003101,40,0,0
2009-2010,14016086P003101,55,0,0
2009-2010,14016931X010000,60,0,0
2009-2010,340490960042003,512,0,0
2009-2010,150162990252296,850,1,3
2009-2010,140160150042005,558,1,1
2009-2010,310450460221006,623,0,2
2009-2010,140161450022002,250,1,0
2009-2010,350500440022003,402,0,4
2009-2010,150162990250039,913,0,2
2009-2010,150162990252297,315,11,0
2009-2010,041012050252080,266,0,0
2009-2010,320461110252016,542,0,1
2009-2010,330482050262017,435,0,2
2009-2010,470711440032001,127,1,5
2009-2010,190220580022007,376,0,1
2009-2010,140160650042023,369,1,3
2009-2010,190222030262018,486,0,6
2009-2010,170640050261004,1030,1,5
2009-2010,160194240262004,297,0,1
2009-2010,09010032Z070000,12,0,0
2009-2010,19022151X010000,130,0,18
2009-2010,041011310042001,499,0,2
2009-2010,150162990252299,736,1,1
2009-2010,150162990252300,437,0,0
2009-2010,340491090022003,524,0,2
2009-2010,15016299025215C,326,0,0
2009-2010,040041000262004,275,0,0
2009-2010,041012050252040,379,0,0
2009-2010,330482020261002,316,0,0
2009-2010,330482020260001,328,0,1
2009-2010,150162990252301,475,0,0
2009-2010,140161230022008,364,0,4
2009-2010,140161430022002,682,0,6
2009-2010,140160940022001,492,0,0
2009-2010,140161000022004,428,0,0
2009-2010,14016683X170000,166,4,2
2009-2010,150162990252304,462,0,0
2009-2010,410570100262011,440,0,0
2009-2010,31045104X160000,99,0,0
2009-2010,310451310222007,506,0,0
2009-2010,530901080022009,209,0,0
2009-2010,140160960021004,463,6,0
2009-2010,56099209U262004,406,0,0
2009-2010,260343470042005,164,1,0
2009-2010,260343470041001,90,1,0
2009-2010,280063030260001,70,0,0
2009-2010,350501200170001,1190,0,7
2009-2010,190220610022002,507,2,11
2009-2010,280060940042001,184,1,0
2009-2010,150162990252305,508,0,0
2009-2010,320461110252005,203,0,0
2009-2010,340490650022006,582,0,8
2009-2010,340490650021003,372,0,1
2009-2010,34049045Z200000,149,2,4
2009-2010,110150050262001,199,0,0
2009-2010,34049068Y010000,402,0,0
2009-2010,34049040X010000,445,1,3
2009-2010,340491150160001,1782,3,2
2009-2010,310453000262015,498,0,2
2009-2010,140160150042007,759,1,2
2009-2010,190220040022004,393,0,0
2009-2010,190221080160001,2904,0,6
2009-2010,14016692X010000,227,0,1
2009-2010,14016020Y080000,11,0,0
2009-2010,150162990250026,1559,0,0
2009-2010,340490950260001,2249,2,11
2009-2010,340490950261002,754,2,0
2009-2010,340490950261003,690,1,4
2009-2010,340491170160002,1421,0,3
2009-2010,510841860252022,226,0,0
2009-2010,140160540042018,614,0,0
2009-2010,190220660021001,419,0,4
2009-2010,340490060023001,193,0,0
2009-2010,240473080262010,831,0,0
2009-2010,560992020222008,899,0,7
