Year,RCDTS,Enrollment,PME,PBE
2009-2010,080891450222003,293,0,1
2009-2010,041013200262005,158,2,0
2009-2010,140161630022003,228,1,0
2009-2010,190220020021001,666,0,2
2009-2010,350502890042003,272,0,4
2009-2010,150162990252087,837,0,1
2009-2010,150162990253761,131,1,1
2009-2010,50082003X100000,198,0,0
2009-2010,51084001X100000,449,1,1
2009-2010,53090001X100000,274,0,0
2009-2010,01001007X100000,149,0,0
2009-2010,140162060170001,1712,0,0
2009-2010,140162060170002,1657,0,0
2009-2010,17064024X010000,51,0,4
2009-2010,170640870250001,1441,4,6
2009-2010,170640870251002,1136,0,4
2009-2010,14016860S190000,26,0,0
2009-2010,170200180260001,266,0,1
2009-2010,170200180262005,179,0,0
2009-2010,460860020262001,125,0,0
2009-2010,460860020260001,73,0,0
2009-2010,460860020261001,57,0,0
2009-2010,500821960262006,681,1,3
2009-2010,250411140042001,284,0,2
2009-2010,140160960022002,195,0,2
2009-2010,14016248Y050000,35,2,0
2009-2010,14016426X010000,78,0,0
2009-2010,14016427X010000,45,0,1
2009-2010,14016429X010000,46,1,0
2009-2010,14016446X010000,104,0,0
2009-2010,56099110X010000,151,0,1
2009-2010,56099111X010000,44,1,1
2009-2010,56099112X010000,71,0,3
2009-2010,56099113X010000,69,0,0
2009-2010,150162990250003,1944,0,1
2009-2010,56099365U260007,3857,2,4
2009-2010,030030020260001,567,1,0
2009-2010,150162990252088,392,0,0
2009-2010,110870210262002,193,0,0
2009-2010,320460020262004,190,1,0
2009-2010,560992020223001,960,0,8
2009-2010,150162990252771,365,0,0
2009-2010,150162990252089,1077,1,1
2009-2010,140160210042013,451,0,0
2009-2010,090100040262007,427,0,4
2009-2010,150162990252100,791,1,0
2009-2010,240473080262004,607,0,1
2009-2010,320460530021001,597,0,2
2009-2010,150162990250800,344,0,0
2009-2010,190222000262016,481,3,8
2009-2010,490810370022001,319,0,2
2009-2010,04101002Y100000,1198,2,4
2009-2010,240320750022001,181,0,0
2009-2010,280880010262001,152,0,0
2009-2010,280880010261001,74,0,2
2009-2010,320460610021001,482,0,0
2009-2010,320460610022002,604,2,1
2009-2010,320460610022003,477,0,0
2009-2010,320463070160001,2140,2,11
2009-2010,150162990252090,621,1,0
2009-2010,340491120022002,277,1,2
2009-2010,130140120042001,444,0,0
2009-2010,140162280160001,1336,0,1
2009-2010,150162990252093,341,0,0
2009-2010,150162990252094,519,0,0
2009-2010,140160590042001,439,2,1
2009-2010,190220890042002,303,0,7
2009-2010,440630260042002,467,0,4
2009-2010,460090150262002,139,1,0
2009-2010,14016712X160000,109,1,4
2009-2010,150162990252095,889,0,0
2009-2010,14016627X100000,288,0,0
2009-2010,120510100262005,444,0,0
2009-2010,31045089X160000,145,0,2
2009-2010,140161090022001,454,0,1
2009-2010,170640050262003,380,0,0
2009-2010,150162990252096,391,1,0
2009-2010,330482050263001,251,1,0
2009-2010,14016286P003101,39,0,0
2009-2010,400560090262006,448,1,4
2009-2010,150162990252870,895,0,0
2009-2010,400560090262003,188,2,1
2009-2010,480723090262002,696,0,10
2009-2010,240471150262008,451,0,3
2009-2010,240471150262004,267,0,2
2009-2010,090101370022001,267,0,0
2009-2010,530901080021012,392,0,0
2009-2010,56099049P003102,50,0,0
2009-2010,240473080263001,456,1,4
2009-2010,15016299025222C,455,1,0
2009-2010,150162990250834,547,0,0
2009-2010,190220530022002,254,1,2
2009-2010,140160950022002,639,0,7
2009-2010,190222040262006,527,4,2
2009-2010,020610010262010,221,0,0
2009-2010,150162990250788,747,0,1
2009-2010,140161520021001,544,0,0
2009-2010,56099365U261004,1216,0,0
2009-2010,041012050252018,496,0,1
2009-2010,140161670021002,268,0,0
2009-2010,140161670022001,262,0,0
2009-2010,14016017Y100000,1026,2,2
2009-2010,150162990252097,219,0,0
2009-2010,460050010262002,337,1,0
2009-2010,460050010260001,274,0,0
2009-2010,460050010261002,205,0,0
2009-2010,500821890222005,128,0,0
2009-2010,150162990252367,335,0,0
2009-2010,150162990252098,301,1,0
2009-2010,030262010262001,233,0,0
2009-2010,030262010260003,120,0,0
2009-2010,030262010261001,66,0,0
2009-2010,56099209U262003,256,0,2
2009-2010,150162990252110,674,0,0
2009-2010,390550610252002,191,0,0
2009-2010,400070420262001,71,0,0
2009-2010,400070420260001,79,0,0
2009-2010,190222050261001,597,15,1
2009-2010,140161520022001,431,0,2
2009-2010,150162990253758,37,0,0
2009-2010,150162990252101,829,1,0
2009-2010,140162140170008,2187,0,6
2009-2010,14016148X160000,117,1,0
2009-2010,25041016P003101,28,0,0
2009-2010,020440430032001,78,0,5
2009-2010,400560080260001,226,0,0
2009-2010,150162990252102,1291,1,1
2009-2010,280063400262005,175,1,1
2009-2010,280063400260001,400,1,4
2009-2010,280063400262001,425,0,2
