Year,RCDTS,Enrollment,PBE,PME
2007-2008,110150010261002,429,1,0
2007-2008,110150020262016,742,1,1
2007-2008,110150010260001,917,1,0
2007-2008,110150010262003,578,2,2
2007-2008,110150020260001,1110,2,0
2007-2008,110150050262001,226,5,1
2007-2008,110150020263010,58,0,0
2007-2008,110150050260002,123,0,0
2007-2008,110150010262004,616,0,0
2007-2008,110150020262015,752,0,0
2007-2008,110150020261003,757,1,0
2007-2008,11015027Y260000,11,0,0
2007-2008,11015026X260000,35,0,0
2007-2008,11015003X100000,115,1,0
2007-2008,11015022X060000,247,0,1
2007-2008,Coles County Total,7057,16,5
2007-2008,140161250022004,224,0,0
2007-2008,140161250022003,231,0,0
2007-2008,140160150042020,620,2,2
2007-2008,140160280022006,328,2,2
2007-2008,140160890022003,519,3,2
2007-2008,140160280021004,627,5,0
2007-2008,140162250173001,60,0,0
2007-2008,140161430022005,108,0,0
2007-2008,140161520022007,235,0,0
2007-2008,140161520022002,270,0,0
2007-2008,140161520022004,349,0,0
2007-2008,140161520022005,356,0,0
2007-2008,140161700022005,371,0,0
2007-2008,140160630022008,418,0,0
2007-2008,140161520022001,421,0,0
2007-2008,140160830022002,563,0,0
2007-2008,140161520021001,600,0,0
2007-2008,140160250022016,589,1,0
2007-2008,140160990022008,737,0,0
2007-2008,140162280160001,1313,0,0
2007-2008,140162060170002,1621,0,0
2007-2008,140162070170001,2019,0,1
2007-2008,140161280023001,62,1,1
2007-2008,140161480023002,111,1,0
2007-2008,140160910022005,119,1,0
2007-2008,140160960022002,151,1,0
2007-2008,140160650043020,155,1,1
2007-2008,140161480022002,166,1,0
2007-2008,140160150043001,167,1,2
2007-2008,140161420022002,200,1,1
2007-2008,140161280021003,222,1,4
2007-2008,140164010262005,234,1,0
2007-2008,140161030022006,250,1,1
2007-2008,140161480022007,262,1,0
2007-2008,140160970022003,258,1,0
2007-2008,140161050022005,269,1,0
2007-2008,140160670021002,270,1,1
2007-2008,140161630022003,269,1,0
2007-2008,140160230022005,279,1,1
2007-2008,140161540022002,282,1,0
2007-2008,140160960022001,308,1,0
2007-2008,140161460042002,307,1,0
2007-2008,140160230022004,320,1,3
2007-2008,140160350022001,318,1,4
2007-2008,140160360022002,317,1,0
2007-2008,140161460042006,324,1,0
2007-2008,140160590042003,340,1,0
2007-2008,140160250022004,361,1,2
2007-2008,140161940022004,350,1,0
2007-2008,140161460042003,350,1,1
2007-2008,140160910021001,350,1,0
2007-2008,140161040022005,353,1,0
2007-2008,140160300022002,355,1,2
2007-2008,140160900022001,357,1,0
2007-2008,140161240022004,368,1,0
