,Year,State,FIPS,Age,Total_enrolled,PBE_total,PBE_total-philosophy,PBE_total-religion,MED_EXEMPT,NME_EXEMPT,TOT_EXEMPT,TOT_EXEMPT_RATE,MED_EXEMPT_RATE,NME_EXEMPT_RATE,RELIG_RATE,PHILOS_RATE,PERTUSSIS_EXEMPT,PERTUSSIS_EXEMPT_RATE,VARICELLA_EXEMPT,VARICELLA_EXEMPT_RATE,FLU_EXEMPT,FLU_EXEMPT_RATE,MEASLES_EXEMPT,MEASLES_EXEMPT_RATE,linestyle
33,2000.0,California,06067,KG,18839.0,171.0,0.0,0.0,18.0,171.0,189.0,0.01003237963798503,0.0009554647274271458,0.009076914910557884,0.0,0.0,1284.0,0.06815648388980307,0.0,0.0,0.0,0.0,1259.0,0.06682944954615426,0
34,2000.0,California,06069,KG,1078.0,13.0,0.0,0.0,1.0,13.0,14.0,0.012987012987012988,0.0009276437847866419,0.012059369202226345,0.0,0.0,50.0,0.04638218923933209,0.0,0.0,0.0,0.0,58.0,0.05380333951762523,0
35,2000.0,California,06071,KG,30501.0,226.0,0.0,0.0,35.0,226.0,261.0,0.008557096488639717,0.0011475033605455559,0.007409593128094161,0.0,0.0,934.0,0.030621946821415693,0.0,0.0,0.0,0.0,853.0,0.027966296187010263,0
36,2000.0,California,06073,KG,42063.0,443.0,0.0,0.0,42.0,443.0,485.0,0.011530323562275634,0.000998502246630055,0.01053182131564558,0.0,0.0,1629.0,0.03872762285143713,0.0,0.0,0.0,0.0,1517.0,0.03606495019375698,0
37,2000.0,California,06075,KG,6694.0,21.0,0.0,0.0,4.0,21.0,25.0,0.0037346877801015836,0.0005975500448162533,0.00313713773528533,0.0,0.0,383.0,0.05721541679115626,0.0,0.0,0.0,0.0,293.0,0.04377054078279056,0
38,2000.0,California,06077,KG,9873.0,67.0,0.0,0.0,11.0,67.0,78.0,0.007900334244910361,0.0011141497012053074,0.006786184543705054,0.0,0.0,364.0,0.03686822647624836,0.0,0.0,0.0,0.0,364.0,0.03686822647624836,0
39,2000.0,California,06079,KG,2721.0,70.0,0.0,0.0,6.0,70.0,76.0,0.02793090775450202,0.002205071664829107,0.025725836089672913,0.0,0.0,136.0,0.04998162440279309,0.0,0.0,0.0,0.0,157.0,0.05769937522969496,0
40,2000.0,California,06081,KG,8581.0,66.0,0.0,0.0,22.0,66.0,88.0,0.010255215009905606,0.0025638037524764014,0.007691411257429204,0.0,0.0,494.0,0.057569047896515554,0.0,0.0,0.0,0.0,545.0,0.06351241114089266,0
41,2000.0,California,06083,KG,5594.0,97.0,0.0,0.0,5.0,97.0,102.0,0.018233821952091528,0.000893814801573114,0.01734000715051841,0.0,0.0,253.0,0.04522702895959957,0.0,0.0,0.0,0.0,274.0,0.04898105112620665,0
42,2000.0,California,06085,KG,24092.0,128.0,0.0,0.0,23.0,128.0,151.0,0.006267640710609331,0.0009546737506226133,0.005312966959986717,0.0,0.0,1281.0,0.05317117715424207,0.0,0.0,0.0,0.0,961.0,0.03988875975427528,0
