Adequate Immunization Rate,Compliant with Idaho Regulations,Conditional Admit Records Rate,DTaP Adequate Rate,Exemption Record Rate,Grade,Hep. A Adequate Rate,Hep. B Adequate Rate,Incomplete or No Records Rate,MMR Adequate Rate,Meningitis Adequate Rate,Number of Records,Polio Adequate Rate,School District,School Name,School City,SchoolYear,State,Tdap Adequate Rate,Total Adequate,Total Conditional Admit Records,Total Enrollment,Total Exempt,Total Incomplete or No Records,Varicella Adequate Rate,X,Y,Address,City CAPS,City,testing,Zip
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Table Rock Christian,Table Rock Christian DRIGGS,2017-2018,ID,N/A,,,,,,N/A,-111.111019064,43.745022,1510 N Hwy 33,DRIGGS,Driggs,TABLE ROCK CHRISTIAN SCHOOL,83422
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Patriot Juvenile Detention Center,Patriot Juvenile Detention Center EMMETT,2017-2018,ID,N/A,,,,,,N/A,-116.504613,43.876581,330 W. Main Street,EMMETT,Emmett,PATRIOT JUVENILE DETENTION CENTER SCHOOL,83617
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Syringa Mountain Charter,Syringa Mountain Charter HAILEY,2017-2018,ID,N/A,,,,,,N/A,-114.275122483,43.486619638,4021 Glenbrook Dr.,HAILEY,Hailey,SYRINGA MOUNTAIN CHARTER SCHOOL,83333
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Ernest Hemingway Stem,Ernest Hemingway Stem KETCHUM,2017-2018,ID,N/A,,,,,,N/A,-114.369779,43.682186,P.O. BOX 298,KETCHUM,Ketchum,ERNEST HEMINGWAY STEAM SCHOOL,83340
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Pine Elementary/Jr High,Pine Elementary/Jr High PINE,2017-2018,ID,N/A,,,,,,N/A,-115.388228,43.472779,160 S Lester Creek Rd,PINE,Pine,PINE ELEMENTARY-JUNIOR HIGH SCHOOL,83647
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Star Middle,Star Middle SCHOOL,2017-2018,ID,N/A,,,,,,N/A,-116.472125,43.712989,2211 N. Pollard Ln.,STAR,Star,STAR MIDDLE SCHOOL,83669
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,South Hills Middle,South Hills Middle SCHOOL,2017-2018,ID,N/A,,,,,,N/A,-114.471214,42.523026,1550 Harrison St. S.,TWIN FALLS,Twin Falls,SOUTH HILLS MIDDLE SCHOOL,83301
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,84Lake Pend Oreille,The Homeschool Academy,The Homeschool Academy PONDERAY,2017-2018,ID,N/A,,,,,,N/A,-116.538281,43.303597,901 Triangle Dr.,PONDERAY,Ponderay,THE HOMESCHOOL ACADEMY,83852
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Charter,Chief Tahgee Elementary Academy,,2017-2018,ID,N/A,,,,,,N/A,-112.452995064,42.944462384,35 s Hiline,POCATELLO,Pocatello,CHIEF TAHGEE ELEMENTARY ACADEMY,83203
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Kuna,Fremont Middle,Fremont KUNA,2017-2018,ID,N/A,,,,,,N/A,-116.408299,43.497775,411 East Porter St,KUNA,Kuna,FREMONT MIDDLE SCHOOL,83634
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Heritage Christian Academy,Heritage Christian Academy ACADEMY,2017-2018,ID,N/A,,,,,,N/A,-116.868278,47.965627,32168 N. Fifth Ave,SPIRIT LAKE,Spirit Lake,HERITAGE CHRISTIAN ACADEMY,83869
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,151 Cassia,Cassia Alternative Jr/Sr High,Cassia Alternative Jr/Sr High BURLEY,2017-2018,ID,N/A,3,0,3,0,0,N/A,-113.804818,42.5317,1010 W 17th St,BURLEY,Burley,CASSIA ALTERNATIVE JR SR HIGH,83318
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,181 Challis,Stanley Elementary/Jr High,Stanley Elementary/Jr High STANLEY,2017-2018,ID,N/A,1,0,1,0,0,N/A,-114.943198,44.211107,"Airport Rd,",STANLEY,Stanley,STANLEY ELEMENTARY JR HIGH SCHOOL,83278
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,221 Emmett,The Patriot Center,The Patriot Center EMMETT,2017-2018,ID,N/A,4,0,4,0,0,N/A,-116.5035915,43.875627464,330 W. Main Street,EMMETT,Emmett,,83617
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,292 South Lemhi,Leadore,Leadore LEADORE,2017-2018,ID,N/A,6,0,6,0,0,N/A,-113.36211,44.679028,111 S 3rd St,LEADORE,Leadore,LEADORE SCHOOL,83464
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,302 Nezperce,Nez Perce Elementary,Nez Perce Elementary NEZPERCE,2017-2018,ID,N/A,9,0,9,0,0,N/A,-116.243732,46.237141,PO Box 279 614 2nd Ave,NEZPERCE,Nezperce,NEZ PERCE ELEMENTARY SCHOOL,83543
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,416 Three Creek,Three Creek Elementary,Three Creek Elementary ROGERSON,2017-2018,ID,N/A,1,0,1,0,0,N/A,-114.594224,42.217947,49909 Three Creek HWY,ROGERSON,Rogerson,THREE CREEK ELEMENTARY SCHOOL,83302
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,555 Professional Technical,Cossa Academy,Cossa Academy WILDER,2017-2018,ID,N/A,3,0,3,0,0,N/A,-116.872277,43.683401,109 Penny Lane,WILDER,Wilder,COSSA ACADEMY,83676
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Charter,Idaho School for the Deaf & Blind,Idaho School for the Deaf & Blind GOODING,2017-2018,ID,N/A,3,0,3,0,0,N/A,-114.71293,42.928972,1450 Main Street,GOODING,Gooding,IDAHO SCHOOL FOR THE DEAF & BLIND,83330
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,The Learning Academy of Teton Valley,The Learning Academy of Teton Valley DRIGGS,2017-2018,ID,N/A,2,0,2,0,0,N/A,-111.111088494,43.701416497,1480 S 500 W,DRIGGS,Driggs,THE LEARNING ACADEMY OF TETON VALLEY,83422
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Eagle Adventist Christian,Eagle Adventist Christian EAGLE,2017-2018,ID,N/A,1,0,1,0,0,N/A,-116.361032334,43.695303475,538 W. State St.,EAGLE,Eagle,EAGLE ADVENTIST CHRISTIAN SCHOOL,83616
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Calvary Christian Academy,Calvary Christian Academy EMMETT,2017-2018,ID,N/A,3,0,3,0,0,N/A,-116.506893693,43.893621487,498 W. Idaho Blvd.,EMMETT,Emmett,CALVARY CHRISTIAN SCHOOL - NAMPA,83617
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Cherry Gulch,Cherry Gulch EMMETT,2017-2018,ID,N/A,9,0,9,0,0,N/A,-116.43717534,43.932236405,3770 E. Black Canyon Hwy,EMMETT,Emmett,CHERRY GULCH SCHOOL,83617
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Sheridan Academy,Sheridan Academy MERIDIAN,2017-2018,ID,N/A,1,0,1,0,0,N/A,-116.3662515,43.589146491,2273 E. Gala #120,MERIDIAN,Meridian,,83642
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Palouse Hills Christian,Palouse Hills Christian MOSCOW,2017-2018,ID,N/A,1,0,1,0,0,N/A,-116.962583,46.719328,3148 Tomer Rd,MOSCOW,Moscow,PALOUSE HILLS CHRISTIAN SCHOOL,83843
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,River of Life Christian,River of Life Christian PAYETTE,2017-2018,ID,N/A,6,0,6,0,0,N/A,-116.93466,44.092887521,800 17 Ave N,PAYETTE,Payette,RIVER OF LIFE CHRISTIAN SCHOOL,83661
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Calvary Chapel Christian / Pocatello,Calvary Chapel Christian / Pocatello POCATELLO,2017-2018,ID,N/A,2,0,2,0,0,N/A,-112.432260872,42.904473213,1633 Olympus Blvd.,POCATELLO,Pocatello,CALVARY CHAPEL CHRISTIAN SCHOOL - POCATELLO,83201
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Cornerstone Christian Academy,Cornerstone Christian Academy POST FALLS,2017-2018,ID,N/A,7,0,7,0,0,N/A,-116.958681679,47.715687,810 N CHASE ROAD,POST FALLS,Post Falls,CORNERSTONE CHRISTIAN SCHOOL,83854
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Salmon Seventh Day Adventist,Salmon Seventh Day Adventist SALMON,2017-2018,ID,N/A,2,0,2,0,0,N/A,-113.904300497,45.183670997,515 Upper Fairmont St.,SALMON,Salmon,SALMON SEVENTH DAY ADVENTIST,83467
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Hilltop Adventist,Hilltop Adventist TWIN FALLS,2017-2018,ID,N/A,2,0,2,0,0,N/A,-114.499466231,42.563802265,131 Grandview Drive,TWIN FALLS,Twin Falls,HILLTOP ADVENTIST SCHOOL,83301
100.0%,100.0%,0.0%,100.0%,0.0%,Seventh Grade,N/A,100.0%,0.0%,100.0%,100.0%,1,100.0%,252 Ririe,Ririe Middle,Ririe Middle RIRIE,2017-2018,ID,100.0%,60,0,60,0,0,N/A,-111.774763,43.628883,260 First W,RIRIE,Ririe,RIRIE MIDDLE SCHOOL,83443
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,25 Pocatello,New Horizon Center,New Horizon Center POCATELLO,2017-2018,ID,N/A,6,0,7,0,1,N/A,-112.469402845,42.891276005,955 W. Alameda Rd,POCATELLO,Pocatello,NEW HORIZON CENTER,83201
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,381 American Falls,American Falls Academy (Alt.),American Falls Academy (Alt.) AMERICAN FALLS,2017-2018,ID,N/A,4,0,5,0,1,N/A,-112.859193963,42.772966100,598 lincoln st,AMERICAN FALLS,American Falls,AMERICAN FALLS ACADEMY ALTERNATIVE,83211
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Ascent,Ascent BOISE,2017-2018,ID,N/A,1,0,2,0,1,N/A,-116.28417299,43.575642488,8201 W Victory,BOISE,Boise,ASCENT SCHOOL,83709
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Cornerstone Christian,Cornerstone Christian BONNERS FERRY,2017-2018,ID,N/A,1,0,2,0,1,N/A,-116.295782483,48.773027112,513357 Highway 95,BONNERS FERRY,Bonners Ferry,CORNERSTONE CHRISTIAN ACADEMY,83805
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Silver Valley Christian Academy,Silver Valley Christian Academy KELLOGG,2017-2018,ID,N/A,0,0,1,0,1,N/A,-116.117784475,47.539038687,15 E Mullan Ave,KELLOGG,Kellogg,SILVER VALLEY CHRISTIAN ACADEMY,83837
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Beacon Christian,Beacon Christian LEWISTON,2017-2018,ID,N/A,4,0,5,0,1,N/A,-117.000170832,46.391415461,615 Stewart Avenue,LEWISTON,Lewiston,BEACON CHRISTIAN SCHOOL,83501
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,St. Mary's Catholic,St. Mary's Catholic MOSCOW,2017-2018,ID,N/A,3,0,4,0,1,N/A,-116.991090648,46.736920152,412 N Monroe,MOSCOW,Moscow,ST. MARY'S SCHOOL,83843
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Mountain Home Academy,Mountain Home Academy MOUNTAIN HOME,2017-2018,ID,N/A,3,0,4,0,1,N/A,-115.660899785,43.146698322,2850 Industrial Way,MOUNTAIN HOME,Mountain Home,MOUNTAIN HOME ACADEMY,83647
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Zion Lutheran,Zion Lutheran NAMPA,2017-2018,ID,N/A,5,0,6,0,1,N/A,-116.572884083,43.558704,1012 12th Ave Rd,NAMPA,Nampa,ZION LUTHERAN SCHOOL,83686
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Pend Oreille Valley Adventist,Pend Oreille Valley Adventist OLDTOWN,2017-2018,ID,N/A,0,0,1,0,1,N/A,-117.023221675,48.116087277,33820 ID HWY 41,OLDTOWN,Oldtown,PEND OREILLE VALLEY ADVENTIST SCHOOL,83822
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Treasure Valley SDA,Treasure Valley SDA PAYETTE,2017-2018,ID,N/A,0,0,1,0,1,N/A,-116.933412816,44.071321297,305 1/2 S. 9th St.,PAYETTE,Payette,TREASURE VALLEY SDA SCHOOL,83661
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,92 Swan Valley,Swan Valley Elementary,Swan Valley Elementary IRWIN,2017-2018,ID,N/A,4,0,6,0,2,N/A,-111.293562,43.404988,3389 Highway 26,IRWIN,Irwin,SWAN VALLEY ELEMENTARY SCHOOL,83428
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,261 Jerome,Northside Jr/Sr High,Northside Jr/Sr High JEROME,2017-2018,ID,N/A,0,0,3,0,3,N/A,-114.5195325,42.727954510,125 4th Ave West,JEROME,Jerome,NORTHSIDE JR SR HIGH SCHOOL,83338
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Boise Valley Adventist,Boise Valley Adventist BOISE,2017-2018,ID,N/A,3,0,6,0,3,N/A,-116.334457842,43.613272168,925 N. Cloverdale Rd.,BOISE,Boise,BOISE VALLEY ADVENTIST SCHOOL,83713
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Calvary Christian  / Nampa,Calvary Christian  / Nampa NAMPA,2017-2018,ID,N/A,1,0,4,0,3,N/A,-116.613136158,43.595172557,1210 N. Middleton Rd.,NAMPA,Nampa,CALVARY CHRISTIAN SCHOOL - BOISE,83651
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Twin Falls Christian Academy,Twin Falls Christian Academy TWIN FALLS,2017-2018,ID,N/A,5,0,8,0,3,N/A,-114.44062464,42.575769,798 Eastland Dr. N.,TWIN FALLS,Twin Falls,TWIN FALLS CHRISTIAN ACADEMY,83301
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,261 Jerome,Day Treatment Program,Day Treatment Program JEROME,2017-2018,ID,N/A,3,0,7,0,4,N/A,-114.5195325,42.727954510,125 4th Ave West,JEROME,Jerome,,83338
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,243 Salmon River,Salmon River Jr/Sr High,Salmon River Jr/Sr High RIGGINS,2017-2018,ID,N/A,4,0,9,0,5,N/A,-116.063748,45.329061,711 Ace's Place Rd.,RIGGINS,Riggins,SALMON RIVER JR SR HIGH SCHOOL,83549
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,121 Camas,Camas County Elementary/Jr High,Camas County Elementary/Jr High FAIRFIELD,2017-2018,ID,N/A,7,0,8,1,0,N/A,-114.791983697,43.347230445,610 Soldier Rd.,FAIRFIELD,Fairfield,CAMAS COUNTY ELEMENTARY JR HIGH SCHOOL,83327
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,244 Mountain View,Elk City Public,Elk City Public ELK CITY,2017-2018,ID,N/A,0,0,1,1,0,N/A,-115.435949,45.827972,100 School Drive,ELK CITY,Elk City,ELK CITY PUBLIC SCHOOL,83525
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,342 Culdesac,Culdesac,Culdesac CULDESAC,2017-2018,ID,N/A,8,0,9,1,0,N/A,-116.671904,46.375528,600 Culdesac Ave,CULDESAC,Culdesac,CULDESAC SCHOOL,83524
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,433 Midvale,Midvale Alternative,Midvale Alternative MIDVALE,2017-2018,ID,N/A,0,0,1,1,0,N/A,-116.729884,44.471966,45 School Road,MIDVALE,Midvale,MIDVALE SCHOOL,83645
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Saint Peter and Paul,Saint Peter and Paul GRANGEVILLE,2017-2018,ID,N/A,6,0,7,1,0,N/A,-116.126922973,45.924533748,330 S B street,GRANGEVILLE,Grangeville,SAINT PETER AND PAUL SCHOOL,83530
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Northwest Children's Education Center,Northwest Children's Education Center LEWISTON,2017-2018,ID,N/A,8,0,9,1,0,N/A,-117.014123059,46.414284489,602 13th Street,LEWISTON,Lewiston,NORTHWEST CHILDREN'S EDUCATION CENTER,83501
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Sandpoint Jr Academy,Sandpoint Jr Academy SANDPOINT,2017-2018,ID,N/A,1,0,2,1,0,N/A,-116.580064482,48.272957812,2255 PINE ST,SANDPOINT,Sandpoint,,83864
90.0%,100.0%,0.0%,90.0%,10.0%,Seventh Grade,N/A,90.0%,0.0%,90.0%,90.0%,1,90.0%,149 North Gem,North Gem K/12,North Gem K/12 BANCROFT,2017-2018,ID,90.0%,9,0,10,1,0,N/A,-111.886552,42.718472,360 S. Main,BANCROFT,Bancroft,NORTH GEM K-12 SCHOOL,83217
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Calvary Christian  / Boise,Calvary Christian  / Boise BOISE,2017-2018,ID,N/A,6,0,8,1,1,N/A,-116.275827261,43.602992502,111 S Auto Dr,BOISE,Boise,CALVARY CHRISTIAN ACADEMY,83709
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Summit Academy,Summit Academy COTTONWOOD,2017-2018,ID,N/A,1,0,5,1,3,N/A,-116.358446,46.0848,122 Substation Rd,COTTONWOOD,Cottonwood,SUMMIT ACADEMY,83522
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Charter,Idaho Connects Online,Idaho Connects Online STAR,2017-2018,ID,N/A,1,0,7,1,5,N/A,-116.4886251,43.6964429,P.O Box 125,STAR,Star,IDAHO CONNECTS ONLINE SCHOOL,83669
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,274 Kootenai,Kootenai Jr/Sr High,Kootenai Jr/Sr High HARRISON,2017-2018,ID,N/A,4,0,6,2,0,N/A,-116.672153818,47.400469841,13030 E. O'Gara Road,HARRISON,Harrison,KOOTENAI JR_SR HIGH SCHOOL,83833
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,411 Twin Falls,Twin Falls Virtual House,Twin Falls Virtual House TWIN FALLS,2017-2018,ID,N/A,2,0,4,2,0,N/A,-114.440518147,42.555002486,616 Eastland Dr,TWIN FALLS,Twin Falls,TWIN FALLS VIRTUAL SCHOOLHOUSE,83301
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,432 Cambridge,Cambridge Jr/Sr High,Cambridge Jr/Sr High CAMBRIDGE,2017-2018,ID,N/A,6,0,8,2,0,N/A,-116.682595709,44.574813789,455 Hopper Ave.,CAMBRIDGE,Cambridge,CAMBRIDGE JR SR HIGH SCHOOL,83610
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Centennial Baptist,Centennial Baptist CALDWELL,2017-2018,ID,N/A,7,0,9,2,0,N/A,-116.654377915,43.63387753,3610 E Ustick Rd,CALDWELL,Caldwell,CENTENNIAL BAPTIST SCHOOL,83605
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Sandpoint Christian,Sandpoint Christian PONDERAY,2017-2018,ID,N/A,5,0,7,2,0,N/A,-116.546277295,48.319732504,477954 Highway 95 N,PONDERAY,Ponderay,SANDPOINT CHRISTIAN SCHOOL,83852
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,433 Midvale,Midvale,Midvale MIDVALE,2017-2018,ID,N/A,3,0,6,2,1,N/A,-116.729884,44.471966,56 School Road,MIDVALE,Midvale,MIDVALE ALTERNATIVE SCHOOL,83645
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,93 Bonneville,Bonneville Online High,Bonneville Online High IDAHO FALLS,2017-2018,ID,N/A,4,0,7,3,0,N/A,-111.966854608,43.525848173,2017 E 49th N,IDAHO FALLS,Idaho Falls,BONNEVILLE ONLINE ELEMENTARY SCHOOL,83401
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,Private,Caldwell Adventist Elementary,Caldwell Adventist Elementary CALDWELL,2017-2018,ID,N/A,3,0,6,3,0,N/A,-116.676769,43.649712,2317 Wisconsin Ave,CALDWELL,Caldwell,CALDWELL ADVENTIST ELEMENTARY,83605
96.0%,100.0%,0.0%,96.0%,4.0%,Seventh Grade,N/A,96.0%,0.0%,96.0%,96.0%,1,96.0%,150 Soda Springs,Tigert Middle,Tigert Middle SODA SPRINGS,2017-2018,ID,96.0%,72,0,75,3,0,N/A,-111.596138,42.663196,250 EAST 2ND SOUTH,SODA SPRINGS,Soda Springs,TIGERT MIDDLE SCHOOL,83276
95.2%,98.8%,0.0%,97.6%,3.6%,Seventh Grade,N/A,97.6%,1.2%,96.4%,96.4%,1,97.6%,33 Bear Lake,Bear Lake Middle,Bear Lake Middle MONTPELIER,2017-2018,ID,96.4%,80,0,84,3,1,N/A,-111.303516,42.317546,633 Washington St,MONTPELIER,Montpelier,BEAR LAKE MIDDLE SCHOOL,83254
96.0%,100.0%,0.0%,98.4%,4.0%,Seventh Grade,N/A,98.4%,0.0%,98.4%,96.0%,1,98.4%,215 Fremont,South Fremont Jr High,South Fremont Jr High SAINT ANTHONY,2017-2018,ID,96.0%,119,0,124,5,0,N/A,-111.683789394,43.971775769,550 N 1 W,SAINT ANTHONY,Saint Anthony,SOUTH FREMONT JR HIGH SCHOOL,83445
88.9%,98.1%,0.0%,94.4%,9.3%,Seventh Grade,N/A,96.3%,1.9%,96.3%,90.7%,1,96.3%,215 Fremont,North Fremont Jr/Sr High,North Fremont Jr/Sr High ASHTON,2017-2018,ID,90.7%,48,0,54,5,1,N/A,-111.435599,44.071379,3581 E 1300 N,ASHTON,Ashton,NORTH FREMONT JR_SR HIGH SCHOOL,83420
88.9%,91.6%,0.0%,95.3%,2.6%,Seventh Grade,N/A,96.8%,8.4%,96.8%,90.5%,1,96.8%,201 Preston,Preston Jr High,Preston Jr High PRESTON,2017-2018,ID,90.0%,169,0,190,5,16,N/A,-111.866358,42.081656,450 E. 800 S.,PRESTON,Preston,PRESTON JR HIGH SCHOOL,83263
87.0%,100.0%,0.0%,89.1%,13.0%,Seventh Grade,N/A,89.1%,0.0%,89.1%,87.0%,1,89.1%,148 Grace,Grace Jr/Sr High,Grace Jr/Sr High GRACE,2017-2018,ID,87.0%,40,0,46,6,0,N/A,-111.730509,42.569985,704 South Main Street PO Box 348,GRACE,Grace,GRACE JR SR HIGH SCHOOL,83241
72.7%,90.9%,0.0%,81.8%,18.2%,Seventh Grade,N/A,81.8%,9.1%,81.8%,72.7%,1,81.8%,Charter,Taylor's Crossing Charter,Taylor's Crossing Charter IDAHO FALLS,2017-2018,ID,72.7%,24,0,33,6,3,N/A,-111.939057013,43.508535961,1445 N Woodriver Rd,IDAHO FALLS,Idaho Falls,TAYLOR'S CROSSING CHARTER SCHOOL,83401
98.3%,100.0%,0.0%,98.3%,1.7%,Seventh Grade,N/A,98.3%,0.0%,98.3%,98.3%,1,98.3%,321 Madison,Madison Jr High,Madison Jr High REXBURG,2017-2018,ID,98.3%,402,0,409,7,0,N/A,-111.785515,43.826151,134 Madison Ave,REXBURG,Rexburg,MADISON JUNIOR HIGH SCHOOL,83440
91.0%,97.9%,0.0%,93.1%,6.9%,Seventh Grade,N/A,92.4%,2.1%,93.8%,91.0%,1,95.1%,401 Teton,Teton Middle,Teton Middle DRIGGS,2017-2018,ID,91.0%,131,0,144,10,3,N/A,-111.10098,43.729955,935 N 5th E,DRIGGS,Driggs,TETON MIDDLE SCHOOL,83422
85.2%,97.1%,0.0%,95.2%,11.9%,Seventh Grade,N/A,94.9%,2.9%,94.3%,90.1%,1,96.7%,251 Jefferson,Rigby Middle,Rigby Middle RIGBY,2017-2018,ID,90.5%,387,0,454,54,13,N/A,-111.943744,43.668589,290 N 3800 E,RIGBY,Rigby,RIGBY MIDDLE SCHOOL,83442
90.0%,100.0%,5.0%,95.0%,5.0%,Seventh Grade,N/A,100.0%,0.0%,90.0%,95.0%,1,100.0%,283 Kendrick,Kendrick Jr/Sr High,Kendrick Jr/Sr High KENDRICK,2017-2018,ID,95.0%,18,1,20,1,0,N/A,-116.615246,46.683602,2001 HWY 3,KENDRICK,Kendrick,KENDRICK JR SR HIGH SCHOOL,83537
94.0%,100.0%,2.0%,94.0%,4.0%,Seventh Grade,N/A,96.0%,0.0%,96.0%,96.0%,1,94.0%,262 Valley,Valley,Valley HAZELTON,2017-2018,ID,96.0%,47,1,50,2,0,N/A,-114.171079,42.592271,882 Valley Road,HAZELTON,Hazelton,VALLEY SCHOOL,83335
83.3%,100.0%,5.6%,94.4%,11.1%,Seventh Grade,N/A,83.3%,0.0%,94.4%,88.9%,1,88.9%,Charter,Palouse Prairie,Palouse Prairie MOSCOW,2017-2018,ID,88.9%,15,1,18,2,0,N/A,-117.002150919,46.721249665,1500 Levick Street,MOSCOW,Moscow,PALOUSE PRAIRIE SCHOOL,83843
98.5%,100.0%,0.3%,99.1%,1.2%,Seventh Grade,N/A,99.4%,0.0%,99.4%,99.4%,1,99.1%,193 Mountain Home,Mountain Home Jr High,Mountain Home Jr High MOUNTAIN HOME,2017-2018,ID,99.4%,323,1,328,4,0,N/A,-115.679952,43.126521,1600 E 6th S,MOUNTAIN HOME,Mountain Home,MOUNTAIN HOME JUNIOR HIGH SCHOOL,83647
95.4%,100.0%,0.7%,96.7%,3.9%,Seventh Grade,N/A,98.0%,0.0%,98.0%,96.7%,1,97.4%,331 Minidoka,West Minico Middle,West Minico Middle PAUL,2017-2018,ID,97.4%,146,1,153,6,0,N/A,-113.783978,42.641763,155 S 600 W,PAUL,Paul,WEST MINICO MIDDLE SCHOOL,83347
88.7%,95.9%,1.0%,93.8%,6.2%,Seventh Grade,N/A,95.9%,4.1%,97.9%,90.7%,1,97.9%,Charter,North Star Public Charter,North Star Public Charter EAGLE,2017-2018,ID,90.7%,86,1,97,6,4,N/A,-116.413659007,43.700058168,839 No. Linder Rd,EAGLE,Eagle,NORTH STAR PUBLIC CHARTER SCHOOL,83616
95.1%,98.1%,0.4%,97.8%,2.6%,Seventh Grade,N/A,98.5%,1.9%,98.9%,97.0%,1,98.9%,25 Pocatello,Alameda Middle,Alameda Middle POCATELLO,2017-2018,ID,97.4%,254,1,267,7,5,N/A,-112.456402,42.890449,845 McKinley,POCATELLO,Pocatello,ALAMEDA MIDDLE SCHOOL,83201
94.8%,100.0%,0.5%,97.4%,4.6%,Seventh Grade,N/A,97.9%,0.0%,97.4%,95.9%,1,97.4%,60 Shelley,Hobbs Middle,Hobbs Middle SHELLEY,2017-2018,ID,95.9%,184,1,194,9,0,N/A,-112.118113,43.379681,350 E Pine,SHELLEY,Shelley,HOBBS MIDDLE SCHOOL,83274
