COUNTY_DESC,BEDS Code,POPULAR_NAME,GRADE_ORG_DESC,INST_SUB_TYPE_DESC,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,UGE,UGS,KFULL,KHALF,PK,Enrollment
ROCKLAND,500101147572,ST AUGUSTINE SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,18,19,24,20,24,25,23,16,0,0,0,0,0,0,25,0,18,212
ROCKLAND,500101226114,ROCKLAND JEWISH ACADEMY,Other,JEWISH,10,7,9,10,6,0,0,0,0,0,0,0,0,0,9,0,10,61
ROCKLAND,500101229658,HEBREW ACADEMY-OHR MENACHEM CHABAD,Elementary,JEWISH,4,9,5,6,3,3,5,2,0,0,0,0,0,0,15,0,9,61
ROCKLAND,500101996670,ROCKLAND COUNTRY DAY SCHOOL,K-12 School,INDEPENDENT,6,4,5,4,4,7,4,10,9,17,24,25,0,0,6,0,0,125
ROCKLAND,500101999089,BLUE ROCK SCHOOL,Elementary,INDEPENDENT,10,11,10,11,17,11,9,5,0,0,0,0,0,0,9,1,0,94
ROCKLAND,500108145040,ST ANTHONY SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,19,25,23,20,22,22,16,22,0,0,0,0,0,0,24,0,15,208
ROCKLAND,500201145043,ST GREGORY BARBARIGO SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,37,33,29,44,26,24,27,33,0,0,0,0,0,0,29,0,0,282
ROCKLAND,500201145047,ST PETER'S SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,44,37,29,27,24,22,17,19,0,0,0,0,0,0,56,0,33,308
ROCKLAND,500201998806,CHILDREN OF MARY NURSERY KNDG,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,28,37
ROCKLAND,500301145260,ST DOMINICS HOME,Junior Senior School,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,10,6,12,6,8,13,0,0,0,0,0,11,0,0,0,66
ROCKLAND,500301999199,PRE-SCHOOL PLAYHOUSE,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,78,89
ROCKLAND,500304145050,ST PAUL SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,12,24,12,20,19,20,21,15,0,0,0,0,0,0,25,0,41,209
ROCKLAND,500304998107,SUMMIT SCHOOL (THE),Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,137
ROCKLAND,500304999260,RIVER SCHOOL (THE),Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
ROCKLAND,500308145046,ST MARGARET SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,21,20,20,25,17,24,18,12,0,0,0,0,0,0,32,0,41,230
ROCKLAND,500401145051,SACRED HEART SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,16,14,16,20,18,18,23,16,0,0,0,0,0,0,29,0,32,202
ROCKLAND,500401226004,CON KOLEL CHASIDEL RACHMISTRIVKA,Elementary,JEWISH,27,26,22,17,0,0,0,0,0,0,0,0,0,0,28,28,25,173
ROCKLAND,500401229384,BAIS YAAKOV OF RAMAPO,Senior High,JEWISH,0,0,0,0,0,0,0,0,30,30,24,28,0,0,0,0,0,112
ROCKLAND,500401229393,YESHIVAS OHR REUVEN,Senior High,JEWISH,0,0,0,0,0,0,0,0,17,14,20,11,0,0,0,0,0,62
ROCKLAND,500401229597,YESHIVA DARCHEI NOAM,Elementary,JEWISH,23,25,37,20,23,25,22,37,0,0,0,0,0,0,21,0,20,253
ROCKLAND,500401229697,ATERES BAIS YAAKOV ACAD OF ROCKLAND,K-12 School,JEWISH,21,21,20,27,26,30,37,26,30,33,29,30,0,0,24,0,18,372
ROCKLAND,500401229856,CONGREGATION ATERES TZVI,Elementary,JEWISH,13,15,20,19,17,14,17,12,0,0,0,0,0,0,17,0,13,157
ROCKLAND,500402206673,MESIFTA BETH SHRAGA,Senior High,JEWISH,0,0,0,0,0,0,0,0,21,22,18,14,0,0,0,0,0,75
ROCKLAND,500402207407,SHAAREI TORAH OF ROCKLAND,Senior High,JEWISH,0,0,0,0,0,0,0,0,20,24,17,9,0,0,0,0,0,70
ROCKLAND,500402209903,YESHIVA BAIS HACHINUCH,Elementary,JEWISH,0,0,4,8,12,12,12,13,0,0,0,0,0,0,0,0,0,61
ROCKLAND,500402225047,TALMUD TORAH BOBOV,Elementary,JEWISH,55,53,51,48,45,38,28,25,23,0,0,0,0,0,51,0,63,480
ROCKLAND,500402225056,MESIVTA MAAMAR MORDECHAI,Senior High,JEWISH,0,0,0,0,0,0,0,0,10,10,11,15,0,0,0,0,0,46
ROCKLAND,500402225490,SKILL BUILDING CENTER (THE),Elementary,JEWISH,4,9,4,5,3,5,2,2,0,0,0,0,0,0,3,0,0,37
ROCKLAND,500402225496,BAIS TRANY OF MONSEY,Elementary,JEWISH,21,25,19,23,14,17,20,0,0,0,0,0,0,0,23,0,68,230
ROCKLAND,500402225550,BOBOVER YESHIVA OF MONSEY,Junior Senior School,JEWISH,21,25,21,25,19,16,0,0,32,28,17,0,0,0,26,0,18,248
ROCKLAND,500402225586,CONGREGATION BAIS CHANA MALKA,Junior Senior School,JEWISH,21,16,9,11,9,18,12,16,13,11,11,0,0,0,45,0,0,192
ROCKLAND,500402225587,CONGRE MACHON TIFERES BACHURIM,Senior High,JEWISH,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23
ROCKLAND,500402225674,BNEI YAKOV YOSEF OF MONSEY,Elementary,JEWISH,25,28,17,18,0,0,0,0,0,0,0,0,0,0,25,0,49,162
