Year,County,SiteName,Enrollment,PBE,PME
2016-2017,Clackamas,ECCLES ELEMENTARY,468,20,0
2016-2017,Clackamas,EL PUENTE ELEMENTARY,248,6,0
2016-2017,Clackamas,ELLIOTT PRAIRIE CHRISTIAN,17,12,0
2016-2017,Clackamas,ESTACADA HIGH SCHOOL,521,20,3
2016-2017,Clackamas,ESTACADA JUNIOR HIGH,365,14,0
2016-2017,Clackamas,FIRST BAPTIST CHURCH SCHOOL,10,0,0
2016-2017,Clackamas,FIRWOOD ELEMENTARY,438,13,1
2016-2017,Clackamas,FOREST HILLS ELEMENTARY,439,20,8
2016-2017,Clackamas,GAFFNEY LANE ELEMENTARY,540,38,1
2016-2017,Clackamas,GARDINER MIDDLE SCHOOL,788,27,4
2016-2017,Clackamas,GLADSTONE CENTER FOR CHILDREN,142,10,2
2016-2017,Clackamas,GLADSTONE HIGH SCHOOL,656,9,0
2016-2017,Clackamas,GOOD SHEPHERD SCHOOL,198,28,0
2016-2017,Clackamas,GRACE CHRISTIAN SCHOOL,87,17,0
2016-2017,Clackamas,GRAND VIEW CHRISTIAN ACADEMY,240,29,0
2016-2017,Clackamas,HALLINAN ELEMENTARY,454,26,1
2016-2017,Clackamas,HAPPY VALLEY ELEMENTARY,454,26,0
2016-2017,Clackamas,HAPPY VALLEY MIDDLE SCHOOL,"1,089",60,1
2016-2017,Clackamas,HERON CREEK ACADEMY HIGH,18,2,0
2016-2017,Clackamas,HERON CREEK ACADEMY JR HIGH,19,0,0
2016-2017,Clackamas,HERON CREEK ELEMENTARY,36,5,0
2016-2017,Clackamas,HILLSVIEW MONTESSORI SCHOOL,9,,
2016-2017,Clackamas,HOLCOMB ELEMENTARY,473,32,0
2016-2017,Clackamas,HOOD VIEW JUNIOR ACADEMY,110,2,0
2016-2017,Clackamas,INTERNATIONAL LEADERSHIP ACADEMY,32,6,0
2016-2017,Clackamas,JENNINGS LODGE ELEMENTARY,255,22,0
2016-2017,Clackamas,JOHN MCLOUGHLIN ELEMENTARY,586,42,1
2016-2017,Clackamas,JOHN WETTEN ELEMENTARY,750,36,1
2016-2017,Clackamas,KELSO ELEMENTARY,358,18,0
2016-2017,Clackamas,KRAXBERGER MIDDLE SCHOOL,475,12,1
2016-2017,Clackamas,LA SALLE CATHOLIC COLLEGE PREPARATORY,696,6,1
2016-2017,Clackamas,LAKE GROVE ELEMENTARY,451,29,1
2016-2017,Clackamas,LAKE OSWEGO HIGH SCHOOL,"1,285",29,1
2016-2017,Clackamas,LAKE OSWEGO JR HIGH SCHOOL,891,27,2
2016-2017,Clackamas,LAKERIDGE HIGH SCHOOL,"1,092",36,3
2016-2017,Clackamas,LAKERIDGE JUNIOR HIGH,827,34,3
2016-2017,Clackamas,LEEP-BEAVERCREEK ELEMENTARY,8,,
2016-2017,Clackamas,LEEP-OGDEN,9,,
2016-2017,Clackamas,LEEP-OREGON CITY HIGH,1,,
2016-2017,Clackamas,LEWELLING ELEMENTARY,361,13,0
2016-2017,Clackamas,LINWOOD ELEMENTARY,312,13,0
2016-2017,Clackamas,LOWRIE PRIMARY SCHOOL,568,27,1
2016-2017,Clackamas,MARYLHURST EARLY CHILDHOOD CENTER,71,3,0
2016-2017,Clackamas,MICHA-EL SCHOOL,114,77,0
2016-2017,Clackamas,MILWAUKIE ACADEMY OF ARTS,302,27,0
2016-2017,Clackamas,MILWAUKIE ELEMENTARY,157,2,0
2016-2017,Clackamas,MILWAUKIE HIGH SCHOOL,980,23,0
2016-2017,Clackamas,MILWAUKIE MONTESSORI SCHOOL AND DAYCARE,1,,
2016-2017,Clackamas,MOLALLA ELEMENTARY,396,10,1
2016-2017,Clackamas,MOLALLA HIGH SCHOOL,696,26,0
2016-2017,Clackamas,MOLALLA RIVER ACADEMY,218,28,0
2016-2017,Clackamas,MOLALLA RIVER MIDDLE SCHOOL,512,8,1
2016-2017,Clackamas,MRSD OUTSIDE PLACEMENT K-12,51,0,0
2016-2017,Clackamas,MT HOOD ACADEMY,7,,
2016-2017,Clackamas,MT SCOTT ELEMENTARY,349,17,0
2016-2017,Clackamas,MULINO ELEMENTARY,302,18,0
2016-2017,Clackamas,NAAS ELEMENTARY,376,19,0
2016-2017,Clackamas,NEW URBAN HIGH SCHOOL,139,4,0
2016-2017,Clackamas,NINETY ONE SCHOOL,472,47,1
2016-2017,Clackamas,NORTH CLACKAMAS CHRISTIAN SCHOOL,231,7,0
2016-2017,Clackamas,OAK CREEK ELEMENTARY,465,20,1
2016-2017,Clackamas,OAK GROVE CENTER,1,,
2016-2017,Clackamas,OAK GROVE DAY CARE AND PRESCHOOL,2,,
2016-2017,Clackamas,OAK GROVE ELEMENTARY,397,32,2
2016-2017,Clackamas,OGDEN MIDDLE SCHOOL,830,42,1
2016-2017,Clackamas,OREGON CITY CHRISTIAN ACADEMY,26,0,0
2016-2017,Clackamas,OREGON CITY HIGH SCHOOL,"2,004",58,6
2016-2017,Clackamas,OREGON CITY SERVICE LEARNING ACADEMY,161,17,1
2016-2017,Clackamas,OREGON TRAIL ACADEMY,254,15,1
2016-2017,Clackamas,OREGON TRAIL ELEMENTARY,496,25,1
2016-2017,Clackamas,OUR LADY OF THE LAKE,240,9,0
2016-2017,Clackamas,PARK ACADEMY,75,4,0
2016-2017,Clackamas,PARROTT CREEK RANCH,14,0,0
2016-2017,Clackamas,PHILANDER LEE ELEMENTARY,435,14,0
2016-2017,Clackamas,PORTLAND WALDORF SCHOOL,266,129,0
2016-2017,Clackamas,REDLAND ELEMENTARY,546,35,0
2016-2017,Clackamas,RENAISSANCE PUBLIC ACADEMY,117,30,0
2016-2017,Clackamas,RESURRECTION CATHOLIC PRESCHOOL AND KINDERGARTEN,7,,
2016-2017,Clackamas,REX PUTNAM HIGH SCHOOL,"1,107",29,1
2016-2017,Clackamas,RIVER GROVE ELEMENTARY,528,29,2
2016-2017,Clackamas,RIVER MILL ELEMENTARY,326,16,0
2016-2017,Clackamas,RIVERGATE ADVENTIST ELEMENTARY,141,12,0
2016-2017,Clackamas,RIVERSIDE ELEMENTARY,429,11,0
2016-2017,Clackamas,ROCK CREEK MIDDLE SCHOOL,873,50,2
2016-2017,Clackamas,ROSEMONT RIDGE MIDDLE SCHOOL,842,48,3
2016-2017,Clackamas,ROWE MIDDLE SCHOOL,771,29,0
2016-2017,Clackamas,RURAL DELL ELEMENTARY,227,18,0
2016-2017,Clackamas,SANDY GRADE,338,9,0
2016-2017,Clackamas,SANDY HIGH SCHOOL,"1,387",33,3
2016-2017,Clackamas,SCOUTERS MOUNTAIN,531,44,1
2016-2017,Clackamas,SOJOURNER ELEMENTARY SCHOOL,164,8,0
2016-2017,Clackamas,SPRING MOUNTAIN CHRISTIAN ACADEMY,116,67,0
2016-2017,Clackamas,SPRING MOUNTAIN ELEMENTARY,549,28,0
2016-2017,Clackamas,SPRINGWATER ENVIRONMENTAL SCIENCES SCHOOL,200,31,0
2016-2017,Clackamas,ST JOHN THE APOSTLE CATHOLIC SCHOOL,178,7,0
2016-2017,Clackamas,ST JOHN THE BAPTIST CATHOLIC SCHOOL,175,6,0
2016-2017,Clackamas,STAFFORD ACADEMY,19,2,0
2016-2017,Clackamas,STAFFORD PRIMARY,454,19,1
2016-2017,Clackamas,SUMMIT LEARNING CHARTER,226,61,0
2016-2017,Clackamas,SUN GARDEN MONTESSORI,4,,
2016-2017,Clackamas,SUNNYSIDE ELEMENTARY,541,35,1
2016-2017,Clackamas,SUNNYSIDE MONTESSORI,8,,
2016-2017,Clackamas,SUNSET PRIMARY,325,15,0
2016-2017,Clackamas,THREE RIVERS CHARTER SCHOOL,110,9,1
2016-2017,Clackamas,TIMBERLAKE Job Corps,165,0,0
2016-2017,Clackamas,TOUCHSTONE ELEMENTARY,79,6,0
2016-2017,Clackamas,TRILLIUM CREEK PRIMARY SCHOOL,619,47,3
2016-2017,Clackamas,TROST ELEMENTARY,426,8,0
2016-2017,Clackamas,TWO RIVERS FARM SCHOOL,39,28,1
2016-2017,Clackamas,VALLEY VIEW DAY SCHOOL,14,0,0
2016-2017,Clackamas,VIEW ACRES ELEMENTARY,423,15,0
2016-2017,Clackamas,WELCHES ELEMENTARY,207,13,1
2016-2017,Clackamas,WELCHES MIDDLE SCHOOL,98,3,0
2016-2017,Clackamas,WEST HILLS MONTESSORI SCHOOL,8,,
2016-2017,Clackamas,WEST LINN HIGH SCHOOL,"1,808",48,3
2016-2017,Clackamas,WESTRIDGE ELEMENTARY,466,21,0
2016-2017,Clackamas,WHITCOMB ELEMENTARY,439,19,0
2016-2017,Clackamas,WILLAMETTE PRIMARY,569,25,0
2016-2017,Clackamas,WILLIAM KNIGHT ELEMENTARY,354,8,0
2016-2017,Clackamas,WILSONVILLE HIGH SCHOOL,"1,137",36,2
2016-2017,Clackamas,WOOD MIDDLE SCHOOL,797,30,2
2016-2017,Clatsop,Astor Elementary,398,14,0
2016-2017,Clatsop,Astoria High School,583,22,0
2016-2017,Clatsop,Astoria Middle School,417,17,0
2016-2017,Clatsop,Broadway Middle School,339,13,1
2016-2017,Clatsop,Gearhart Elementary,314,16,0
2016-2017,Clatsop,Hilda Lahti Elementary,279,11,0
2016-2017,Clatsop,Hilda Lahti Junior High,70,0,0
2016-2017,Clatsop,Jewell Elementary School,66,7,0
2016-2017,Clatsop,Jewell High School,56,4,1
2016-2017,Clatsop,Jewell Middle School,35,1,1
2016-2017,Clatsop,Knappa High School,139,4,1
2016-2017,Clatsop,Lewis & Clark Elementary,424,15,0
2016-2017,Clatsop,North Coast Christian School - Main Campus,83,17,0
2016-2017,Clatsop,North Coast Youth Correctional Facility - South Je,41,0,0
2016-2017,Clatsop,Seaside Heights Elementary,438,22,1
2016-2017,Clatsop,Seaside High School,439,15,0
2016-2017,Clatsop,Warrenton Grade School 4-8,384,23,0
2016-2017,Clatsop,Warrenton Grade School K-3,347,26,2
2016-2017,Clatsop,Warrenton High School,255,5,0
2016-2017,Columbia,Clatskanie Elementary,368,33,2
2016-2017,Columbia,Clatskanie Middle/High School,362,16,1
2016-2017,Columbia,Columbia County Christian School,53,4,0
2016-2017,Columbia,Cub's Corner child care center/Little Lions  Day S,2,,
2016-2017,Columbia,North Columbia Academy,48,0,0
2016-2017,Columbia,Piercing Arrow Private School,15,2,0
2016-2017,Columbia,Rainier Hudson Park Elementary,477,15,0
2016-2017,Columbia,Rainier Junior/Senior High School,437,8,1
2016-2017,Columbia,Sauvie Island School,214,41,2
2016-2017,Columbia,Scappoose Adventist School,49,4,0
2016-2017,Columbia,Scappoose Grant Watts Grade School,389,13,1
2016-2017,Columbia,Scappoose High School,766,27,0
2016-2017,Columbia,Scappoose Middle School,297,7,0
2016-2017,Columbia,Scappoose Otto H.H. Peterson,450,13,0
2016-2017,Columbia,Scappoose Warren Elementary,195,12,0
2016-2017,Columbia,South Columbia Family School,75,21,0
2016-2017,Columbia,St Helens Yankton Arthur Academy,238,5,0
2016-2017,Columbia,St. Helens Columbia County Education Campus (CCEC),78,0,0
2016-2017,Columbia,St. Helens High School,931,7,3
2016-2017,Columbia,St. Helens Lewis & Clark Elementary,690,15,1
2016-2017,Columbia,St. Helens McBride Elementary,671,14,1
2016-2017,Columbia,St. Helens Middle School,405,5,1
2016-2017,Columbia,Vernonia Elementary,207,12,0
2016-2017,Columbia,Vernonia High School,186,10,1
2016-2017,Columbia,Vernonia Middle School,115,10,0
2016-2017,Columbia,Vernonia Mist Grade School,24,3,0
2016-2017,Coos,Bandon High School,214,16,0
2016-2017,Coos,Belloni On Campus School,11,0,0
2016-2017,Coos,Blossom Gulch Elementary,564,14,0
2016-2017,Coos,Christ Lutheran Church and School,38,4,0
2016-2017,Coos,COASTLINE - ELEMENTARY SCHOOL,5,,
2016-2017,Coos,Coastline - North Bend Middle School,3,,
2016-2017,Coos,Coos Alternative Programs,2,,
2016-2017,Coos,Coquille Jr/Sr  High School,341,15,0
2016-2017,Coos,Coquille Valley Elementary School,387,18,1
2016-2017,Coos,Destinations Academy,70,1,0
2016-2017,Coos,Gold Coast Christian School,12,1,0
2016-2017,Coos,Harbor Lights Middle School,227,20,0
2016-2017,Coos,Hillcrest Elementary,488,12,0
2016-2017,Coos,Kingsview Christian School,97,14,0
2016-2017,Coos,Lighthouse School,212,0,0
2016-2017,Coos,Lincoln School of Early Learning,61,4,0
2016-2017,Coos,Madison Elementary,374,10,0
2016-2017,Coos,Marshfield High School,891,8,0
2016-2017,Coos,Millicoma Middle School,468,8,1
2016-2017,Coos,Myrtle Crest Elementary,324,6,0
2016-2017,Coos,Myrtle Point Junior/Senior High School,257,4,0
2016-2017,Coos,North Bay Elementary,478,16,0
2016-2017,Coos,North Bend High School,785,18,0
2016-2017,Coos,North Bend Middle School,543,17,2
2016-2017,Coos,Ocean Crest Elementary School,269,23,1
2016-2017,Coos,Oregon Virtual Academy,"1,841",198,5
2016-2017,Coos,Powers School District,123,0,0
2016-2017,Coos,Resource Link Public Charter School,66,7,0
2016-2017,Coos,Sped Ed Placeholder,1,,
2016-2017,Coos,Sunset Middle School,400,3,0
2016-2017,Coos,United Valley Christian Academy,37,3,0
2016-2017,Coos,Winter Lakes School,68,6,0
2016-2017,Crook,Barnes Butte Elementary,653,12,1
2016-2017,Crook,Brothers Elementary,7,,
2016-2017,Crook,COIC Alternative Education - Crook County,30,0,0
2016-2017,Crook,Crook County High School,753,13,0
2016-2017,Crook,Crook County Middle School,584,16,0
2016-2017,Crook,Crook County Pioneer Secondary  Alternative HS,46,0,0
2016-2017,Crook,Crooked River Elementary,610,15,0
2016-2017,Crook,High Desert Christian Academy,81,10,0
2016-2017,Crook,Paulina Elementary School,20,3,0
2016-2017,Crook,Powell Butte Community Charter School,187,11,2
2016-2017,Crook,Rimrock Trails Alternative School,15,0,0
2016-2017,Curry,Azalea Middle School,353,23,2
2016-2017,Curry,Brookings Harbor Christian School,46,12,0
2016-2017,Curry,Brookings-Harbor High School,513,31,3
2016-2017,Curry,Driftwood Elementary,148,13,1
2016-2017,Curry,Gold Beach High School,166,10,1
2016-2017,Curry,Kalmiopsis Elementary School,739,39,1
2016-2017,Curry,Pacific High School,66,3,0
2016-2017,Curry,Riley Creek Elementary,298,12,0
2016-2017,Deschutes,AMITY CREEK MAGNET SCHOOL,167,47,0
2016-2017,Deschutes,BEAR CREEK ELEMENTARY,616,40,0
2016-2017,Deschutes,BEND INTERNATIONAL SCHOOL,165,46,0
2016-2017,Deschutes,BEND SENIOR HIGH SCHOOL,"1,675",79,3
2016-2017,Deschutes,BUCKINGHAM ELEMENTARY SCHOOL,578,35,2
2016-2017,Deschutes,C.O.I.C,148,3,1
2016-2017,Deschutes,CASCADE MIDDLE SCHOOL,613,40,1
2016-2017,Deschutes,CASCADES  ACADEMY,180,36,0
2016-2017,Deschutes,CENTRAL CHRISTIAN SCHOOL,253,25,0
2016-2017,Deschutes,DESCHUTES RIVER MONTESSORI SCHOOL,7,,
2016-2017,Deschutes,EASTMONT COMMUNITY SCHOOL,72,10,0
2016-2017,Deschutes,EDWIN BROWN EDUCATION CENTER - RDMD EXCEPTIONS,46,2,0
2016-2017,Deschutes,ELK MEADOW ELEMENTARY,539,34,1
2016-2017,Deschutes,ELTON GREGORY MIDDLE SCHOOL,622,12,1
2016-2017,Deschutes,ENSWORTH ELEMENTARY,210,7,0
2016-2017,Deschutes,EVERGREEN ACADEMY,9,,
2016-2017,Deschutes,FORESIGHT LEARNING CENTER,11,1,0
2016-2017,Deschutes,HIGH DESERT MIDDLE SCHOOL,730,32,0
2016-2017,Deschutes,HIGH LAKES ELEMENTARY SCHOOL,626,49,2
2016-2017,Deschutes,HIGHLAND ELEMENTARY,386,57,1
2016-2017,Deschutes,JOHN TUCK ELEMENTARY,389,8,0
2016-2017,Deschutes,JUNIPER ELEMENTARY,513,39,3
2016-2017,Deschutes,LAPINE ELEMENTARY,377,11,0
2016-2017,Deschutes,LAPINE HIGH SCHOOL,374,8,0
2016-2017,Deschutes,LAPINE MIDDLE SCHOOL,281,8,0
2016-2017,Deschutes,LAVA RIDGE ELEMENTARY,616,49,1
2016-2017,Deschutes,M A LYNCH ELEMENTARY SCHOOL,365,6,0
2016-2017,Deschutes,MARSHALL HIGH SCHOOL,130,3,0
2016-2017,Deschutes,MILLER ELEMENTARY SCHOOL,607,52,0
2016-2017,Deschutes,MORNING STAR CHRISTIAN SCHOOL,119,21,0
2016-2017,Deschutes,MT VIEW HIGH SCHOOL,"1,345",41,0
2016-2017,Deschutes,NEW LEAF ACADEMY,25,3,0
2016-2017,Deschutes,OBSIDIAN MIDDLE SCHOOL,600,19,1
2016-2017,Deschutes,PACIFIC CREST MIDDLE SCHOOL,687,49,0
2016-2017,Deschutes,PILOT BUTTE  MIDDLE SCHOOL,674,44,0
2016-2017,Deschutes,PINE RIDGE ELEMENTARY SCHOOL,513,53,0
2016-2017,Deschutes,PONDEROSA ELEMENTARY,598,35,1
2016-2017,Deschutes,R E JEWELL ELEMENTARY,530,23,0
2016-2017,Deschutes,REALMS CHARTER SCHOOL,150,28,0
2016-2017,Deschutes,Redmond Early Learning Center at Hugh Hartman,376,19,0
2016-2017,Deschutes,REDMOND HIGH SCHOOL,917,15,1
2016-2017,Deschutes,REDMOND PROFICIENCY ACADEMY,842,49,1
2016-2017,Deschutes,RIDGEVIEW HIGH SCHOOL,861,25,0
2016-2017,Deschutes,ROSLAND ELEMENTARY,171,8,0
2016-2017,Deschutes,SAGE ELEMENTARY,522,24,1
2016-2017,Deschutes,SEVEN PEAKS SCHOOL,217,19,1
2016-2017,Deschutes,SILVER RAIL ELEMENTARY,412,28,0
2016-2017,Deschutes,SISTERS CHRISTIAN ACADEMY,69,5,0
2016-2017,Deschutes,SISTERS ELEMENTARY SCHOOL,318,35,0
2016-2017,Deschutes,SISTERS HIGH SCHOOL,436,18,1
2016-2017,Deschutes,SISTERS MIDDLE SCHOOL,335,31,0
2016-2017,Deschutes,SKY VIEW MIDDLE SCHOOL,642,35,1
2016-2017,Deschutes,SONSHINE CHRISTIAN SCHOOL,10,0,0
2016-2017,Deschutes,ST  FRANCIS SCHOOL,90,4,0
2016-2017,Deschutes,ST THOMAS ACADEMY,80,3,0
2016-2017,Deschutes,SUMMIT HIGH SCHOOL,"1,464",79,0
2016-2017,Deschutes,TERREBONNE COMMUNITY SCHOOL,396,24,0
2016-2017,Deschutes,"THE MONTESSORI CENTER, INC  - NW CROSSING",9,,
2016-2017,Deschutes,THE VILLAGE PRESCHOOL,1,,
2016-2017,Deschutes,THREE RIVERS ELEMENTARY SCHOOL,408,30,1
2016-2017,Deschutes,THREE SISTERS ADVENTIST CHRISTIAN SCHOOL,25,3,0
2016-2017,Deschutes,TOM MCCALL ELEMENTARY,509,14,1
2016-2017,Deschutes,TRINITY LUTHERAN SCHOOL,230,10,0
2016-2017,Deschutes,TUMALO COMMUNITY SCHOOL,378,48,0
2016-2017,Deschutes,VERN PATRICK ELEMENTARY,394,8,0
2016-2017,Deschutes,VICTORY CHRISTIAN ACADEMY,13,1,0
2016-2017,Deschutes,WALDORF SCHOOL OF BEND,85,54,0
2016-2017,Deschutes,WESTSIDE VILLAGE,261,68,1
2016-2017,Douglas,Brockway Elementary School,332,5,0
2016-2017,Douglas,Camas Valley Charter School,198,10,1
2016-2017,Douglas,Canyonville Adventist Elementary School,18,8,1
2016-2017,Douglas,Canyonville Christian Academy,124,1,0
2016-2017,Douglas,Canyonville School,215,8,0
2016-2017,Douglas,Cobb School,46,2,0
2016-2017,Douglas,Coffenberry Middle School,299,15,0
2016-2017,Douglas,Days Creek Charter School,200,14,0
2016-2017,Douglas,Dillard Alternative School,35,1,0
2016-2017,Douglas,"Douglas County Juvenile Center - Mt Nebo, River Ro",36,0,0
2016-2017,Douglas,Douglas High School,362,10,0
2016-2017,Douglas,East Primary School,417,24,0
2016-2017,Douglas,Eastwood Elementary,431,17,0
2016-2017,Douglas,Elkton Grade School,163,19,0
2016-2017,Douglas,Elkton High School,85,4,0
2016-2017,Douglas,Fir Grove Elementary School,318,11,1
2016-2017,Douglas,Fullerton IV Elementary School,366,24,1
2016-2017,Douglas,Geneva Academy,117,23,0
2016-2017,Douglas,Glendale Elementary/Junior High School,186,16,0
2016-2017,Douglas,Glendale Senior High School,87,13,0
2016-2017,Douglas,Glide Elementary School,381,15,0
2016-2017,Douglas,Glide High School,201,6,0
2016-2017,Douglas,Glide Middle School,124,8,0
2016-2017,Douglas,Grace Family Child Center,0,,
2016-2017,Douglas,Green Elementary School,253,4,0
2016-2017,Douglas,Highland Elementary School,334,33,1
2016-2017,Douglas,Hucrest Elementary,416,25,0
2016-2017,Douglas,John C Fremont Middle,659,37,0
2016-2017,Douglas,Joseph Lane Middle School,607,29,2
2016-2017,Douglas,Lincoln Middle School,191,16,0
2016-2017,Douglas,Little Folks Christian School,10,1,0
2016-2017,Douglas,Lookingglass Elementary,195,7,0
2016-2017,Douglas,McGovern Elementary,244,5,0
2016-2017,Douglas,Melrose Christian School,18,4,0
2016-2017,Douglas,Melrose Elementary School,342,31,0
2016-2017,Douglas,Milo Adventist Academy,80,9,0
2016-2017,Douglas,Myrtle Creek Elementary School,333,29,0
2016-2017,Douglas,North Douglas Elementary/Middle School,213,9,0
2016-2017,Douglas,North Douglas High School,91,3,0
2016-2017,Douglas,Oakland Elementary School,188,14,0
2016-2017,Douglas,Oakland High School,197,6,0
2016-2017,Douglas,Phoenix Charter School,162,6,0
2016-2017,Douglas,Phoenix School - Deer Ck Adol Tx Cntr- Project Ind,12,0,0
