Year,Site Name,County,Enrollment,PBE
2015-2016,BEAUMONT CHILDREN'S CENTER INC,MULTNOMAH ,19,0
2015-2016,BEAUMONT MS,MULTNOMAH ,565,27
2015-2016,BEGIN RIGHT DAYCARE,MULTNOMAH ,12,0
2015-2016,BELMONT ACADEMY,MULTNOMAH ,73,10
2015-2016,BENSON POLYTECHNIC HS,MULTNOMAH ,869,36
2015-2016,BETH ISRAEL PRESCHOOL,MULTNOMAH ,22,1
2015-2016,BEVERLY CLEARY K-8,MULTNOMAH ,838,44
2015-2016,BLOOMING GARDEN PRE-SCHOOL,MULTNOMAH ,29,6
2015-2016,BLUE SKIES AND BUTTERFLIES PDX,MULTNOMAH ,22,0
2015-2016,BOISE-ELIOT PK-8,MULTNOMAH ,544,10
2015-2016,BREAKTHROUGH,MULTNOMAH ,10,0
2015-2016,BRIDGER K-8,MULTNOMAH ,425,35
2015-2016,BRIDGES MIDDLE SCHOOL,MULTNOMAH ,35,3
2015-2016,BRIDLEMILE E.S.,MULTNOMAH ,450,35
2015-2016,BROADWAY CHILDREN'S CENTER,MULTNOMAH ,41,2
2015-2016,BROOKLYN COOPERATIVE PRESCHOOL,MULTNOMAH ,39,4
2015-2016,BUCKMAN ES,MULTNOMAH ,446,79
2015-2016,BUILDING BLOCKS PLAYSCHOOL,MULTNOMAH ,14,0
2015-2016,BUILDING BRIDGES,MULTNOMAH ,59,4
2015-2016,BURLINGAME COOPERATIVE PRESCHOOL,MULTNOMAH ,39,4
2015-2016,BUSY BEE FAMILY CHILD CARE #1,MULTNOMAH ,16,0
2015-2016,BUSY BEE PRESCHOOL,MULTNOMAH ,20,3
2015-2016,BUTLER CREEK E.S.,MULTNOMAH ,545,37
2015-2016,CALVARY PRESBYTERIAN COOP PRES,MULTNOMAH ,12,2
2015-2016,CAPITOL HILL ES,MULTNOMAH ,466,33
2015-2016,"CARL PARENT CHILD PRESCHOOL, THE",MULTNOMAH ,23,0
2015-2016,CATHEDRAL PARK PRESCHOOL,MULTNOMAH ,32,0
2015-2016,CATHEDRAL SCHOOL,MULTNOMAH ,249,15
2015-2016,CCLC -  FIRST GEAR ACADEMY,MULTNOMAH ,94,4
2015-2016,CCLC - HEALTHY STARTS CHILDREN'S CENTER @ OHSU,MULTNOMAH ,137,0
2015-2016,CCLC AT FRED MEYER #1439,MULTNOMAH ,89,2
2015-2016,CEDARWOOD WALDORF SCHOOL,MULTNOMAH ,300,133
2015-2016,CENTENNIAL HIGH SCHOOL- LITTLE EAGLES PRESCHOOL,MULTNOMAH ,29,0
2015-2016,CENTENNIAL HS,MULTNOMAH ,"1,736",59
2015-2016,CENTENNIAL MIDDLE SCHOOL,MULTNOMAH ,948,44
2015-2016,CENTENNIAL PARK SCHOOL,MULTNOMAH ,158,2
2015-2016,CENTER FOR ADVANCED LEARNING,MULTNOMAH ,173,4
2015-2016,CENTRAL CATHOLIC HIGH SCHOOL,MULTNOMAH ,917,16
2015-2016,CENTRAL CHRISTIAN ACADEMY,MULTNOMAH ,25,0
2015-2016,CESAR CHAVEZ SCHOOL K-8,MULTNOMAH ,449,7
2015-2016,CHAPMAN ES,MULTNOMAH ,690,38
2015-2016,CHARLES JORDAN COMMUNITY CENTER,MULTNOMAH ,20,0
2015-2016,CHERRY PARK ES,MULTNOMAH ,512,32
2015-2016,CHESTNUT GROVE MONTESSORI CHILDREN'S HOUSE,MULTNOMAH ,15,5
2015-2016,CHIEF JOSEPH/OCKLEY GREEN,MULTNOMAH ,639,58
2015-2016,CHILD 'S REACH,MULTNOMAH ,16,0
2015-2016,CHILD 'S VIEW MONTESSORI SCHOOL,MULTNOMAH ,33,4
2015-2016,CHILDPEACE MONTESSORI,MULTNOMAH ,338,47
2015-2016,CHILDREN OF THE KING DAYCARE,MULTNOMAH ,11,0
2015-2016,"CHILDREN'S CENTER AT PORTLAND STATE UNIVERSITY, TH",MULTNOMAH ,48,0
2015-2016,CHILDREN'S ELITE HOME,MULTNOMAH ,13,2
2015-2016,"CHILDREN'S GARDEN DAYCARE & PRESCHOOL, INC",MULTNOMAH ,122,5
2015-2016,CHILDREN'S LEARNING CENTER,MULTNOMAH ,65,0
2015-2016,CHILDREN'S SONG,MULTNOMAH ,24,5
2015-2016,CHILDREN'S VALLEY,MULTNOMAH ,29,0
2015-2016,CHILDROOTS AINSWORTH ANNEX,MULTNOMAH ,12,1
2015-2016,CHILDROOTS ALBERTA ANNEX,MULTNOMAH ,19,4
2015-2016,CHILDROOTS BURNSIDE ANNEX,MULTNOMAH ,13,1
2015-2016,CHILDROOTS NW,MULTNOMAH ,125,12
2015-2016,CHILDROOTS SE CENTER FOR YOUNG CHILDREN,MULTNOMAH ,138,4
2015-2016,CHILDSWORK LEARNING CENTER,MULTNOMAH ,276,54
2015-2016,CHRYSALIS HOME SCHOOL,MULTNOMAH ,22,12
2015-2016,CITY CHRISTIAN PRESCHOOL,MULTNOMAH ,60,2
2015-2016,CITY CHRISTIAN SCHOOL,MULTNOMAH ,365,24
2015-2016,CLAREDON REGIONAL EARLY LEARNING CENTER,MULTNOMAH ,13,0
2015-2016,CLASS ACADEMY,MULTNOMAH ,168,14
2015-2016,CLEAR CREEK MS,MULTNOMAH ,641,17
2015-2016,CLEAR CREEK PRESCHOOL,MULTNOMAH ,12,0
2015-2016,CLEVELAND HS,MULTNOMAH ,"1,505",148
2015-2016,CLINTON STREET SCHOOL,MULTNOMAH ,10,0
2015-2016,COLUMBIA CHRISTIAN SCHOOL,MULTNOMAH ,295,13
2015-2016,COMMUNITY TRANSITION PROGRAM  DD,MULTNOMAH ,44,0
2015-2016,CONCORDIA MONTESSORI,MULTNOMAH ,31,7
2015-2016,CORBETT CHARTER SCHOOL,MULTNOMAH ,69,4
2015-2016,CORBETT GRADE SCHOOL,MULTNOMAH ,545,62
2015-2016,CORBETT HS,MULTNOMAH ,208,18
2015-2016,CORBETT MS,MULTNOMAH ,327,28
2015-2016,CRAYOLA KIDS CHILD CARE,MULTNOMAH ,10,0
2015-2016,CREATIVE MINDS LC-  BROADWAY,MULTNOMAH ,69,7
2015-2016,CREATIVE MINDS LC - GATEWAY,MULTNOMAH ,34,1
2015-2016,CREATIVE MINDS LC - SELLWOOD,MULTNOMAH ,79,4
2015-2016,CREATIVE MINDS LC - WESTMORELAND,MULTNOMAH ,55,0
2015-2016,CREATIVE MINDS LC - WOODSTOCK,MULTNOMAH ,47,3
2015-2016,CREATIVE SCIENCE SCHOOL PK-8,MULTNOMAH ,441,89
2015-2016,CRESTON PK-8,MULTNOMAH ,342,24
2015-2016,DADDY DAYCARE,MULTNOMAH ,15,0
2015-2016,DAMASCUS MS,MULTNOMAH ,163,6
2015-2016,DAVID DOUGLAS CHILD DEVELOPMENT CENTER,MULTNOMAH ,46,0
2015-2016,DAVID DOUGLAS DAY CARE CENTER,MULTNOMAH ,109,3
2015-2016,DAVID DOUGLAS HS,MULTNOMAH ,"2,902",124
2015-2016,DAVINCI ARTS MS,MULTNOMAH ,463,60
2015-2016,DAVIS ES,MULTNOMAH ,491,9
2015-2016,DD EVENING ACADEMY,MULTNOMAH ,27,1
2015-2016,DE LA SALLE N CATHOLIC HIGH SCHOOL,MULTNOMAH ,310,11
2015-2016,DEEP CREEK ES,MULTNOMAH ,235,21
2015-2016,DEPAUL ALTERNATIVE SCHOOL,MULTNOMAH ,23,0
2015-2016,DEXTER MCCARTY MS,MULTNOMAH ,591,25
2015-2016,DISCOVERY GARDENS CHILDCARE - COLUMBIA KNOLL,MULTNOMAH ,28,0
2015-2016,DISCOVERY GARDENS CHILDCARE - KENTON,MULTNOMAH ,33,0
2015-2016,DISCOVERY GARDENS CHILDCARE - LOMBARD,MULTNOMAH ,34,0
2015-2016,DISCOVERYLAND CHILD CARE CTR,MULTNOMAH ,76,8
2015-2016,DOUBLE D PRESCHOOL,MULTNOMAH ,26,1
2015-2016,DOVE CHRISTIAN PRESCHOOL,MULTNOMAH ,34,1
2015-2016,DRAGONFLY PRESCHOOL,MULTNOMAH ,18,2
2015-2016,DUNIWAY ALL STARS CHILD CARE,MULTNOMAH ,24,2
2015-2016,DUNIWAY ES,MULTNOMAH ,512,31
2015-2016,EARL BOYLES ES,MULTNOMAH ,534,29
2015-2016,EARLY LEARNING CENTER/WARNER PACIFIC COLLEGE,MULTNOMAH ,15,1
2015-2016,"EARTH TORTOISE SCHOOL LLC, THE",MULTNOMAH ,11,1
2015-2016,EAST GRESHAM ES,MULTNOMAH ,451,13
2015-2016,EAST ORIENT ES,MULTNOMAH ,407,20
2015-2016,EAST PORTLAND COMMUNITY CENTER,MULTNOMAH ,65,3
2015-2016,EASTSIDE FAMILY COOPERATIVE,MULTNOMAH ,11,1
2015-2016,EASY SPIRIT CHILD CARE LLC,MULTNOMAH ,11,0
2015-2016,ED OPTIONS RECONNECTION CENTER,MULTNOMAH ,12,0
2015-2016,ELY'S PRESCHOOL AND CHILD CARE,MULTNOMAH ,13,0
2015-2016,EMERSON SCHOOL  THE,MULTNOMAH ,143,21
2015-2016,ESCUELA VIVA,MULTNOMAH ,82,19
2015-2016,FAIRVIEW ES,MULTNOMAH ,388,9
2015-2016,FAUBION ES,MULTNOMAH ,489,18
2015-2016,FIR RIDGE CAMPUS,MULTNOMAH ,215,6
2015-2016,FIRST IMPRESSIONS PRESCHOOL,MULTNOMAH ,19,0
2015-2016,FLOURICHE,MULTNOMAH ,18,1
2015-2016,FLOWER DRUM PRESCHOOL,MULTNOMAH ,10,0
2015-2016,FLOYD LIGHT MS,MULTNOMAH ,796,40
2015-2016,FLYING HEARTS FAMILY CHILD CARE,MULTNOMAH ,10,3
2015-2016,FOREST PARK ES,MULTNOMAH ,488,18
2015-2016,FOUR CORNERS SCHOOL,MULTNOMAH ,51,1
2015-2016,FRANCISCAN MONTESSORI EARTH SCH,MULTNOMAH ,270,21
2015-2016,FRANKLIN HS,MULTNOMAH ,"1,521",80
2015-2016,FRENCH AMERICAN INT'L SCH,MULTNOMAH ,561,34
2015-2016,FRIENDLY HOUSE PRESCHOOL,MULTNOMAH ,27,1
2015-2016,FRUIT AND FLOWER CHILDCARE CENTER,MULTNOMAH ,131,15
2015-2016,GABRIEL PARK PRESCHOOL CO-OP,MULTNOMAH ,12,0
2015-2016,GARDEN'S NOISE PRESCHOOL THE,MULTNOMAH ,17,8
2015-2016,GATEWAY CHRISTIAN PRESCH/K,MULTNOMAH ,88,2
2015-2016,GEORGE MS,MULTNOMAH ,381,3
2015-2016,GETHSEMANE LUTHERAN PRESCHOOL,MULTNOMAH ,28,0
2015-2016,GILBERT HEIGHTS ES,MULTNOMAH ,602,29
2015-2016,GILBERT PARK ES,MULTNOMAH ,677,48
2015-2016,GIVING TREE PRESCHOOL LLC,MULTNOMAH ,26,6
2015-2016,GLENCOE ES,MULTNOMAH ,503,46
2015-2016,GLENFAIR ES,MULTNOMAH ,511,6
2015-2016,GOLDEN MONTESSORI SCHOOL,MULTNOMAH ,12,1
2015-2016,GORDON RUSSELL MS,MULTNOMAH ,771,22
2015-2016,GRACE LUTHERAN SCHOOL,MULTNOMAH ,102,13
2015-2016,GRANDMA'S PLACE - CENTER VILLAGE,MULTNOMAH ,31,2
2015-2016,GRANDMA'S PLACE - CLARK FAMILY CENTER,MULTNOMAH ,132,12
2015-2016,GRANDMA'S PLACE - ROSE QUARTER,MULTNOMAH ,46,0
2015-2016,GRANT HS,MULTNOMAH ,"1,476",80
2015-2016,GREATER PORTLAND CHRISTIAN ACADEMY,MULTNOMAH ,84,3
2015-2016,GRESHAM ARTHUR ACADEMY,MULTNOMAH ,174,21
2015-2016,GRESHAM CITY LEARNING CENTER INC.,MULTNOMAH ,66,1
2015-2016,GRESHAM COMMUNITY CHRISTIAN SCHOOL,MULTNOMAH ,16,1
2015-2016,GRESHAM HEIGHTS LEARNING CENTER,MULTNOMAH ,80,0
2015-2016,GRESHAM HIGH SCHOOL,MULTNOMAH ,"1,653",53
2015-2016,GRESHAM HS CHILD DEVELOPMENT CENTER,MULTNOMAH ,39,1
2015-2016,GRESHAM UNITED METHODIST PRESCHOOL,MULTNOMAH ,27,0
2015-2016,GROUT ES,MULTNOMAH ,390,25
2015-2016,GROWING GREAT LEARNERS,MULTNOMAH ,16,0
2015-2016,GROWING GREEN PANDA CHILD CARE & ENRICHMENT,MULTNOMAH ,10,0
2015-2016,GROWING SEEDS IN IRVINGTON,MULTNOMAH ,80,3
2015-2016,"GROWING SEEDS NORTH, INC.",MULTNOMAH ,154,15
2015-2016,GSR COMMUNITY SUPPORT,MULTNOMAH ,12,0
2015-2016,HALL ES,MULTNOMAH ,498,12
2015-2016,HANCOCK STREET PRESCHOOL,MULTNOMAH ,36,5
2015-2016,HANDS ON ART AND PLAY PRESCHOOL,MULTNOMAH ,35,4
2015-2016,HAPPY BEAR DAYCARE CENTER,MULTNOMAH ,10,0
2015-2016,HAPPY DAY CHRISTIAN CHILDCARE,MULTNOMAH ,58,2
2015-2016,HAPPY HEARTS AND HANDS,MULTNOMAH ,19,0
2015-2016,HAPPY VALLEY CHILDRENS GARDEN,MULTNOMAH ,24,0
2015-2016,HARMONY MONTESSORI SCHOOL,MULTNOMAH ,92,16
2015-2016,HARRISON PARK PK-8,MULTNOMAH ,731,18
2015-2016,HARTLEY ES,MULTNOMAH ,529,17
2015-2016,"HAVEN FOR ANGELS, LLC/ 1ST PREP DAYCARE",MULTNOMAH ,16,0
2015-2016,HAWTHORNE FAMILY PLAYSCHOOL,MULTNOMAH ,26,7
2015-2016,HAYHURST ES,MULTNOMAH ,260,12
2015-2016,HB LEE MS,MULTNOMAH ,841,21
2015-2016,HEART IN HAND PRESCHOOL,MULTNOMAH ,13,7
2015-2016,HEARTWOOD PRESCHOOL,MULTNOMAH ,21,6
2015-2016,HELEN GORDON CHILD DEVELOP CENTER @PSU,MULTNOMAH ,200,19
2015-2016,HELENSVIEW CHILD DEVELOPMENT CENTER,MULTNOMAH ,19,0
2015-2016,HELENSVIEW SCHOOL,MULTNOMAH ,162,3
2015-2016,HELPING HANDS FAMILY DAYCARE & PRESCHOOL INC,MULTNOMAH ,12,0
2015-2016,HIGHLAND ES,MULTNOMAH ,495,9
2015-2016,HILLSIDE COMMUNITY CENTER,MULTNOMAH ,47,3
2015-2016,HILLTOP PRESCHOOL & KINDERGARTEN,MULTNOMAH ,80,4
2015-2016,HOGAN CEDARS,MULTNOMAH ,579,12
2015-2016,HOLLYDALE ES,MULTNOMAH ,435,10
2015-2016,HOLY CROSS CATHOLIC SCHOOL,MULTNOMAH ,198,1
2015-2016,HOLY FAMILY CATHOLIC SCHOOL,MULTNOMAH ,227,7
2015-2016,HOLY REDEEMER,MULTNOMAH ,317,3
2015-2016,"HOMESTEAD SCHOOLHOUSE, LLC, THE",MULTNOMAH ,48,5
2015-2016,HOSFORD INTERNATIONAL MS,MULTNOMAH ,585,57
2015-2016,HUMMINGBIRD SCHOOL,MULTNOMAH ,23,2
2015-2016,IMAGINATION STATION DAYCARE CENTER,MULTNOMAH ,35,9
2015-2016,IMMANUEL LUTHERAN PRESCHOOL,MULTNOMAH ,10,0
2015-2016,"IN A CHILD'S PATH, ROSE CITY",MULTNOMAH ,17,0
2015-2016,"IN A CHILD'S PATH, THE BIG HOUSE",MULTNOMAH ,20,0
2015-2016,"IN A CHILD'S PATH,THE  LITTLE HOUSE",MULTNOMAH ,20,0
2015-2016,INSPIRED MINDS PREP,MULTNOMAH ,21,3
2015-2016,"INTERNATIONAL SCHOOL, THE",MULTNOMAH ,481,34
2015-2016,IRVINGTON EXTENDED DAY PROGRAM,MULTNOMAH ,48,3
2015-2016,IRVINGTON K-8,MULTNOMAH ,481,24
2015-2016,IRVINGTON PRESCHOOL,MULTNOMAH ,29,7
2015-2016,"IVY SCHOOL, THE",MULTNOMAH ,253,67
2015-2016,JACKSON MS,MULTNOMAH ,553,38
2015-2016,JAMES JOHN ES,MULTNOMAH ,443,14
2015-2016,JEFFERSON HS,MULTNOMAH ,484,23
2015-2016,JOY CENTRAL,MULTNOMAH ,170,9
2015-2016,JOYFUL NOISE - CITY KIDS CHILD DEVELOPMENT CENTER,MULTNOMAH ,79,0
2015-2016,JOYFUL NOISE - EAST,MULTNOMAH ,83,0
2015-2016,JOYFUL NOISE - METROKIDS CHILD DEVELOPMENT CENTER,MULTNOMAH ,77,5
2015-2016,JOYFUL NOISE CHILD DEVELOPMENT CENTER,MULTNOMAH ,111,9
2015-2016,JUMP FOR JOY CHRISTIAN PRESCHOOL,MULTNOMAH ,70,7
2015-2016,JUST LITTLE PEOPLE CHILDCARE,MULTNOMAH ,24,11
2015-2016,KAIEL MONTESSORI,MULTNOMAH ,20,0
2015-2016,KARI LU'S KANGAROO'S,MULTNOMAH ,12,0
2015-2016,KELLY CREEK ES,MULTNOMAH ,547,18
2015-2016,KELLY ES,MULTNOMAH ,624,88
2015-2016,KENILWORTH COMMUNITY PRESCHOOL,MULTNOMAH ,24,8
2015-2016,KIDS CORNER CHILD CARE,MULTNOMAH ,12,0
2015-2016,KINDERCARE LC #0902,MULTNOMAH ,51,0
2015-2016,KINDERCARE LC #0986,MULTNOMAH ,77,0
2015-2016,KINDERCARE LC #1702,MULTNOMAH ,92,3
2015-2016,KINDERCARE LC #7069,MULTNOMAH ,23,1
2015-2016,KING PK-8,MULTNOMAH ,380,20
2015-2016,KING'S KIDS CHRISTIAN PRESCHOOL,MULTNOMAH ,13,1
2015-2016,KNOVA REYNOLDS PUBLIC CHARTER,MULTNOMAH ,415,16
2015-2016,L' ETOILE FRENCH IMMERSION SCHOOL,MULTNOMAH ,70,13
2015-2016,LA PETITE ACADEMY,MULTNOMAH ,88,2
2015-2016,LAD N' LASSIE DAYCARE,MULTNOMAH ,23,0
2015-2016,LANE MS,MULTNOMAH ,464,20
2015-2016,LAURELHURST K-8,MULTNOMAH ,679,15
2015-2016,LAURELHURST MONTESSORI,MULTNOMAH ,10,1
2015-2016,LE MONDE FRENCH IMMERSION,MULTNOMAH ,173,16
2015-2016,LEE K-8,MULTNOMAH ,435,8
2015-2016,LEE OWEN STONE CO-OP PRESCHOOL,MULTNOMAH ,31,2
2015-2016,LENT K-8,MULTNOMAH ,581,10
2015-2016,LEP CHARTER HS,MULTNOMAH ,220,13
2015-2016,LEWIS ES,MULTNOMAH ,379,52
2015-2016,LEWIS/CLARK MONTESSORI CHARTER,MULTNOMAH ,272,31
2015-2016,LIFEWORKS NW- CHILDREN'S RELIEF NURSERY,MULTNOMAH ,122,2
2015-2016,LINCOLN HS,MULTNOMAH ,"1,585",61
2015-2016,LINCOLN PARK ES,MULTNOMAH ,657,36
2015-2016,LITTLE ARTISTS PRESCHOOL - MULTNOMAH ART CENTER,MULTNOMAH ,52,10
2015-2016,LITTLE FRIENDS CHILDCARE,MULTNOMAH ,19,0
2015-2016,LITTLE FRIENDS DAY SCHOOL,MULTNOMAH ,19,0
2015-2016,LITTLE GENIUS MONTESSORI (THE),MULTNOMAH ,43,2
2015-2016,LITTLE GREEN SCHOOLHOUSE,MULTNOMAH ,12,2
2015-2016,LITTLE HANDS GARDEN SCHOOL,MULTNOMAH ,14,7
2015-2016,LITTLE OLIVE TREE PLAYSCHOOL,MULTNOMAH ,14,0
2015-2016,LITTLE PANDAS PLAYSCHOOL,MULTNOMAH ,10,1
2015-2016,LITTLE SAPLINGS PLAYSCHOOL,MULTNOMAH ,11,4
2015-2016,LITTLE SCHOLARS ACADEMY,MULTNOMAH ,24,0
2015-2016,LITTLE VIKINGS,MULTNOMAH ,99,2
2015-2016,LITTLE VILLAGE MONTESSORI,MULTNOMAH ,20,2
2015-2016,LLEWELLYN ES,MULTNOMAH ,530,37
2015-2016,LOVE BUGS CHILD CARE,MULTNOMAH ,22,2
2015-2016,"LUV'S PLACE, LLC",MULTNOMAH ,11,0
2015-2016,LYNCH MEADOWS ES,MULTNOMAH ,511,24
2015-2016,LYNCH VIEW ES,MULTNOMAH ,454,25
2015-2016,LYNCH WOOD ES,MULTNOMAH ,533,16
2015-2016,MA'AYAN  HA TORAH,MULTNOMAH ,57,7
2015-2016,MADELEINE SCHOOL,MULTNOMAH ,260,3
2015-2016,MADISON HS,MULTNOMAH ,"1,054",35
2015-2016,MAIMONIDES JEWISH DAY SCHOOL/THE GAN PRESCHOOL,MULTNOMAH ,67,9
2015-2016,MAPLEWOOD ES,MULTNOMAH ,323,24
2015-2016,MARGARET SCOTT ES,MULTNOMAH ,496,12
2015-2016,MARKHAM ES,MULTNOMAH ,382,18
2015-2016,MARTI'S PLACE,MULTNOMAH ,15,0
2015-2016,MARYSVILLE K-8,MULTNOMAH ,407,17
2015-2016,MATT DISHMAN COMMUNITY CENTER PRESCHOOL,MULTNOMAH ,25,1
2015-2016,ME WEB ACADEMY HIGH SCHOOL,MULTNOMAH ,364,16
2015-2016,ME WEB ACADEMY MIDDLE SCHOOL,MULTNOMAH ,50,5
2015-2016,MECP- EAST/WEST,MULTNOMAH ,434,7
2015-2016,MELODY'S MUNCHKINS,MULTNOMAH ,17,1
2015-2016,MENLO PARK ES,MULTNOMAH ,577,22
2015-2016,MERCY CARE,MULTNOMAH ,12,0
2015-2016,MERRY MONTESSORI,MULTNOMAH ,21,4
2015-2016,MESD FLS WHEATLEY SCHOOL,MULTNOMAH ,34,2
2015-2016,METROPOLITAN LEARNING CENTER K-8,MULTNOMAH ,309,73
2015-2016,METROPOLITAN LEARNING CTR HS,MULTNOMAH ,130,18
2015-2016,MILL PARK ES,MULTNOMAH ,609,42
2015-2016,MONTAVILLA PRESCHOOL/COMMUNITY CENTER,MULTNOMAH ,73,4
2015-2016,MONTESSORI CHILDREN'S HOUSE,MULTNOMAH ,59,6
2015-2016,"MONTESSORI HOUSE OF ST JOHNS, THE",MULTNOMAH ,67,5
2015-2016,MONTESSORI OF ALAMEDA,MULTNOMAH ,124,7
2015-2016,MORNINGSTAR MONTESSORI HOUSE OF CHILDREN,MULTNOMAH ,26,0
2015-2016,MORRISON CENTER COUNTERPOINT,MULTNOMAH ,11,0
2015-2016,MORRISON HAND IN HAND,MULTNOMAH ,22,0
2015-2016,MOTHER EARTH SCHOOL,MULTNOMAH ,26,23
2015-2016,MRS. TEAPOT'S TINY TOTS,MULTNOMAH ,18,3
2015-2016,MT CARMEL PRESCHOOL AND DAYCARE,MULTNOMAH ,35,2
2015-2016,MT HOOD COMMUNITY COLLEGE HEADSTART,MULTNOMAH ,"1,131",8
2015-2016,MT SCOTT COMMUNITY CENTER PRE-SCHOOL,MULTNOMAH ,42,0
2015-2016,MT SCOTT JUBILEE,MULTNOMAH ,17,1
2015-2016,MT SCOTT PARK LEARNING CTR,MULTNOMAH ,149,8
2015-2016,MT TABOR COOPERATIVE PRESCH,MULTNOMAH ,26,2
2015-2016,MT TABOR MS,MULTNOMAH ,659,64
2015-2016,MULTISENSORY LEARNING ACADEMY,MULTNOMAH ,317,14
2015-2016,MULTNOMAH PLAYSCHOOL,MULTNOMAH ,38,4
2015-2016,MY BUNDLE OF JOY,MULTNOMAH ,55,0
2015-2016,"MY LITTLE WAITING ROOM AT PROVIDENCE PDX, VOA",MULTNOMAH ,60,0
2015-2016,NATURE'S WAY CHILDCARE,MULTNOMAH ,14,4
2015-2016,NAYA EARLY COLLEGE ACADEMY,MULTNOMAH ,76,1
2015-2016,NEIGHBORHOOD HOUSE OPK & EOPK,MULTNOMAH ,177,10
2015-2016,"NEST PLAYSCHOOL, THE",MULTNOMAH ,10,8
2015-2016,NEVEH SHALOM FOUNDATION SCHOOL,MULTNOMAH ,48,2
2015-2016,NEW AVENUES,MULTNOMAH ,14,0
2015-2016,NEW DAY SCHOOL,MULTNOMAH ,76,26
2015-2016,NEW FARM MONTESSORI,MULTNOMAH ,14,2
2015-2016,NEXT GENERATION KIDS,MULTNOMAH ,30,0
2015-2016,NICKERSON ADT,MULTNOMAH ,12,0
2015-2016,NORTH GRESHAM ES,MULTNOMAH ,556,27
2015-2016,NORTH PORTLAND MONTESSORI SCHOOL,MULTNOMAH ,15,2
2015-2016,NORTHEAST COMMUNITY CHILD DEV. CTR,MULTNOMAH ,34,1
2015-2016,NORTHWEST ACADEMY,MULTNOMAH ,193,15
2015-2016,ODALIS DAYCARE,MULTNOMAH ,12,0
2015-2016,ODYSSEY PROGRAM K-8,MULTNOMAH ,226,33
2015-2016,OLIVER ELEMENTARY,MULTNOMAH ,399,10
2015-2016,ONE TRIBE HOME SCHOOL,MULTNOMAH ,15,0
2015-2016,OPAL BEGINNING SCHOOL,MULTNOMAH ,37,4
2015-2016,OPAL CHARTER SCHOOL,MULTNOMAH ,88,24
2015-2016,OPEN DOOR CHRISTIAN ACADEMY,MULTNOMAH ,272,59
2015-2016,OPEN MEADOW ALTERNATIVE HIGH SCHOOL,MULTNOMAH ,41,0
2015-2016,OPEN MEADOW MIDDLE SCHOOL,MULTNOMAH ,54,0
2015-2016,OPEN MINDS PRESCHOOL,MULTNOMAH ,18,1
2015-2016,OPEN SCHOOL,MULTNOMAH ,43,1
2015-2016,OREGON CHILD DEVELOPMENT COALITION,MULTNOMAH ,158,0
2015-2016,OREGON OUTREACH ROSI HINTON HS,MULTNOMAH ,62,1
2015-2016,OUR PLACE PRESCHOOL & CHILDCARE,MULTNOMAH ,16,2
2015-2016,OVERLOOK COLLABORATIVE PRESCHOOL,MULTNOMAH ,15,2
2015-2016,OWL AND THE DOVE MONTESSORI,MULTNOMAH ,18,1
2015-2016,PACIFIC CREST COMM SCH,MULTNOMAH ,95,9
2015-2016,PANDA BABIES,MULTNOMAH ,11,1
2015-2016,PARKLANE ELEMENTARY,MULTNOMAH ,424,20
2015-2016,PARKROSE HS,MULTNOMAH ,965,19
2015-2016,PARKROSE MS,MULTNOMAH ,748,12
2015-2016,PARRY CENTER,MULTNOMAH ,58,0
2015-2016,PARRY CENTER SCIP,MULTNOMAH ,12,0
2015-2016,PCC CHILD DEVELOPMENT CENTER (SYLVANIA),MULTNOMAH ,41,7
2015-2016,"PEANUT GALLERY, THE",MULTNOMAH ,32,3
2015-2016,PENINSULA CHILDREN'S CENTER,MULTNOMAH ,112,5
2015-2016,PENINSULA K-8,MULTNOMAH ,389,10
2015-2016,PENINSULA PARK COMMUNITY CENTER PRESCHOOL,MULTNOMAH ,52,1
2015-2016,PETIT POIS DAYCARE,MULTNOMAH ,14,0
2015-2016,PETUNIA PRESCHOOL,MULTNOMAH ,17,2
2015-2016,PHONICS PHACTORY CHRISTIAN SCHOOL,MULTNOMAH ,305,23
2015-2016,PIONEER 5-8 @ YOUNGSON,MULTNOMAH ,35,2
2015-2016,PIONEER ANNEX 9-12,MULTNOMAH ,44,1
2015-2016,PIONEER K-6 @ HOLLADAY CENTER,MULTNOMAH ,55,2
2015-2016,PIPSTER PREP,MULTNOMAH ,37,0
2015-2016,PIXIE CHILD CARE INC,MULTNOMAH ,37,0
2015-2016,"PLAY PLACE, THE",MULTNOMAH ,15,0
2015-2016,PLAY SCHOOL DAYCARE,MULTNOMAH ,12,1
2015-2016,PLEASANT VALLEY ES,MULTNOMAH ,421,47
2015-2016,POCKETS FULL OF POSIES,MULTNOMAH ,32,0
2015-2016,PORTLAND ADVENTIST ACADEMY,MULTNOMAH ,260,13
2015-2016,PORTLAND ADVENTIST ELEMENTARY SCHOOL,MULTNOMAH ,206,16
2015-2016,PORTLAND CHRISTIAN EARLY CHILDHOOD EDUCATION,MULTNOMAH ,129,6
2015-2016,PORTLAND CHRISTIAN ELEMENTARY SCHOOL,MULTNOMAH ,244,17
2015-2016,PORTLAND CHRISTIAN JR/SR HS,MULTNOMAH ,245,12
2015-2016,PORTLAND CIRCLE OF FRIENDS,MULTNOMAH ,27,1
2015-2016,PORTLAND EVENING SCHOLARS,MULTNOMAH ,11,0
