COUNTY,BEDS Code,SCHOOL_NAME,GRADE_ORG_DESC,AFFILIATION,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,UGE,UGS,KFULL,KHALF,PK,Enrollment
LEWIS,230901657826,CRYSTAL LIGHT MENNONITE SCHOOL,Elementary,MENNONITES,3,3,3,6,4,5,3,4,5,0,0,0,0,0,0,0,0,36
LEWIS,230901658822,HOPE MENNONITE SCHOOL,Elementary,MENNONITES,2,3,3,2,2,3,2,3,1,0,0,0,0,0,0,0,0,21
LEWIS,231301658564,RIVER VALLEY MENNONITE SCHOOL,K-12 School,MENNONITES,4,5,4,5,9,6,9,6,6,5,7,5,0,0,4,0,0,75
LIVINGSTON,240101166156,SAINT AGNES PAROCHIAL SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,13,11,13,16,13,10,0,0,0,0,0,0,0,0,11,0,31,118
LIVINGSTON,240401809547,GENESEE COUNTRY CHRISTIAN SCHOOL,Elementary,CHRISTIAN FUNDAMENTALIST,4,9,3,5,3,6,2,3,0,0,0,0,0,0,0,7,13,55
MADISON,250701808879,NEW LIFE CHRISTIAN SCHOOL,K-12 School,CHRISTIAN FUNDAMENTALIST,4,6,6,6,4,4,5,6,3,5,7,7,0,0,8,0,9,80
MADISON,251400185522,SAINT PATRICK SCHOOL,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,15,15,15,17,11,11,0,0,0,0,0,0,0,0,20,0,23,127
MADISON,251400189608,HOLY CROSS ACADEMY,Junior Senior School,ROMAN CATHOLIC - SYRACUSE DIOCESE,0,0,0,0,0,0,10,15,9,13,12,13,0,0,0,0,0,72
MONROE,260101166208,SETON CATHOLIC SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,34,34,47,47,40,40,0,0,0,0,0,0,0,0,46,0,81,369
MONROE,260101166230,SIENA CATHOLIC ACADEMY,Junior High School,ROMAN CATHOLIC - ROCHESTER DIOCESE,0,0,0,0,0,0,92,123,0,0,0,0,0,0,0,0,0,215
MONROE,260101166603,MCQUAID JESUIT SCHOOL,Junior Senior School,ROMAN CATHOLIC - ROCHESTER DIOCESE,0,0,0,0,0,59,101,104,174,157,154,160,0,0,0,0,0,909
MONROE,260101226476,HILLEL COMMUNITY DAY SCHOOL,Elementary,JEWISH,7,7,3,4,8,1,3,7,0,0,0,0,0,0,13,0,0,53
MONROE,260101625038,WESTFALL ACADEMY (ICR),Elementary,ISLAMIC,16,10,12,8,5,8,0,0,0,0,0,0,0,0,22,0,21,102
MONROE,260101809946,DESTINY CHRISTIAN SCHOOL AND PRESCHOOL,K-12 School,CHRISTIAN FUNDAMENTALIST,9,8,12,8,5,8,5,4,6,7,3,3,0,0,17,0,10,105
MONROE,260101995574,MONTESSORI SCHOOL OF ROCHESTER,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13
MONROE,260101996451,HARLEY SCHOOL (THE),K-12 School,INDEPENDENT,33,29,37,37,30,44,39,39,46,47,43,44,0,0,32,0,31,531
MONROE,260401166221,SAINT PIUS X SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,36,33,27,30,27,32,0,0,0,0,0,0,0,0,30,0,28,243
