County,BEDS Code,School Name,Grade Org,Affiliation,GR1,GR2,GR3,GR4,GR5,GR6,UGE,GR7,GR8,GR9,GR10,GR11,GR12,UGS,FULLK,HALFK,PREK,Enrollment
CHAUTAUQUA,60503658575,Burdick Road Amish School,Elementary,MENNONITES,4,9,3,2,3,3,0,2,2,0,0,0,0,0,0,0,0,28
CHAUTAUQUA,60503659689,Pleasant View School,Elementary,MENNONITES,3,3,3,3,2,3,0,2,3,0,0,0,0,0,0,0,0,22
CHAUTAUQUA,60601658556,Flat Iron School,Elementary,MENNONITES,3,7,4,2,3,2,0,2,2,0,0,0,0,0,0,0,0,25
CHAUTAUQUA,60601659292,Caldwell School,Elementary,MENNONITES,3,6,4,2,4,4,0,3,3,0,0,0,0,0,0,0,0,29
CHAUTAUQUA,60601659293,Pine View School,Elementary,MENNONITES,2,2,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,16
CHAUTAUQUA,60601659294,Deer Run School,Elementary,MENNONITES,3,4,3,2,2,2,0,2,2,0,0,0,0,0,0,0,0,20
CHAUTAUQUA,60601659295,Pleasant View School,Elementary,MENNONITES,3,4,2,2,2,3,0,2,2,0,0,0,0,0,0,0,0,20
CHAUTAUQUA,60601659296,Little Run School,Elementary,MENNONITES,3,5,5,3,3,4,0,2,2,0,0,0,0,0,0,0,0,27
CHAUTAUQUA,60601659297,Cherry Hill School,Elementary,MENNONITES,3,2,2,2,2,2,0,2,1,0,0,0,0,0,0,0,0,16
CHAUTAUQUA,60601659681,West Road School,Elementary,MENNONITES,3,3,2,2,4,2,0,2,2,0,0,0,0,0,0,0,0,20
CHAUTAUQUA,60701655117,Maple Lane School,Elementary,MENNONITES,2,3,2,3,2,3,0,4,4,0,0,0,0,0,0,0,0,23
CHAUTAUQUA,60701656109,Hidden Valley School,Elementary,MENNONITES,3,1,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,14
CHAUTAUQUA,60701659831,Pineview School,Elementary,MENNONITES,1,2,1,5,0,2,0,2,2,0,0,0,0,0,0,0,0,15
CHAUTAUQUA,60701659832,Clover Hill School,Elementary,MENNONITES,3,2,3,0,3,3,0,3,4,0,0,0,0,0,0,0,0,21
CHAUTAUQUA,60800139173,Northern Chautauqua Catholic School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,6,12,13,14,15,9,0,8,10,0,0,0,0,0,17,0,25,129
CHAUTAUQUA,60800808602,Central Christian Academy,Junior Senior School,CHRISTIAN FUNDAMENTALIST,9,5,6,2,3,2,0,2,0,1,2,0,1,0,6,0,29,68
CHAUTAUQUA,61700308038,Gustavus Adolphus Child & Family Services,Junior Senior School,LUTHERAN,0,0,0,5,3,3,0,3,4,14,17,7,7,0,0,0,0,63
CHAUTAUQUA,62601658578,Lake View School,Elementary,MENNONITES,6,3,8,4,7,5,0,4,6,0,0,0,0,0,0,0,0,43
CHAUTAUQUA,62601658579,Valley View Amish School,Elementary,MENNONITES,3,3,4,5,2,4,0,2,2,0,0,0,0,0,0,0,0,25
CHAUTAUQUA,62601659163,Clearview School,Elementary,MENNONITES,2,3,4,5,6,5,0,5,4,0,0,0,0,0,0,0,0,34
CHEMUNG,70600166199,Holy Family Elementary School,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,32,21,27,39,18,20,0,0,0,0,0,0,0,0,30,0,26,213
CHEMUNG,70600166568,Notre Dame High School,Junior Senior School,ROMAN CATHOLIC - ROCHESTER DIOCESE,0,0,0,0,0,0,0,50,54,66,65,71,59,0,0,0,0,365
CHEMUNG,70600445994,Master Vineyard Mission Academy (The),Junior Senior School,SEVENTH-DAY ADVENTIST,0,3,1,4,1,2,0,3,1,2,4,3,0,1,0,1,0,26
CHEMUNG,70901166200,Saint Mary Our Mother School,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,12,16,18,17,15,19,0,0,0,0,0,0,0,0,12,0,37,146
CHEMUNG,70901806239,Foundations Christian School,Elementary,CHRISTIAN FUNDAMENTALIST,0,5,3,3,2,0,0,0,0,0,0,0,0,0,3,0,6,22
CHEMUNG,70901855968,Horseheads Christian School,Elementary,BAPTIST,8,9,9,13,12,12,0,0,0,0,0,0,0,0,7,0,0,70
CHEMUNG,70901858020,Twin Tiers Christian Academy,Junior Senior School,BAPTIST,0,0,0,0,0,0,0,19,26,23,27,19,18,0,0,0,0,132
CHEMUNG,70901999027,Chemung Valley Montessori School,Elementary,INDEPENDENT,10,14,11,14,15,6,0,4,4,0,0,0,0,0,15,0,10,103
CHENANGO,81200185526,Holy Family School,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,11,10,10,13,7,4,2,0,0,0,0,0,0,0,15,0,27,99
CHENANGO,81200808719,Valley Heights Christian Academy,K-12 School,CHRISTIAN FUNDAMENTALIST,3,1,1,8,4,5,0,4,7,7,11,5,3,0,2,0,4,65
CLINTON,90201806219,Adirondack Christian School,Junior Senior School,CHRISTIAN FUNDAMENTALIST,4,0,2,1,4,0,0,0,2,1,0,1,4,0,0,0,2,21
CLINTON,91101159175,Seton Catholic Central High School,Junior Senior School,ROMAN CATHOLIC - OGDENSBURG DIOCESE,0,0,0,0,0,25,0,20,19,21,29,24,30,0,0,0,0,168
CLINTON,91101858426,Lake Shore Christian School,Junior Senior School,BAPTIST,2,2,2,1,4,0,0,1,1,2,3,2,0,0,0,0,6,26
CLINTON,91200155496,Seton Academy,Elementary,ROMAN CATHOLIC - OGDENSBURG DIOCESE,24,27,24,28,29,0,0,0,0,0,0,0,0,0,33,0,27,192
COLUMBIA,1.00502E+11,Hawthorne Valley School,K-12 School,INDEPENDENT,15,22,20,18,18,19,1,25,4,19,14,13,15,0,6,25,13,247
COLUMBIA,1.01602E+11,Darrow School,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,0,14,27,37,28,0,0,0,0,106
COLUMBIA,1.01602E+11,Mountain Road School,Elementary,INDEPENDENT,7,4,5,4,2,3,0,1,4,0,0,0,0,0,5,0,12,47
CORTLAND,1.102E+11,Saint Mary'S School,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,12,17,18,14,16,14,0,0,0,0,0,0,0,0,24,0,30,145
CORTLAND,1.10201E+11,Cortland Christian Academy,K-12 School,CHRISTIAN FUNDAMENTALIST,11,8,9,11,12,12,0,10,11,12,11,12,11,0,14,0,10,154
CORTLAND,1.10201E+11,Victory Christian Academy,Junior Senior School,CHRISTIAN FUNDAMENTALIST,2,3,2,1,1,1,0,1,0,0,1,0,1,0,0,0,0,13
DELAWARE,1.20502E+11,White Lotus School,Junior Senior School,INDEPENDENT,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4
DELAWARE,1.21902E+11,Arc Of Delaware County (The),Pre-K Only,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
DUTCHESS,1.30201E+11,New Covenant Learning Center,Elementary,CHRISTIAN FUNDAMENTALIST,2,1,6,6,3,0,0,0,0,0,0,0,0,0,12,0,7,37
DUTCHESS,1.30201E+11,Hudson Hills Academy-Beacon Campus,Elementary,INDEPENDENT,2,2,1,0,0,0,0,0,0,0,0,0,0,0,13,0,35,53
DUTCHESS,1.30801E+11,Saint Peter School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,16,18,21,20,23,19,0,14,18,0,0,0,0,0,12,0,104,265
DUTCHESS,1.30802E+11,Millennial Kingdom Family School,Elementary,CHRISTIAN FUNDAMENTALIST,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,4
DUTCHESS,1.30802E+11,"Kinderhaus Montessori School Of Hyde Park, Inc",Elementary,INDEPENDENT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,13
DUTCHESS,1.30802E+11,Anderson Center For Autism,Special School,INDEPENDENT,0,0,0,0,0,0,13,0,0,0,0,0,0,100,0,0,0,113
DUTCHESS,1.30802E+11,"Abilities First, Inc",Special School,INDEPENDENT,0,0,0,0,0,0,61,0,0,0,0,0,0,51,0,0,0,112
DUTCHESS,1.31102E+11,Millbrook School,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,0,56,78,95,89,0,0,0,0,318
DUTCHESS,1.31102E+11,Maplebrook School,Junior Senior School,INDEPENDENT,0,0,0,0,0,0,0,0,3,8,10,13,17,0,0,0,0,51
DUTCHESS,1.31102E+11,Kildonan School,Junior Senior School,INDEPENDENT,0,1,1,7,4,4,0,4,9,14,4,15,11,0,0,0,0,74
DUTCHESS,1.31202E+11,Trinity Pawling School,Junior Senior School,EPISCOPAL,0,0,0,0,0,0,0,0,12,37,47,80,101,0,0,0,0,277
DUTCHESS,1.31202E+11,Duane Lake Academy,Junior Senior School,INDEPENDENT,0,1,0,1,1,0,0,1,0,0,1,2,1,0,0,0,1,9
DUTCHESS,1.31202E+11,Mizzentop Day School,Elementary,INDEPENDENT,7,9,8,12,9,9,0,10,14,0,0,0,0,0,9,0,20,107
DUTCHESS,1.315E+11,Poughkeepsie Sda Elementary School,Elementary,SEVENTH-DAY ADVENTIST,5,3,5,1,4,4,0,3,0,0,0,0,0,0,4,0,17,46
DUTCHESS,1.31501E+11,Tabernacle Christian Academy,K-12 School,BAPTIST,10,8,8,8,7,14,0,6,7,13,11,17,11,0,2,4,0,126
DUTCHESS,1.31501E+11,Wimpfheimer Nursery School,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,22
DUTCHESS,1.31501E+11,Ridge School (The),Junior Senior School,INDEPENDENT,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,4
DUTCHESS,1.31601E+11,Holy Trinity School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,31,33,29,22,27,15,0,27,21,0,0,0,0,0,37,0,76,318
DUTCHESS,1.31601E+11,Saint Martin De Porres School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,32,35,35,62,31,50,0,37,38,0,0,0,0,0,34,0,72,426
