County,BEDS Code,School Name,Grade Org Desc,Affiliation,GR 1,GR 2,GR 3,GR 4,GR 5,GR 6,GR 7,GR 8,GR 9,GR 10,GR 11,GR 12,UGE,UGS,FULLK,HALFK,PREK,Enrollment
CHAUTAUQUA,60601659292,Caldwell School,Elementary,MENNONITES,4,2,3,4,2,3,3,3,0,0,0,0,0,0,0,0,0,24
CHAUTAUQUA,60601659293,Pine View School,Elementary,MENNONITES,3,3,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,19
CHAUTAUQUA,60601659294,Deer Run School,Elementary,MENNONITES,5,2,3,2,2,2,3,2,0,0,0,0,0,0,0,0,0,21
CHAUTAUQUA,60601659295,Pleasant View School,Elementary,MENNONITES,2,2,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,17
CHAUTAUQUA,60601659296,Little Run School,Elementary,MENNONITES,5,3,3,4,2,2,2,3,0,0,0,0,0,0,0,0,0,24
CHAUTAUQUA,60601659297,Cherry Hill School,Elementary,MENNONITES,5,2,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,20
CHAUTAUQUA,60601659681,West Road School,Elementary,MENNONITES,2,4,7,2,2,3,3,3,0,0,0,0,0,0,0,0,0,26
CHAUTAUQUA,60701655117,Maple Lane School,Elementary,MENNONITES,4,3,3,4,3,2,3,2,0,0,0,0,0,0,0,0,0,24
CHAUTAUQUA,60701656109,Hidden Valley School,Elementary,MENNONITES,3,3,2,3,2,2,1,1,0,0,0,0,0,0,0,0,0,17
CHAUTAUQUA,60701659831,Pineview School,Elementary,MENNONITES,3,2,4,2,3,2,2,3,0,0,0,0,0,0,0,0,0,21
CHAUTAUQUA,60701659832,Clover Hill School,Elementary,MENNONITES,3,2,4,2,3,2,2,3,0,0,0,0,0,0,0,0,0,21
CHAUTAUQUA,60800139173,Northern Chautauqua Catholic School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,13,16,17,12,9,14,16,14,0,0,0,0,0,0,14,0,26,151
CHAUTAUQUA,60800808602,Central Christian Academy,Junior Senior School,CHRISTIAN FUNDAMENTALIST,6,6,2,4,1,0,1,2,0,1,2,0,0,0,13,0,17,55
CHAUTAUQUA,61700308038,Gustavus Adolphus Child & Family Services,Junior Senior School,LUTHERAN,0,3,0,4,4,4,5,11,18,17,8,7,0,0,0,0,0,81
CHAUTAUQUA,62601658578,Lake View School,Elementary,MENNONITES,2,4,6,4,2,5,3,5,0,0,0,0,0,0,0,0,0,31
CHAUTAUQUA,62601658579,Valley View Amish School,Elementary,MENNONITES,4,2,5,3,2,1,5,3,0,0,0,0,0,0,0,0,0,25
CHAUTAUQUA,62601659163,Clearview School,Elementary,MENNONITES,6,4,8,4,7,7,4,7,0,0,0,0,0,0,0,0,0,47
CHEMUNG,70600166199,Holy Family Elementary School,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,36,43,23,28,28,23,0,0,0,0,0,0,0,0,25,0,45,251
CHEMUNG,70600166568,Notre Dame High School,Junior Senior School,ROMAN CATHOLIC - ROCHESTER DIOCESE,0,0,0,0,0,0,44,53,79,66,59,56,0,0,0,0,0,357
CHEMUNG,70600807659,Elmira Christian Academy,K-12 School,CHRISTIAN FUNDAMENTALIST,7,8,8,8,5,8,4,6,3,5,3,4,0,0,3,0,0,72
CHEMUNG,70901166200,Saint Mary Our Mother School,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,14,19,17,17,19,17,0,0,0,0,0,0,0,0,17,0,20,140
CHEMUNG,70901855968,Horseheads Christian School,Elementary,BAPTIST,9,15,14,7,9,15,0,0,0,0,0,0,0,0,10,0,0,79
CHEMUNG,70901858020,Twin Tiers Christian Academy,Junior Senior School,BAPTIST,0,0,0,0,0,0,9,13,17,19,15,13,0,0,0,0,0,86
CHEMUNG,70901999027,Chemung Valley Montessori School,Elementary,INDEPENDENT,12,15,15,18,9,5,6,2,0,0,0,0,0,0,22,0,21,125
CHENANGO,81200185526,Holy Family School,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,26,13,9,21,11,15,10,5,0,0,0,0,0,0,11,0,17,138
CHENANGO,81200808719,Valley Heights Christian Academy,K-12 School,CHRISTIAN FUNDAMENTALIST,3,5,4,5,4,7,6,10,9,3,4,3,0,0,3,0,4,70
CLINTON,91101159175,Seton Catholic Central High School,Junior Senior School,ROMAN CATHOLIC - OGDENSBURG DIOCESE,0,0,0,0,0,0,19,22,23,29,24,19,0,0,0,0,0,136
CLINTON,91101858426,Lake Shore Christian School,Junior Senior School,BAPTIST,2,2,3,1,1,1,2,3,2,0,0,2,0,0,2,0,2,23
CLINTON,91200155496,Seton Academy,Elementary,ROMAN CATHOLIC - OGDENSBURG DIOCESE,29,29,26,31,30,22,0,0,0,0,0,0,0,0,28,0,20,215
CLINTON,91200808631,New Life Christian Academy,Junior Senior School,CHRISTIAN FUNDAMENTALIST,0,1,0,3,1,1,1,2,2,1,2,0,0,0,0,0,0,14
COLUMBIA,100501997955,Hawthorne Valley School,K-12 School,INDEPENDENT,16,22,23,20,22,11,28,15,16,15,21,20,0,0,0,35,13,277
COLUMBIA,101601996549,Darrow School,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,20,23,29,36,0,0,0,0,0,108
