Year,Region,County Name,Gender Name,Enrollment by Gender
2012-2013,13,COMAL COUNTY,Male,14036
2012-2013,14,COMANCHE COUNTY,Female,1085
2012-2013,14,COMANCHE COUNTY,Male,1141
2012-2013,15,CONCHO COUNTY,Female,258
2012-2013,15,CONCHO COUNTY,Male,228
2012-2013,11,COOKE COUNTY,Female,3036
2012-2013,11,COOKE COUNTY,Male,3183
2012-2013,12,CORYELL COUNTY,Female,5759
2012-2013,12,CORYELL COUNTY,Male,6070
2012-2013,17,COTTLE COUNTY,Female,97
2012-2013,17,COTTLE COUNTY,Male,123
2012-2013,18,CRANE COUNTY,Female,517
2012-2013,18,CRANE COUNTY,Male,554
2012-2013,15,CROCKETT COUNTY,Female,407
2012-2013,15,CROCKETT COUNTY,Male,394
2012-2013,17,CROSBY COUNTY,Female,633
2012-2013,17,CROSBY COUNTY,Male,632
2012-2013,18,CULBERSON COUNTY,Female,216
2012-2013,18,CULBERSON COUNTY,Male,216
2012-2013,16,DALLAM COUNTY,Female,953
2012-2013,16,DALLAM COUNTY,Male,951
2012-2013,10,DALLAS COUNTY,Female,231590
2012-2013,10,DALLAS COUNTY,Male,242645
2012-2013,17,DAWSON COUNTY,Female,1233
2012-2013,17,DAWSON COUNTY,Male,1359
2012-2013,16,DEAF SMITH COUNTY,Female,2201
2012-2013,16,DEAF SMITH COUNTY,Male,2227
2012-2013,8,DELTA COUNTY,Female,476
2012-2013,8,DELTA COUNTY,Male,493
2012-2013,AL,DENTON COUNTY/ALL,Female,57440
2012-2013,AL,DENTON COUNTY/ALL,Male,61320
2012-2013,3,DEWITT COUNTY,Female,2199
2012-2013,3,DEWITT COUNTY,Male,2369
2012-2013,17,DICKENS COUNTY,Female,199
2012-2013,17,DICKENS COUNTY,Male,204
2012-2013,20,DIMMIT COUNTY,Female,1241
2012-2013,20,DIMMIT COUNTY,Male,1203
2012-2013,16,DONLEY COUNTY,Female,296
2012-2013,16,DONLEY COUNTY,Male,292
2012-2013,2,DUVAL COUNTY,Female,1242
2012-2013,2,DUVAL COUNTY,Male,1299
2012-2013,14,EASTLAND COUNTY,Female,1466
2012-2013,14,EASTLAND COUNTY,Male,1540
2012-2013,18,ECTOR COUNTY,Female,15032
2012-2013,18,ECTOR COUNTY,Male,15646
2012-2013,15,EDWARDS COUNTY,Female,258
2012-2013,15,EDWARDS COUNTY,Male,269
2012-2013,19,EL PASO COUNTY,Female,88731
2012-2013,19,EL PASO COUNTY,Male,93371
2012-2013,10,ELLIS COUNTY,Female,15811
2012-2013,10,ELLIS COUNTY,Male,16889
2012-2013,11,ERATH COUNTY,Female,4925
2012-2013,11,ERATH COUNTY,Male,4700
2012-2013,12,FALLS COUNTY,Female,1116
2012-2013,12,FALLS COUNTY,Male,1238
2012-2013,10,FANNIN COUNTY,Female,2563
2012-2013,10,FANNIN COUNTY,Male,2770
2012-2013,13,FAYETTE COUNTY,Female,1843
2012-2013,13,FAYETTE COUNTY,Male,1855
2012-2013,14,FISHER COUNTY,Female,257
2012-2013,14,FISHER COUNTY,Male,295
2012-2013,17,FLOYD COUNTY,Female,622
2012-2013,17,FLOYD COUNTY,Male,700
2012-2013,9,FOARD COUNTY,Female,104
2012-2013,9,FOARD COUNTY,Male,115
2012-2013,4,FORT BEND COUNTY,Female,49219
2012-2013,4,FORT BEND COUNTY,Male,52638
2012-2013,8,FRANKLIN COUNTY,Female,796
2012-2013,8,FRANKLIN COUNTY,Male,823
2012-2013,12,FREESTONE COUNTY,Female,1748
2012-2013,12,FREESTONE COUNTY,Male,1895
2012-2013,20,FRIO COUNTY,Female,1534
2012-2013,20,FRIO COUNTY,Male,1697
2012-2013,17,GAINES COUNTY,Female,1644
2012-2013,17,GAINES COUNTY,Male,1713
2012-2013,AL,GALVESTON COUNTY/ALL,Female,38378
2012-2013,AL,GALVESTON COUNTY/ALL,Male,40545
2012-2013,17,GARZA COUNTY,Female,487
2012-2013,17,GARZA COUNTY,Male,505
2012-2013,13,GILLESPIE COUNTY,Female,1738
2012-2013,13,GILLESPIE COUNTY,Male,1860
2012-2013,18,GLASSCOCK COUNTY,Female,129
2012-2013,18,GLASSCOCK COUNTY,Male,160
2012-2013,3,GOLIAD COUNTY,Female,641
2012-2013,3,GOLIAD COUNTY,Male,730
2012-2013,13,GONZALES COUNTY,Female,1978
2012-2013,13,GONZALES COUNTY,Male,2149
2012-2013,16,GRAY COUNTY,Female,2033
2012-2013,16,GRAY COUNTY,Male,2059
2012-2013,10,GRAYSON COUNTY,Female,10273
2012-2013,10,GRAYSON COUNTY,Male,10972
2012-2013,7,GREGG COUNTY,Female,11769
2012-2013,7,GREGG COUNTY,Male,12450
2012-2013,6,GRIMES COUNTY,Female,2161
2012-2013,6,GRIMES COUNTY,Male,2193
2012-2013,AL,GUADALUPE COUNTY/ALL,Female,11658
2012-2013,AL,GUADALUPE COUNTY/ALL,Male,12394
2012-2013,17,HALE COUNTY,Female,3735
2012-2013,17,HALE COUNTY,Male,3929
2012-2013,16,HALL COUNTY,Female,351
2012-2013,16,HALL COUNTY,Male,398
2012-2013,12,HAMILTON COUNTY,Female,619
2012-2013,12,HAMILTON COUNTY,Male,708
2012-2013,16,HANSFORD COUNTY,Female,691
2012-2013,16,HANSFORD COUNTY,Male,738
2012-2013,9,HARDEMAN COUNTY,Female,349
2012-2013,9,HARDEMAN COUNTY,Male,381
2012-2013,5,HARDIN COUNTY,Female,5058
2012-2013,5,HARDIN COUNTY,Male,5566
2012-2013,4,HARRIS COUNTY,Female,414467
2012-2013,4,HARRIS COUNTY,Male,435731
2012-2013,7,HARRISON COUNTY,Female,6315
2012-2013,7,HARRISON COUNTY,Male,6632
2012-2013,16,HARTLEY COUNTY,Female,189
2012-2013,16,HARTLEY COUNTY,Male,183
2012-2013,14,HASKELL COUNTY,Female,441
2012-2013,14,HASKELL COUNTY,Male,503
2012-2013,13,HAYS COUNTY,Female,15032
2012-2013,13,HAYS COUNTY,Male,16177
2012-2013,16,HEMPHILL COUNTY,Female,491
2012-2013,16,HEMPHILL COUNTY,Male,481
2012-2013,7,HENDERSON COUNTY,Female,4933
2012-2013,7,HENDERSON COUNTY,Male,5406
2012-2013,1,HIDALGO COUNTY,Female,106752
2012-2013,1,HIDALGO COUNTY,Male,111714
2012-2013,12,HILL COUNTY,Female,3229
2012-2013,12,HILL COUNTY,Male,3276
2012-2013,17,HOCKLEY COUNTY,Female,2413
2012-2013,17,HOCKLEY COUNTY,Male,2509
2012-2013,11,HOOD COUNTY,Female,3567
2012-2013,11,HOOD COUNTY,Male,3933
2012-2013,8,HOPKINS COUNTY,Female,3189
2012-2013,8,HOPKINS COUNTY,Male,3379
2012-2013,6,HOUSTON COUNTY,Female,1431
2012-2013,6,HOUSTON COUNTY,Male,1565
2012-2013,18,HOWARD COUNTY,Female,2769
2012-2013,18,HOWARD COUNTY,Male,2965
2012-2013,19,HUDSPETH COUNTY,Female,360
2012-2013,19,HUDSPETH COUNTY,Male,352
2012-2013,10,HUNT COUNTY,Female,6927
2012-2013,10,HUNT COUNTY,Male,7527
2012-2013,16,HUTCHINSON COUNTY,Female,2140
2012-2013,16,HUTCHINSON COUNTY,Male,2245
2012-2013,15,IRION COUNTY,Female,125
2012-2013,15,IRION COUNTY,Male,176
2012-2013,9,JACK COUNTY,Female,736
2012-2013,9,JACK COUNTY,Male,848
2012-2013,3,JACKSON COUNTY,Female,1678
2012-2013,3,JACKSON COUNTY,Male,1764
2012-2013,5,JASPER COUNTY,Female,3160
2012-2013,5,JASPER COUNTY,Male,3355
2012-2013,18,JEFF DAVIS COUNTY,Female,146
2012-2013,18,JEFF DAVIS COUNTY,Male,197
2012-2013,5,JEFFERSON COUNTY,Female,20585
2012-2013,5,JEFFERSON COUNTY,Male,21352
2012-2013,1,JIM HOGG COUNTY,Female,543
2012-2013,1,JIM HOGG COUNTY,Male,575
2012-2013,2,JIM WELLS COUNTY,Female,4185
2012-2013,2,JIM WELLS COUNTY,Male,4453
2012-2013,11,JOHNSON COUNTY,Female,15465
2012-2013,11,JOHNSON COUNTY,Male,16536
2012-2013,14,JONES COUNTY,Female,1283
2012-2013,14,JONES COUNTY,Male,1388
2012-2013,AL,KARNES COUNTY/ALL,Female,1164
2012-2013,AL,KARNES COUNTY/ALL,Male,1222
2012-2013,10,KAUFMAN COUNTY,Female,12334
2012-2013,10,KAUFMAN COUNTY,Male,13112
2012-2013,AL,KENDALL COUNTY/ALL,Female,3915
2012-2013,AL,KENDALL COUNTY/ALL,Male,4364
2012-2013,2,KENEDY COUNTY,Female,30
2012-2013,2,KENEDY COUNTY,Male,53
2012-2013,17,KENT COUNTY,Female,67
2012-2013,17,KENT COUNTY,Male,78
2012-2013,20,KERR COUNTY,Female,3147
2012-2013,20,KERR COUNTY,Male,3581
2012-2013,15,KIMBLE COUNTY,Female,338
2012-2013,15,KIMBLE COUNTY,Male,340
2012-2013,17,KING COUNTY,Female,43
2012-2013,17,KING COUNTY,Male,53
2012-2013,20,KINNEY COUNTY,Female,298
2012-2013,20,KINNEY COUNTY,Male,323
2012-2013,2,KLEBERG COUNTY,Female,2551
2012-2013,2,KLEBERG COUNTY,Male,2668
2012-2013,9,KNOX COUNTY,Female,373
2012-2013,9,KNOX COUNTY,Male,382
2012-2013,20,LA SALLE COUNTY,Female,658
2012-2013,20,LA SALLE COUNTY,Male,633
2012-2013,8,LAMAR COUNTY,Female,4264
2012-2013,8,LAMAR COUNTY,Male,4376
2012-2013,17,LAMB COUNTY,Female,1509
2012-2013,17,LAMB COUNTY,Male,1630
2012-2013,12,LAMPASAS COUNTY,Female,1830
2012-2013,12,LAMPASAS COUNTY,Male,1894
2012-2013,3,LAVACA COUNTY,Female,1108
2012-2013,3,LAVACA COUNTY,Male,1121
2012-2013,13,LEE COUNTY,Female,1471
2012-2013,13,LEE COUNTY,Male,1542
2012-2013,6,LEON COUNTY,Female,1456
2012-2013,6,LEON COUNTY,Male,1602
2012-2013,AL,LIBERTY COUNTY/ALL,Female,7187
2012-2013,AL,LIBERTY COUNTY/ALL,Male,7515
2012-2013,12,LIMESTONE COUNTY,Female,1925
2012-2013,12,LIMESTONE COUNTY,Male,2183
2012-2013,16,LIPSCOMB COUNTY,Female,417
2012-2013,16,LIPSCOMB COUNTY,Male,446
2012-2013,2,LIVE OAK COUNTY,Female,853
2012-2013,2,LIVE OAK COUNTY,Male,898
2012-2013,13,LLANO COUNTY,Female,880
2012-2013,13,LLANO COUNTY,Male,951
2012-2013,17,LUBBOCK COUNTY,Female,23869
2012-2013,17,LUBBOCK COUNTY,Male,24808
2012-2013,17,LYNN COUNTY,Female,634
2012-2013,17,LYNN COUNTY,Male,667
2012-2013,6,MADISON COUNTY,Female,1296
2012-2013,6,MADISON COUNTY,Male,1296
2012-2013,8,MARION COUNTY,Female,611
2012-2013,8,MARION COUNTY,Male,631
2012-2013,18,MARTIN COUNTY,Female,505
2012-2013,18,MARTIN COUNTY,Male,568
2012-2013,15,MASON COUNTY,Female,347
2012-2013,15,MASON COUNTY,Male,369
2012-2013,3,MATAGORDA COUNTY,Female,3353
2012-2013,3,MATAGORDA COUNTY,Male,3656
2012-2013,20,MAVERICK COUNTY,Female,7328
2012-2013,20,MAVERICK COUNTY,Male,7766
2012-2013,15,MCCULLOCH COUNTY,Female,724
2012-2013,15,MCCULLOCH COUNTY,Male,821
2012-2013,12,MCLENNAN COUNTY,Female,22500
2012-2013,12,MCLENNAN COUNTY,Male,23934
2012-2013,2,MCMULLEN COUNTY,Female,130
2012-2013,2,MCMULLEN COUNTY,Male,119
2012-2013,20,MEDINA COUNTY,Female,4523
2012-2013,20,MEDINA COUNTY,Male,4785
2012-2013,15,MENARD COUNTY,Female,167
2012-2013,15,MENARD COUNTY,Male,173
2012-2013,18,MIDLAND COUNTY,Female,12395
2012-2013,18,MIDLAND COUNTY,Male,13296
2012-2013,AL,MILAM COUNTY/ALL,Female,2211
2012-2013,AL,MILAM COUNTY/ALL,Male,2373
2012-2013,12,MILLS COUNTY,Female,421
2012-2013,12,MILLS COUNTY,Male,424
2012-2013,14,MITCHELL COUNTY,Female,719
2012-2013,14,MITCHELL COUNTY,Male,741
2012-2013,9,MONTAGUE COUNTY,Female,1699
2012-2013,9,MONTAGUE COUNTY,Male,1695
2012-2013,6,MONTGOMERY COUNTY,Female,46287
2012-2013,6,MONTGOMERY COUNTY,Male,48843
2012-2013,16,MOORE COUNTY,Female,2496
2012-2013,16,MOORE COUNTY,Male,2714
2012-2013,8,MORRIS COUNTY,Female,1015
2012-2013,8,MORRIS COUNTY,Male,1205
2012-2013,17,MOTLEY COUNTY,Female,87
2012-2013,17,MOTLEY COUNTY,Male,101
2012-2013,7,NACOGDOCHES COUNTY,Female,5349
2012-2013,7,NACOGDOCHES COUNTY,Male,5783
2012-2013,12,NAVARRO COUNTY,Female,4624
2012-2013,12,NAVARRO COUNTY,Male,5144
2012-2013,5,NEWTON COUNTY,Female,983
2012-2013,5,NEWTON COUNTY,Male,1052
2012-2013,14,NOLAN COUNTY,Female,1497
2012-2013,14,NOLAN COUNTY,Male,1597
2012-2013,2,NUECES COUNTY,Female,30439
2012-2013,2,NUECES COUNTY,Male,32231
2012-2013,16,OCHILTREE COUNTY,Female,1122
2012-2013,16,OCHILTREE COUNTY,Male,1276
2012-2013,16,OLDHAM COUNTY,Female,386
2012-2013,16,OLDHAM COUNTY,Male,513
2012-2013,5,ORANGE COUNTY,Female,7280
2012-2013,5,ORANGE COUNTY,Male,7960
2012-2013,11,PALO PINTO COUNTY,Female,2320
2012-2013,11,PALO PINTO COUNTY,Male,2549
2012-2013,7,PANOLA COUNTY,Female,1951
2012-2013,7,PANOLA COUNTY,Male,2172
2012-2013,11,PARKER COUNTY,Female,9437
2012-2013,11,PARKER COUNTY,Male,10028
2012-2013,16,PARMER COUNTY,Female,1171
2012-2013,16,PARMER COUNTY,Male,1284
2012-2013,18,PECOS COUNTY,Female,1468
2012-2013,18,PECOS COUNTY,Male,1593
2012-2013,6,POLK COUNTY,Female,3376
2012-2013,6,POLK COUNTY,Male,3604
2012-2013,16,POTTER COUNTY,Female,18230
2012-2013,16,POTTER COUNTY,Male,19079
2012-2013,18,PRESIDIO COUNTY,Female,845
2012-2013,18,PRESIDIO COUNTY,Male,927
2012-2013,7,RAINS COUNTY,Female,766
2012-2013,7,RAINS COUNTY,Male,890
2012-2013,16,RANDALL COUNTY,Female,4440
2012-2013,16,RANDALL COUNTY,Male,4784
2012-2013,18,REAGAN COUNTY,Female,443
2012-2013,18,REAGAN COUNTY,Male,444
2012-2013,20,REAL COUNTY,Female,216
2012-2013,20,REAL COUNTY,Male,213
2012-2013,8,RED RIVER COUNTY,Female,1079
2012-2013,8,RED RIVER COUNTY,Male,1153
2012-2013,18,REEVES COUNTY,Female,1189
2012-2013,18,REEVES COUNTY,Male,1246
2012-2013,3,REFUGIO COUNTY,Female,658
2012-2013,3,REFUGIO COUNTY,Male,740
2012-2013,16,ROBERTS COUNTY,Female,104
2012-2013,16,ROBERTS COUNTY,Male,111
2012-2013,6,ROBERTSON COUNTY,Female,1545
2012-2013,6,ROBERTSON COUNTY,Male,1683
2012-2013,10,ROCKWALL COUNTY,Female,9444
2012-2013,10,ROCKWALL COUNTY,Male,9947
2012-2013,15,RUNNELS COUNTY,Female,1008
2012-2013,15,RUNNELS COUNTY,Male,1061
2012-2013,7,RUSK COUNTY,Female,3932
2012-2013,7,RUSK COUNTY,Male,4123
2012-2013,7,SABINE COUNTY,Female,795
2012-2013,7,SABINE COUNTY,Male,786
2012-2013,7,SAN AUGUSTINE COUNTY,Female,602
2012-2013,7,SAN AUGUSTINE COUNTY,Male,660
2012-2013,6,SAN JACINTO COUNTY,Female,1661
2012-2013,6,SAN JACINTO COUNTY,Male,1852
2012-2013,2,SAN PATRICIO COUNTY,Female,7053
2012-2013,2,SAN PATRICIO COUNTY,Male,7562
2012-2013,15,SAN SABA COUNTY,Female,483
2012-2013,15,SAN SABA COUNTY,Male,500
2012-2013,15,SCHLEICHER COUNTY,Female,276
2012-2013,15,SCHLEICHER COUNTY,Male,309
2012-2013,14,SCURRY COUNTY,Female,1590
2012-2013,14,SCURRY COUNTY,Male,1697
2012-2013,14,SHACKELFORD COUNTY,Female,323
2012-2013,14,SHACKELFORD COUNTY,Male,303
2012-2013,7,SHELBY COUNTY,Female,2727
2012-2013,7,SHELBY COUNTY,Male,2938
2012-2013,16,SHERMAN COUNTY,Female,466
2012-2013,16,SHERMAN COUNTY,Male,500
2012-2013,7,SMITH COUNTY,Female,17501
2012-2013,7,SMITH COUNTY,Male,18695
2012-2013,11,SOMERVELL COUNTY,Female,922
2012-2013,11,SOMERVELL COUNTY,Male,992
2012-2013,1,STARR COUNTY,Female,8693
2012-2013,1,STARR COUNTY,Male,8915
2012-2013,14,STEPHENS COUNTY,Female,705
2012-2013,14,STEPHENS COUNTY,Male,755
2012-2013,15,STERLING COUNTY,Female,116
2012-2013,15,STERLING COUNTY,Male,148
2012-2013,14,STONEWALL COUNTY,Female,138
2012-2013,14,STONEWALL COUNTY,Male,115
2012-2013,15,SUTTON COUNTY,Female,439
2012-2013,15,SUTTON COUNTY,Male,495
2012-2013,16,SWISHER COUNTY,Female,779
2012-2013,16,SWISHER COUNTY,Male,809
2012-2013,11,TARRANT COUNTY,Female,172473
2012-2013,11,TARRANT COUNTY,Male,181333
2012-2013,14,TAYLOR COUNTY,Female,16662
2012-2013,14,TAYLOR COUNTY,Male,17061
2012-2013,18,TERRELL COUNTY,Female,46
2012-2013,18,TERRELL COUNTY,Male,70
2012-2013,17,TERRY COUNTY,Female,1184
2012-2013,17,TERRY COUNTY,Male,1210
2012-2013,9,THROCKMORTON COUNTY,Female,134
2012-2013,9,THROCKMORTON COUNTY,Male,179
2012-2013,8,TITUS COUNTY,Female,3510
2012-2013,8,TITUS COUNTY,Male,3651
2012-2013,15,TOM GREEN COUNTY,Female,9071
2012-2013,15,TOM GREEN COUNTY,Male,9752
2012-2013,13,TRAVIS COUNTY,Female,76137
2012-2013,13,TRAVIS COUNTY,Male,80492
2012-2013,6,TRINITY COUNTY,Female,1149
2012-2013,6,TRINITY COUNTY,Male,1194
2012-2013,5,TYLER COUNTY,Female,1732
2012-2013,5,TYLER COUNTY,Male,1836
2012-2013,7,UPSHUR COUNTY,Female,3323
2012-2013,7,UPSHUR COUNTY,Male,3796
2012-2013,18,UPTON COUNTY,Female,414
2012-2013,18,UPTON COUNTY,Male,383
2012-2013,20,UVALDE COUNTY,Female,2901
2012-2013,20,UVALDE COUNTY,Male,3053
2012-2013,15,VAL VERDE COUNTY,Female,5235
2012-2013,15,VAL VERDE COUNTY,Male,5405
2012-2013,AL,VAN ZANDT COUNTY/ALL,Female,4807
2012-2013,AL,VAN ZANDT COUNTY/ALL,Male,5017
2012-2013,3,VICTORIA COUNTY,Female,7588
2012-2013,3,VICTORIA COUNTY,Male,7934
2012-2013,6,WALKER COUNTY,Female,3508
2012-2013,6,WALKER COUNTY,Male,3831
2012-2013,4,WALLER COUNTY,Female,4499
2012-2013,4,WALLER COUNTY,Male,4855
2012-2013,18,WARD COUNTY,Female,1127
2012-2013,18,WARD COUNTY,Male,1154
2012-2013,6,WASHINGTON COUNTY,Female,2508
2012-2013,6,WASHINGTON COUNTY,Male,2821
2012-2013,1,WEBB COUNTY,Female,33467
2012-2013,1,WEBB COUNTY,Male,35070
2012-2013,3,WHARTON COUNTY,Female,3967
2012-2013,3,WHARTON COUNTY,Male,4231
2012-2013,16,WHEELER COUNTY,Female,546
2012-2013,16,WHEELER COUNTY,Male,625
2012-2013,9,WICHITA COUNTY,Female,10484
2012-2013,9,WICHITA COUNTY,Male,10978
2012-2013,9,WILBARGER COUNTY,Female,1222
2012-2013,9,WILBARGER COUNTY,Male,1223
2012-2013,1,WILLACY COUNTY,Female,2215
2012-2013,1,WILLACY COUNTY,Male,2364
2012-2013,13,WILLIAMSON COUNTY,Female,51546
2012-2013,13,WILLIAMSON COUNTY,Male,54751
2012-2013,20,WILSON COUNTY,Female,4116
2012-2013,20,WILSON COUNTY,Male,4419
2012-2013,18,WINKLER COUNTY,Female,851
2012-2013,18,WINKLER COUNTY,Male,911
2012-2013,11,WISE COUNTY,Female,4356
2012-2013,11,WISE COUNTY,Male,4666
2012-2013,7,WOOD COUNTY,Female,3059
2012-2013,7,WOOD COUNTY,Male,3200
2012-2013,17,YOAKUM COUNTY,Female,1065
2012-2013,17,YOAKUM COUNTY,Male,1073
2012-2013,9,YOUNG COUNTY,Female,1731
2012-2013,9,YOUNG COUNTY,Male,1790
2012-2013,1,ZAPATA COUNTY,Female,1711
2012-2013,1,ZAPATA COUNTY,Male,1886
2012-2013,20,ZAVALA COUNTY,Female,1281
2012-2013,20,ZAVALA COUNTY,Male,1275
