County,School Year,Percent_PBE
Cottle,2012-2013,0
Cottle,2013-2014,
Cottle,2014-2015,0
Cottle,2015-2016,0
Cottle,2016-2017,0
Cottle,2017-2018,0
Crane,2010-2011,0.1
Crane,2011-2012,0.1
Crane,2012-2013,0.09
Crane,2013-2014,0.35
Crane,2014-2015,0.52
Crane,2015-2016,0.44
Crane,2016-2017,0.29
Crane,2017-2018,0.37
Crockett,2010-2011,0.14
Crockett,2011-2012,0.42
Crockett,2012-2013,0.4
Crockett,2013-2014,0.65
Crockett,2014-2015,1.25
Crockett,2015-2016,0.52
Crockett,2016-2017,0.54
Crockett,2017-2018,0.42
Crosby,2010-2011,0.56
Crosby,2011-2012,0.69
Crosby,2012-2013,0.7
Crosby,2013-2014,0.6
Crosby,2014-2015,1.07
Crosby,2015-2016,0.99
Crosby,2016-2017,0.72
Crosby,2017-2018,1.02
Culberson,2010-2011,0
Culberson,2011-2012,0
Culberson,2012-2013,
Culberson,2013-2014,0
Culberson,2014-2015,
Culberson,2015-2016,0
Culberson,2016-2017,0
Culberson,2017-2018,0.51
Dallam,2010-2011,0.48
Dallam,2011-2012,0.43
Dallam,2012-2013,0.21
Dallam,2013-2014,0.75
Dallam,2014-2015,0.68
Dallam,2015-2016,1.41
Dallam,2016-2017,1.13
Dallam,2017-2018,1.66
Dallas,2010-2011,0.32
Dallas,2011-2012,0.35
Dallas,2012-2013,0.41
Dallas,2013-2014,0.45
Dallas,2014-2015,0.53
Dallas,2015-2016,0.6
Dallas,2016-2017,0.64
Dallas,2017-2018,0.74
Dawson,2010-2011,0.24
Dawson,2011-2012,0.28
Dawson,2012-2013,0.28
Dawson,2013-2014,0.26
Dawson,2014-2015,0.63
Dawson,2015-2016,0.47
Dawson,2016-2017,0.64
Dawson,2017-2018,0.54
Deaf Smith,2010-2011,0.02
Deaf Smith,2011-2012,0.13
Deaf Smith,2012-2013,0.09
Deaf Smith,2013-2014,0.05
Deaf Smith,2014-2015,0.07
Deaf Smith,2015-2016,0
Deaf Smith,2016-2017,0.13
Deaf Smith,2017-2018,0.19
Delta,2010-2011,0.39
Delta,2011-2012,0.81
Delta,2012-2013,0.97
Delta,2013-2014,0.81
Delta,2014-2015,1.06
Delta,2015-2016,1.61
Delta,2016-2017,1.68
Delta,2017-2018,1.17
Denton,2010-2011,1.16
Denton,2011-2012,3.17
Denton,2012-2013,3.5
Denton,2013-2014,4.07
Denton,2014-2015,2.07
Denton,2015-2016,2.05
Denton,2016-2017,2.92
Denton,2017-2018,2.22
DeWitt,2010-2011,0.07
DeWitt,2011-2012,0.42
DeWitt,2012-2013,0.29
DeWitt,2013-2014,0.36
DeWitt,2014-2015,0.3
DeWitt,2015-2016,0.48
DeWitt,2016-2017,0.52
DeWitt,2017-2018,0.53
Dickens,2010-2011,0
Dickens,2011-2012,0
Dickens,2012-2013,1.11
Dickens,2013-2014,0.26
Dickens,2014-2015,0.69
Dickens,2015-2016,0.52
Dickens,2016-2017,0
Dickens,2017-2018,0
Dimmit,2010-2011,0
Dimmit,2011-2012,0
Dimmit,2012-2013,0.04
Dimmit,2013-2014,0.04
Dimmit,2014-2015,0
Dimmit,2015-2016,0
Dimmit,2016-2017,0
Dimmit,2017-2018,0
Donley,2010-2011,0
Donley,2011-2012,0.18
Donley,2012-2013,0.74
Donley,2013-2014,0.75
Donley,2014-2015,1.36
Donley,2015-2016,0.52
Donley,2016-2017,0.53
Donley,2017-2018,1.48
Duval,2010-2011,0
Duval,2011-2012,0
Duval,2012-2013,0
Duval,2013-2014,0.05
Duval,2014-2015,0.04
Duval,2015-2016,0.04
Duval,2016-2017,0.12
Duval,2017-2018,0.08
Eastland,2010-2011,1.23
Eastland,2011-2012,0.98
Eastland,2012-2013,1.34
Eastland,2013-2014,1.74
Eastland,2014-2015,1.66
Eastland,2015-2016,1.51
Eastland,2016-2017,2.12
Eastland,2017-2018,2.09
Ector,2010-2011,0.23
Ector,2011-2012,0.32
Ector,2012-2013,0.37
Ector,2013-2014,0.46
Ector,2014-2015,0.47
Ector,2015-2016,0.52
Ector,2016-2017,0.64
Ector,2017-2018,0.59
Edwards,2010-2011,0.35
Edwards,2011-2012,0.35
Edwards,2012-2013,0.19
Edwards,2013-2014,0.19
Edwards,2014-2015,0.19
Edwards,2015-2016,0
Edwards,2016-2017,0.38
Edwards,2017-2018,0.35
El Paso,2010-2011,0.34
El Paso,2011-2012,0.15
El Paso,2012-2013,0.14
El Paso,2013-2014,0.22
El Paso,2014-2015,0.21
El Paso,2015-2016,0.24
El Paso,2016-2017,0.23
El Paso,2017-2018,0.3
Ellis,2010-2011,0.55
Ellis,2011-2012,0.57
Ellis,2012-2013,0.69
Ellis,2013-2014,0.79
Ellis,2014-2015,0.97
Ellis,2015-2016,0.99
Ellis,2016-2017,1.21
Ellis,2017-2018,1.48
Erath,2010-2011,0.29
Erath,2011-2012,0.25
Erath,2012-2013,0.55
Erath,2013-2014,0.45
Erath,2014-2015,0.75
