County,School Year,Percent_PBE
Walker,2012-2013,0.24
Walker,2013-2014,0.5
Walker,2014-2015,0.52
Walker,2015-2016,1
Walker,2016-2017,0.5
Walker,2017-2018,0.79
Waller,2010-2011,0.07
Waller,2011-2012,0.3
Waller,2012-2013,0.33
Waller,2013-2014,0.55
Waller,2014-2015,0.98
Waller,2015-2016,0.71
Waller,2016-2017,0.75
Waller,2017-2018,0.82
Ward,2010-2011,0.19
Ward,2011-2012,0.14
Ward,2012-2013,0.22
Ward,2013-2014,0.34
Ward,2014-2015,0.17
Ward,2015-2016,0.17
Ward,2016-2017,0.33
Ward,2017-2018,0.44
Washington,2010-2011,0.2
Washington,2011-2012,0.09
Washington,2012-2013,0.27
Washington,2013-2014,0.3
Washington,2014-2015,0.66
Washington,2015-2016,0.79
Washington,2016-2017,0.43
Washington,2017-2018,0.83
Webb,2010-2011,0.05
Webb,2011-2012,0.04
Webb,2012-2013,0.05
Webb,2013-2014,0.06
Webb,2014-2015,0.05
Webb,2015-2016,0.08
Webb,2016-2017,0.1
Webb,2017-2018,0.12
Wharton,2010-2011,0.14
Wharton,2011-2012,0.16
Wharton,2012-2013,0.17
Wharton,2013-2014,0.19
Wharton,2014-2015,0.21
Wharton,2015-2016,0.2
Wharton,2016-2017,0.22
Wharton,2017-2018,0.21
Wheeler,2010-2011,0.57
Wheeler,2011-2012,0.75
Wheeler,2012-2013,0.82
Wheeler,2013-2014,1.09
Wheeler,2014-2015,2.39
Wheeler,2015-2016,1.87
Wheeler,2016-2017,1.95
Wheeler,2017-2018,1.83
Wichita,2010-2011,0.41
Wichita,2011-2012,0.37
Wichita,2012-2013,0.46
Wichita,2013-2014,0.49
Wichita,2014-2015,0.55
Wichita,2015-2016,0.53
Wichita,2016-2017,0.76
Wichita,2017-2018,0.75
Wilbarger,2010-2011,0
Wilbarger,2011-2012,0
Wilbarger,2012-2013,0.08
Wilbarger,2013-2014,0
Wilbarger,2014-2015,2.07
Wilbarger,2015-2016,0.22
Wilbarger,2016-2017,0.17
Wilbarger,2017-2018,0
Willacy,2010-2011,0.05
Willacy,2011-2012,0.05
Willacy,2012-2013,0.11
Willacy,2013-2014,0.13
Willacy,2014-2015,0.18
Willacy,2015-2016,0.02
Willacy,2016-2017,0.02
Willacy,2017-2018,0.05
Williamson,2010-2011,1.2
Williamson,2011-2012,1.55
Williamson,2012-2013,1.79
Williamson,2013-2014,2.11
Williamson,2014-2015,2.12
Williamson,2015-2016,1.83
Williamson,2016-2017,2.66
Williamson,2017-2018,2.68
Wilson,2010-2011,0.6
Wilson,2011-2012,0.52
Wilson,2012-2013,0.48
Wilson,2013-2014,0.48
Wilson,2014-2015,0.66
Wilson,2015-2016,0.82
Wilson,2016-2017,1.05
Wilson,2017-2018,1.3
Winkler,2010-2011,0
Winkler,2011-2012,0.06
Winkler,2012-2013,0.08
Winkler,2013-2014,0.76
Winkler,2014-2015,0.45
Winkler,2015-2016,0.06
Winkler,2016-2017,0.53
Winkler,2017-2018,0.4
Wise,2010-2011,0.57
Wise,2011-2012,0.58
Wise,2012-2013,0.73
Wise,2013-2014,0.82
Wise,2014-2015,1.02
Wise,2015-2016,0.86
Wise,2016-2017,1.12
Wise,2017-2018,1.72
Wood,2010-2011,1.4
Wood,2011-2012,0.79
Wood,2012-2013,0.9
Wood,2013-2014,0.68
Wood,2014-2015,1.16
Wood,2015-2016,1.08
Wood,2016-2017,0.98
Wood,2017-2018,0.96
Yoakum,2010-2011,0.52
Yoakum,2011-2012,0.57
Yoakum,2012-2013,0.38
Yoakum,2013-2014,0.74
Yoakum,2014-2015,0.64
Yoakum,2015-2016,1.03
Yoakum,2016-2017,0.6
Yoakum,2017-2018,0.74
Young,2010-2011,0.18
Young,2011-2012,0.06
Young,2012-2013,0.35
Young,2013-2014,0.41
Young,2014-2015,0.62
Young,2015-2016,0.77
Young,2016-2017,0.96
Young,2017-2018,0.83
Zapata,2010-2011,0
Zapata,2011-2012,0
Zapata,2012-2013,0
Zapata,2013-2014,0
Zapata,2014-2015,0
Zapata,2015-2016,0
Zapata,2016-2017,0
Zapata,2017-2018,0
Zavala,2010-2011,0.04
Zavala,2011-2012,0.17
Zavala,2012-2013,0.04
Zavala,2013-2014,0
Zavala,2014-2015,0
Zavala,2015-2016,0.09
Zavala,2016-2017,0.18
Zavala,2017-2018,0.18
